BOR;AN;FI;FI_EJ;SMUR;GEN;SAIS;PED;ANT;FIAUTOR;ANTSAIS;SAMU;HMED;HIDE;HAMB;AMBLCE;VEHLEG;MOYAER;MOYMAR;SORTER1;SORTER2;dtTIH;SORAER1;SORAER2;SORMAR;SORTIES;SORTNM;PATDC;PATLSP;PATTSP;PATTRANM;TRAN;TRAN18;TRAN80;TRANSIEG;TRANAUT;APP;APD;APMIN;DR;DRM;DRMLIB;HMR;HMRAMU;HMRAM;ARM;PDSA;NRML;NBLIB;CAR;SAMUSDIS
SMURSAMU;2013;630000438;630781011;1;1;0;0;0;;0;0;168;168;168;0;1;0;0;1906;42;0;4;0;0;1952;374;103;1;183;56;984;121;182;497;487;;;;;;;;;;;;;;;
SMURSAMU;2013;630000446;630781029;1;1;0;0;0;630781029;0;0;168;168;168;0;1;0;0;744;32;3;0;0;0;776;227;75;2;89;61;617;;;392;225;;;;;;;;;;;;;;;
SMURSAMU;2013;640000162;640780417;1;1;0;0;0;640780417;0;1;252;252;168;2;3;1;0;2253;747;23;196;327;3;3526;900;251;12;357;280;2906;312;648;1900;1006;192178;192178;;76700;67373;23443;236;168;68;392;1;0;0;193;0
SMURSAMU;2013;640000402;640780813;1;1;0;0;1;640780813;0;0;168;168;168;;1;;;455;25;0;0;0;0;480;144;54;5;30;55;317;18;138;177;140;;;;;;;;;;;;;;;
SMURSAMU;2013;640000410;640780821;1;1;0;0;0;;0;0;109;195;168;2;0;0;0;390;1;;51;5;0;447;116;40;0;18;53;378;34;97;242;136;;;;;;;;;;;;;;;
SMURSAMU;2013;640000600;640781290;1;1;0;0;0;;0;1;336;336;588;2;3;0;0;2802;497;0;210;193;0;3702;969;304;10;259;396;2132;238;674;1800;332;501866;474813;;104862;59771;32507;168;168;48;444;1;0;0;434;0
SMURSAMU;2013;650000045;650780158;1;1;0;0;0;;0;0;168;168;0;;;;;459;7;;;;;466;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2013;650000417;650783160;1;1;0;0;0;;0;1;406;168;672;3;3;;;2121;822;;445;12;;3400;825;212;8;136;351;1695;119;382;1205;490;107744;83190;78819;50401;46734;6417;188;168;20;360;1;0;0;1094;0
SMURSAMU;2013;650784218;650780174;1;1;0;0;0;;0;0;168;504;0;;1;;;453;;;;;;453;153;46;;36;;282;11;68;198;84;;;;;;;;;;;;;;;
SMURSAMU;2013;660000084;660780180;1;1;0;0;0;;0;0;672;440;336;1;7;1;0;3951;1399;0;686;326;0;6362;1456;455;175;487;384;3602;308;745;2633;969;;;;;;;;;;;;;;;
SMURSAMU;2013;660006990;340019363;1;1;0;0;1;660780180;0;0;168;0;168;0;1;0;0;368;41;;;;;409;179;18;3;54;98;189;29;50;109;77;;;;;;;;;;;;;;;
SMURSAMU;2013;660008947;660780180;0;1;0;0;0;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;284;168;116;840;1;0;21;;1
SMURSAMU;2013;670000025;670780055;1;1;0;0;0;;0;1;784;667;667;4;5;0;0;8824;1338;;706;223;;11091;6022;598;70;1702;3652;4150;;;3784;366;;;;245697;150336;48278;336;336;132;756;1;1;0;6673;0
SMURSAMU;2013;670000157;670780337;1;1;0;0;0;670780337;0;0;168;168;168;1;1;;;1593;235;0;;;;1828;976;7;0;291;729;697;56;174;544;153;;;;;;;;;;;;;;;
SMURSAMU;2013;670000165;670780345;1;1;0;0;0;;0;0;168;168;168;1;1;;;1093;162;;;;;1255;370;88;7;81;194;723;;;514;209;;;;;;;;;;;;;;;
