BOR;AN;FI;FI_EJ;UNI;LIT;JLI;SEJ;PAS;PAS0;JOU;pctEXT;IGC2med;EFFPL_MED;pct80;EFFPA_MED;ETP_MED;EFFPL_INFSP;EFFPA_INFSP;ETP_INFNS;EFFPL_INFNS;EFFPA_INFNS;ETP_INFSP;EFFPL_AID;EFFPA_AID;ETP_AID;EFFPL_KINE;EFFPA_KINE;ETP_KINE;EFFPA_APNM;EFFPL_APNM;ETP_APNM
REA;2013;760000463;760024042;USIC;6;2190;557;;;1699;;;11;;;6.39;;1;5.67;4;2;0.24;3;2;3.82;;;;1;1;1.4
REA;2013;760021329;760000448;SITOT;12;4380;1473;;;4695;;;;;;;;;;;;;;;;;;;;;
REA;2013;760021329;760000448;SURVADU;12;4380;950;;;3554;;;12;;;12;1;;10.74;8;5;1;3;4;5.94;;;;;;
REA;2013;760021329;760000448;USIC;12;4380;1473;;;4695;;;8;;;8;1;;12.12;9;5;1;7;5;9.23;;;;;;
REA;2013;760025312;760000315;SURVADU;10;3650;505;;;1892;;;2;;;2;;;4.77;4;1;;3;1;3.96;;1;0.5;;;
REA;2013;760027292;760027300;SURVADU;4;1460;571;;;1371;;;5;;;1;1;;5;5;;0.2;3;;3;;;;;;
REA;2013;760780510;760000257;SURVADU;16;5840;464;;;1649;;;;;10;3;;1;7.38;6;3;0.5;6;;6;;;;;;
REA;2013;760780619;760000307;SITOT;12;;2761;;;5593;;;;;;;;;;;;;;;;;;;;;
REA;2013;760780619;760000307;SURVADU;10;;1114;;;2328;;;;;;;;;;;;;;;;;;;;;
REA;2013;760780619;760000307;USIC;12;;2761;;;5593;;;;;;;;;;;;;;;;;;;;;
REA;2013;760780791;760000414;SURVADU;12;4380;608;;;3012;;;;;;;;1;6;6;;0.5;6;;6;;;;;;
REA;2013;760783522;760780239;AUTSI;14;5110;465;;;4799;;;4;;;1.81;1;;17.49;16;3;1;17;;16.65;;;;;3;3
REA;2013;760783522;760780239;SITOT;14;5110;465;;;4799;;;;;;;;;;;;;;;;;;;;;
REA;2013;760805770;760780726;AUTSI;14;5110;1069;;;3657;;;9;;2;7.84;1;0;14.07;8;7;0.5;6;0;5.1;0;0;0;0;3;2.4
REA;2013;760805770;760780726;REAADU;12;4380;640;657;47;3504;20;40;7;10;1;6.12;2;0;35.92;28;12;1.8;12;5;16.76;0;0;0;4;8;7.91
REA;2013;760805770;760780726;SITOT;30;10950;2688;;;7896;;;;;;;;;;;;;;;;;;;;;
REA;2013;760805770;760780726;SIUNV;4;1460;401;;;1002;;;3;;;0.52;0;0;6.55;4;3;0.14;3;1;3.51;0;0;0;0;1;0.54
REA;2013;760805770;760780726;SURVADU;6;2190;250;;;698;;;;;;;0;0;5.95;5;1;0;6;0;5.8;0;0;0;0;0;0
REA;2013;760805770;760780726;SURVENF;2;730;124;;;236;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
REA;2013;760805770;760780726;USIC;12;4380;1218;;;3237;;;;;;;1;0;15.47;11;7;1;11;2;10.01;0;0;0;0;3;3.07
REA;2013;760921809;760000273;SURVADU;19;6935;1842;;;5190;;;2;;;2;;;21;21;;;14;;14;;;;;;
REA;2013;770000131;770110013;SURVADU;6;2094;390;;;1777;;;2;;3;3.25;1;;12.86;11;3;0.25;9;;9.75;;;;;1;1
REA;2013;770000149;770110021;REAADU;8;2920;268;279;4;2707;19;35;1;28;11;4.42;1;;18.94;18;3;1;11;2;12.7;;;;1;1;1.79
REA;2013;770000156;770110054;REAADU;16;5840;812;843;43;5288;3;;6;22;1;6.3;1;;38.26;41;;1;24;;24.1;;;;;5;4.76
REA;2013;770000156;770110054;SURVADU;8;2920;579;;;1936;;;;;;;;;8.27;7;;;6;;6.78;;;;;1;1.08
REA;2013;770000164;770110062;REAADU;6;2190;197;203;10;1824;2;;2;35;6;3.82;1;;11.59;15;;1.26;9;;3.18;;;0.1;;;0.63
REA;2013;770000164;770110062;SURVADU;4;1460;261;;;1068;;;;;;;;;;;;;;;;;;;;;
REA;2013;770000172;770110070;REAADU;8;2312;181;184;8;1788;12;;3;35;1;3.2;;1;17;17;;0.56;7;1;7.9;;;;1;2;1.95
REA;2013;770000172;770110070;SURVADU;4;1460;306;;;1449;;;2;;;2;;1;4.39;5;;0.24;4;;4;;;;;;
REA;2013;770000214;770130052;SURVADU;6;1656;280;;;1495;;;12;;;3.12;;;12.93;10;3;;1;3;3.09;;;;;1;1
REA;2013;770000446;770700185;AUTSI;5;1825;77;;;1531;;;2;;;1.1;;;4;4;;;3;;3;;;;;1;1.17
REA;2013;770000446;770700185;REAADU;12;4380;394;416;16;4192;9;51;3;21;2;4.3;1;;29.02;28;2;0.83;10;2;11.7;;;;1;9;7.86
REA;2013;770000446;770700185;SITOT;17;4977;1096;;;4121;;;;;;;;;;;;;;;;;;;;;
REA;2013;770000446;770700185;SIUNV;6;962;319;;;813;;;6;;2;1.4;;1;2.68;4;8;0.25;3;3;1.25;;;;2;;0.55
REA;2013;770000446;770700185;SURVADU;4;1460;320;;;1084;;;1;;1;1.5;;17;18.04;14;5;1.36;12;1;11.75;;;;1;4;4.42
REA;2013;770000446;770700185;USIC;6;2190;700;;;1777;;;5;;1;1.42;;1;5.32;;8;0.75;;3;2.5;;;;2;;1.41
REA;2013;770019032;770170017;REAADU;12;4020;611;627;31;4639;8;;6;18;;3.67;;;27.06;26;2;0.83;23;;22.42;;;;;2;2
REA;2013;770019032;770170017;SITOT;12;4380;1117;;;3453;;;;;;;;;;;;;;;;;;;;;
REA;2013;770019032;770170017;SURVADU;4;1460;55;;;150;;;5;;;1.45;;;5.68;3;2;;5;;6.08;;;;;;
REA;2013;770019032;770170017;USIC;12;4380;1117;;;3453;;;8;;;2.37;;;10.48;11;2;0.3;16;2;13.93;;;;;;
REA;2013;770150019;770019792;REAADU;6;6;146;149;4;1597;27;;3;16;5;3.66;1;0;7.04;11;1;0.6;12;0;6.52;;;;;;
REA;2013;770150019;770019792;SURVADU;4;4;135;;;804;;;3;;5;2.44;1;0;4.7;11;1;0.4;12;0;4.35;;;;;;
REA;2013;770300010;770004299;REAADU;8;2920;369;392;11;4511;15;;2;40;;2;;1;10;10;;0.5;8;;8;;;;1;;0.5
REA;2013;770300010;770004299;SURVADU;17;6205;683;;;4841;;;2;;;2;;1;8;8;;0.5;5;;5;;;;;1;1
REA;2013;770300135;770000289;SITOT;10;3650;922;;;3049;;;;;;;;;;;;;;;;;;;;;
REA;2013;770300135;770000289;SURVADU;14;5110;1058;;;3218;;;;;;;;;4;4;;;2;;2;2;;2;;2;1.34
REA;2013;770300135;770000289;USIC;10;3650;922;;;3049;;;6;;;6;1;;4;4;;1;1;2;2;2;;2;;2;2
REA;2013;770300143;770000362;SURVADU;4;1460;83;;;337;;;5;;8;9;3;1;;;;3.5;4;;4;;7;7;;;
REA;2013;770300192;770000313;SURVADU;4;1460;196;;;359;;;;;3;0.2;;;;;;;;;;;;;;;
REA;2013;770300275;770000354;SURVADU;6;2190;155;;;1177;;;;;;;5;0;;;;5;;;;;4;1;;;
REA;2013;770790707;770000719;SURVADU;6;2190;431;;;1697;;;;;9;1;;;4.06;4;1;;4;1;4.06;;;;;;
REA;2013;770813400;770001014;SURVADU;3;1095;26;;;107;;;3;;1;3.14;;;2.75;2;1;;2;1;2.75;;;;;;
REA;2013;780000287;780110011;REAADU;10;3650;401;411;24;2692;11;44;7;15;1;6.63;1;0;26.51;21;6;0.5;14;3;16.03;1;;1;;1;0.84
REA;2013;780000287;780110011;SITOT;10;3650;915;;;2353;;;;;;;;;;;;;;;;;;;;;
REA;2013;780000287;780110011;SIUNV;4;1460;432;;;894;;;5;;;1.2;1;;6;5;3;0.27;4;2;3.76;;;;;1;0.4
REA;2013;780000287;780110011;SURVADU;4;1460;163;;;454;;;7;;1;0.76;1;;5.19;6;;0.5;5;1;4.64;;;;;1;0.16
REA;2013;780000287;780110011;USIC;6;2190;483;;;1459;;;3;;2;1.58;2;;6.35;12;;0.6;12;3;5.09;;;;;2;0.36
REA;2013;780000295;780002697;REAADU;8;2920;258;270;9;2327;5;37;3;20;2;3.51;1;;15.65;13;4;0.52;12;1;11.74;1;;0.5;2;;0.85
REA;2013;780000295;780002697;SURVADU;4;1460;124;;;682;;;1;;1;1.75;1;;7;6;1;0.25;5;;5;1;;0.5;1;;0.42
REA;2013;780000311;780001236;REAADU;16;5840;766;792;62;4588;4;37;9;18;;8.91;;1;36.3;34;2;0.41;23;3;24.84;;;;2;5;6.25
REA;2013;780000311;780001236;SITOT;14;5110;1337;;;4493;;;;;;;;;;;;;;;;;;;;;
REA;2013;780000311;780001236;SIUNV;4;1460;454;;;1236;;;1;;;1;;;;;;;;;;;;;;;
REA;2013;780000311;780001236;SURVADU;2;730;1884;;;4689;;;2;;;0.43;;;0.93;2;;;2;;1;;;;;;
REA;2013;780000311;780001236;USIC;10;3650;883;;;3257;;;3;;;2.7;1;;15.46;15;1;0.8;6;;6.24;;;;;2;1.68
REA;2013;780000329;780110052;REAADU;8;2920;280;292;8;2563;1;43;6;28;;5.7;1;;20.8;21;1;1;12;;12;;1;0.2;2;5;4.64
REA;2013;780000329;780110052;SITOT;6;2190;739;;;2201;;;;;;;;;;;;;;;;;;;;;
REA;2013;780000329;780110052;SURVADU;2;730;86;;;471;;;;;;;;;1;1;;;;;;;;;;;
REA;2013;780000329;780110052;USIC;6;2190;739;;;2201;;;3;;3;2;1;;5.19;4;1;0.47;6;2;8.16;;1;0.1;;;
REA;2013;780000337;780001236;SURVADU;4;1460;342;;;982;;;;;2;1.59;;;6.45;5;1;;5;1;5.8;;;;;;
REA;2013;780000436;780150041;SURVADU;6;365;312;;;1384;;;2;;;1.8;;;;;;;;;;;;;;;
REA;2013;780300075;780000485;SITOT;16;5840;2063;;;4528;;;;;;;;;;;;;;;;;;;;;
REA;2013;780300075;780000485;SURVADU;12;4380;352;;;1972;;;5;;;5;;;7.25;5;7;;5;11;8.92;;1;0.5;;;
REA;2013;780300075;780000485;USIC;16;5840;2063;;;4528;;;12;;;12;;;17.85;9;19;;8;12;11.8;;1;0.8;;;
REA;2013;780300125;780000535;SURVADU;6;2190;95;;;350;;;;;;;;;1.5;2;;;1;;0.5;;;;;;
REA;2013;780300323;780003679;SURVADU;6;2004;278;;;1445;;;9;;;7;;;3;3;;;2;;2;;;;;;
REA;2013;780300406;780018032;REAADU;10;3650;930;944;14;3050;35;28;9;19;;;1;;18.74;19;;0.5;4;;3.57;;;;;;
REA;2013;780300406;780018032;SITOT;12;4380;1030;;;3889;;;;;;;;;;;;;;;;;;;;;
REA;2013;780300406;780018032;SURVADU;21;7665;1157;;;3601;;;9;;;;1;;6.79;7;;0.5;7;;6.17;7;;;;;
REA;2013;780300406;780018032;USIC;12;4380;1030;;;3889;;;9;;;;1;;9.4;10;;0.3;3;;3;;;;;;
REA;2013;780300414;780000675;REAADU;8;2920;252;271;24;2776;8;;;47;;;;;;;;;;;;;;;;;
REA;2013;780300414;780000675;SITOT;10;3650;693;;;3241;;;;;;;;;;;;;;;;;;;;;
REA;2013;780300414;780000675;SURVADU;20;7300;854;;;6348;;;;;;;;;;;;;;;;;;;;;
