BOR;AN;FI;FI_EJ;INTMED;INTPHA;INTODO;INTGEN;FFI;INTTOT
Q22;2013;330000662;330781329;31;4;0;4;1;40
Q22;2013;330780081;330000043;3;;;;;3
Q22;2013;330780495;330796392;2;0;0;3;0;5
Q22;2013;330780529;330796392;;;;;11;11
Q22;2013;330780636;330785072;6;;;;;6
Q22;2013;330780750;330056540;;;;1;;1
Q22;2013;330781139;330056540;3;;;1;;4
Q22;2013;330781154;330055542;2;;;;;2
Q22;2013;330781303;750821092;21;3;1;18;;43
Q22;2013;330781337;330781196;13;0;;0;;13
Q22;2013;330781352;330781196;81;9;1;1;;92
Q22;2013;330781360;330781196;337;41;14;0;20;412
Q22;2013;330782582;330000928;1;;;;;1
Q22;2013;330783648;330781196;153;27;;1;8;189
Q22;2013;330783721;330781253;5;;;2;;7
Q22;2013;330802752;330781196;4;0;;0;;4
Q22;2013;340000033;340780055;17;3;;29;8;57
Q22;2013;340000207;340780493;29;1;;;;30
Q22;2013;340000223;340011295;19;1;;6;;26
Q22;2013;340001064;340013028;1;1;;;6;8
Q22;2013;340008275;340780477;8;;;;;8
Q22;2013;340015502;340000512;4;;;;;4
Q22;2013;340016732;340780055;2;;;;;2
Q22;2013;340017839;340784933;1;;;;;1
Q22;2013;340019090;340019082;;;;;1;1
Q22;2013;340780139;340000090;1;;;;;1
Q22;2013;340780485;340780477;18;;;;;18
Q22;2013;340780634;340000272;1;;;2;;3
Q22;2013;340780642;340785856;8;;;4;;12
Q22;2013;340780667;340000280;4;;;2;;6
Q22;2013;340780790;340000389;1;;;;;1
Q22;2013;340781608;340015171;1;;;;1;2
Q22;2013;340782036;340780477;81;11;;;10;102
Q22;2013;340782085;340780477;68;;1;;3;72
Q22;2013;340785161;340780477;144;19;;;10;173
Q22;2013;340789981;340001866;0;0;0;1;0;1
Q22;2013;340796093;340796069;;;;1;;1
Q22;2013;340796663;340780477;93;14;;;6;113
Q22;2013;350000014;350005179;0;0;0;6;0;6
Q22;2013;350000063;220020739;2;;;;;2
Q22;2013;350000139;350001137;4;;;1;;5
Q22;2013;350000147;350000022;18;1;;19;3;41
Q22;2013;350000154;350000030;;;;11;1;12
Q22;2013;350000162;350000048;0;0;0;11;1;12
Q22;2013;350000188;350000055;;;;11;;11
Q22;2013;350000337;350000246;30;2;;5;;37
Q22;2013;350000741;350005179;186;30;0;28;6;250
Q22;2013;350002200;350029948;6;;;;;6
Q22;2013;350002234;750720575;2;;;;;2
Q22;2013;350002564;350046199;1;;;;;1
Q22;2013;350002812;350023503;14;2;;;5;21
Q22;2013;350005021;440042844;;1;;5;2;8
Q22;2013;350005146;350000733;2;;;;;2
Q22;2013;350006771;350005179;1;0;0;4;0;5
Q22;2013;350007084;350005179;71;1;0;19;0;91
Q22;2013;350016135;350000055;;;;1;;1
Q22;2013;360000137;360000053;5;;;18;4;27
Q22;2013;360000327;360000053;1;;;;;1
Q22;2013;370000374;750721334;2;;;;;2
Q22;2013;370000499;370000481;37;3;;5;3;48
Q22;2013;370000515;370000481;3;;;2;;5
Q22;2013;370000531;370000606;9;;;;;9
Q22;2013;370000580;370000564;2;;;1;;3
Q22;2013;370000861;370000481;123;19;;16;8;166
Q22;2013;370000879;370000564;1;;;3;;4
Q22;2013;370000903;370000614;1;;;2;;3
Q22;2013;370001109;370002701;;;;2;;2
Q22;2013;370004301;370000614;;;;1;;1
Q22;2013;370004467;370000481;100;12;;9;5;126
Q22;2013;370007569;370007528;1;;;;;1
Q22;2013;370100539;370100935;1;;;;;1
Q22;2013;380000018;380780023;2;;;1;;3
Q22;2013;380000034;380780049;11;;;22;4;37
Q22;2013;380000067;380780080;242;53;;51;12;358
Q22;2013;380000133;380780247;17;2;0;0;0;19
Q22;2013;380000174;380781435;8;3;0;32;;43
Q22;2013;380000406;380784751;9;1;0;15;0;25
Q22;2013;380009928;380804542;1;;;1;;2
Q22;2013;380012658;380012609;24;2;;1;;27
Q22;2013;380780312;750720575;3;;;;;3
Q22;2013;380780379;380798249;;;;1;;1
Q22;2013;380781138;010783009;;;;1;;1
Q22;2013;380782722;380780080;21;;;6;1;28
Q22;2013;380784462;750005068;;;;1;;1
Q22;2013;390000040;390780146;9;;;15;1;25
Q22;2013;390000073;390780179;;;;1;;1
Q22;2013;390000164;390780476;9;;;2;1;12
Q22;2013;390000222;390780609;13;1;0;12;8;34
Q22;2013;400000105;400780193;16;0;0;23;6;45
Q22;2013;400000113;400011177;2;;;;;2
Q22;2013;400000139;400011177;11;;;21;5;37
Q22;2013;400780250;400011177;1;;;1;;2
Q22;2013;400787354;400780193;;;;2;;2
Q22;2013;400791018;400790994;1;;;;;1
Q22;2013;410000020;410000087;44;1;0;15;4;64
Q22;2013;410000038;410000095;0;1;0;6;;7
Q22;2013;410000046;410000103;0;1;0;3;0;4
Q22;2013;410000293;410000491;1;0;0;0;0;1
Q22;2013;410004063;410000095;2;;;;;2
Q22;2013;420000010;420780033;28;1;1;31;8;69
Q22;2013;420000192;750034589;2;;;;;2
Q22;2013;420000226;420013831;5;;;19;;24
Q22;2013;420000234;420780652;7;1;;29;;37
Q22;2013;420000267;420013831;3;0;0;15;0;18
Q22;2013;420000440;420784878;;;;4;;4
Q22;2013;420002479;420002438;;;;1;;1
Q22;2013;420009599;420002495;1;;;;;1
Q22;2013;420010050;420787061;19;0;0;0;0;19
Q22;2013;420010241;420013492;;2;;16;4;22
Q22;2013;420011413;420011405;9;0;0;2;0;11
Q22;2013;420011512;420011504;;;;1;;1
Q22;2013;420012320;420013831;1;0;0;0;0;1
Q22;2013;420780637;420002495;16;1;;;2;19
Q22;2013;420780678;420002495;1;;;;;1
Q22;2013;420782559;420784878;16;3;0;6;0;25
Q22;2013;420782567;420784878;2;0;0;7;0;9
Q22;2013;420784845;420780033;1;0;0;2;1;4
Q22;2013;420785354;420784878;192;9;0;46;3;250
Q22;2013;430000026;630786754;;;;7;;7
Q22;2013;430000117;430000018;19;1;0;14;1;35
Q22;2013;430000190;430000034;;;;5;;5
Q22;2013;440000016;440000057;24;2;;36;;62
Q22;2013;440000024;440000065;2;;;2;;4
Q22;2013;440000180;440000263;6;0;0;2;1;9
Q22;2013;440000255;440042844;1;;;1;;2
Q22;2013;440000271;440000289;144;43;1;52;;240
Q22;2013;440000396;440000297;1;;;7;;8
Q22;2013;440000453;440000289;1;;;9;;10
Q22;2013;440000503;440000313;;;;10;;10
Q22;2013;440000511;440000461;1;;;;;1
Q22;2013;440000552;440042141;;;;1;;1
Q22;2013;440000560;850009010;;;;5;;5
Q22;2013;440000701;440001220;;;;2;;2
Q22;2013;440000883;440042141;;;;1;;1
Q22;2013;440001113;490017258;20;2;;1;;23
Q22;2013;440001188;440018661;;;;4;;4
Q22;2013;440001287;440041531;;;;1;;1
Q22;2013;440001972;440003309;6;;;3;;9
Q22;2013;440003291;440000289;;4;;;;4
Q22;2013;440007607;440000057;2;;;;;2
Q22;2013;440012102;440000057;4;;;;;4
Q22;2013;440017598;440000289;69;6;0;7;0;82
Q22;2013;440024669;440042844;1;;;;;1
Q22;2013;440029338;440041895;1;;;;;1
Q22;2013;440046001;440042372;2;;;;;2
Q22;2013;440050433;440041895;4;0;0;0;0;4
Q22;2013;450000021;450000088;17;;;8;2;27
Q22;2013;450000047;450000096;0;;;2;;2
Q22;2013;450000062;450000104;;;;8;2;10
Q22;2013;450000070;450000112;1;0;0;0;0;1
Q22;2013;450000930;450002423;6;0;0;0;0;6
Q22;2013;450002613;450000088;65;4;;18;1;88
Q22;2013;460000045;460780083;0;0;0;3;0;3
Q22;2013;460000110;460780216;11;0;0;10;1;22
Q22;2013;460785090;;2;;;;;2
Q22;2013;470000308;930019484;1;1;;2;;4
Q22;2013;470000423;470000316;10;1;0;29;3;43
Q22;2013;470000431;470000324;;;;12;;12
Q22;2013;470000480;470001660;0;0;0;13;2;15
Q22;2013;470000563;470000381;1;;;1;;2
Q22;2013;470005406;470000316;0;0;0;2;1;3
Q22;2013;480000017;480780097;5;;;7;;12
Q22;2013;480000058;480780147;1;;;;;1
Q22;2013;490000049;490000031;221;19;;60;7;307
Q22;2013;490000106;490000163;16;;;2;;18
Q22;2013;490000155;490017258;21;1;0;0;0;22
Q22;2013;490000239;490015765;;1;;;;1
Q22;2013;490000254;490015765;;;;1;;1
Q22;2013;490000601;490015856;;;;1;;1
Q22;2013;490000635;490000676;21;2;0;36;1;60
Q22;2013;490000650;490007689;1;;;;;1
Q22;2013;490001765;490528452;5;;;17;3;25
Q22;2013;490002979;490535705;1;;;;;1
Q22;2013;490009248;490535168;;;;2;;2
Q22;2013;490015906;490000197;1;;;;;1
Q22;2013;490016870;440048643;;;;1;;1
Q22;2013;490529005;490000031;;;;6;;6
Q22;2013;490531910;490535093;6;;;;;6
Q22;2013;490536224;490000031;;;;1;;1
Q22;2013;490537040;490535093;;;;2;;2
Q22;2013;500000021;500000054;10;1;;14;1;26
Q22;2013;500000187;500000013;40;2;;;4;46
Q22;2013;500000229;500000567;1;;;;;1
Q22;2013;500000260;500000054;1;;;8;;9
Q22;2013;500000427;500000096;0;0;0;0;2;2
Q22;2013;500000450;500000112;17;0;0;29;0;46
Q22;2013;500000575;500000245;;;;;1;1
Q22;2013;500012687;310021118;1;0;0;0;0;1
Q22;2013;500015185;;4;;;;;4
Q22;2013;500021423;500000567;1;;;;;1
Q22;2013;500021449;500018296;1;;;;;1
Q22;2013;510000169;510000037;14;1;;14;;29
Q22;2013;510000185;510000532;2;;;;;2
Q22;2013;510000219;510000052;18;;;;;18
Q22;2013;510000235;510000060;6;1;;13;;20
Q22;2013;510000250;510000078;3;0;0;1;0;4
Q22;2013;510000516;510000136;20;2;0;0;0;22
Q22;2013;510002447;510000029;148;18;0;13;1;180
Q22;2013;510002454;510000029;5;0;0;5;0;10
Q22;2013;510002470;510000029;15;0;0;4;1;20
Q22;2013;510004302;510000029;286;20;13;181;1;501
Q22;2013;510023922;100006279;2;;;;;2
Q22;2013;520000027;520780032;8;0;0;3;;11
Q22;2013;520000043;520780057;;;;;1;1
Q22;2013;520000068;520780073;7;;;12;;19
Q22;2013;520000076;520780081;5;;;;;5
Q22;2013;530000017;530000025;12;;;3;1;16
Q22;2013;530000173;530000074;2;;;15;;17
Q22;2013;530000264;530000371;12;1;;28;0;41
Q22;2013;540000015;540023264;24;;;;2;26
