BOR;AN;FI;FI_EJ;CAEH;CAEF;CUIH;CUIF;CAPH;CAPF;CAVH;CAVF;CAUH;CAUF
Q25;2013;630000438;630781011;7;4;;;;;;;;
Q25;2013;630000446;630781029;3;10;0;0;0;0;0;5;0;0
Q25;2013;630000479;630781110;2;8;0;0;0;0;0;0;0;0
Q25;2013;630000487;630781136;2;1;;;;;;;;
Q25;2013;630000560;630781367;;13;;;;;;;;
Q25;2013;630010296;630010270;1;;;;;;;;;
Q25;2013;630010510;750043994;;;;;;1;;;;
Q25;2013;630011823;870015336;1;;;;;;;;;
Q25;2013;630780195;630786754;2;5;;;2;1;3;8;;
Q25;2013;630780211;630000107;;;;;1;;;;;
Q25;2013;630780401;630000172;;;;;1;3;;;;
Q25;2013;630780526;630009991;;;;;;;;2;;
Q25;2013;630780559;870015336;;8;;;;;;2;;
Q25;2013;630781268;630780989;1;27;;;;1;;;;
Q25;2013;630781417;630000578;;;;;;1;;;;
Q25;2013;630781755;630011518;;;;;;1;;;;
Q25;2013;630781771;630780989;;1;;;;;;;;
Q25;2013;630781839;630000826;;;;;;2;;;;
Q25;2013;630783348;750050916;1;1;;;;;;;;
Q25;2013;630783538;630780989;1;5;;;;;;;;
Q25;2013;630784742;630000990;;;;;2;2;;;;
Q25;2013;630790384;630786754;;;;;;;;2;;
Q25;2013;640000162;640780417;16;4;;;;;;;;
Q25;2013;640000402;640780813;0;3;;;;;;;;
Q25;2013;640000410;640780821;4;11;;;1;;3;2;;
Q25;2013;640000428;640780839;;14;;;;;;;;
Q25;2013;640000436;640780862;;;;;;;2;;;
Q25;2013;640000600;640781290;23;104;;;1;1;7;5;;
Q25;2013;640003836;640791976;1;3;;;;;;;;
Q25;2013;640007019;;;;;;1;;;;;
Q25;2013;640015921;640780821;2;3;;;;;;;;
Q25;2013;640017521;640790374;;2;;;;;;;;
Q25;2013;640017646;640017638;0;2;0;0;0;0;0;0;0;0
Q25;2013;640780185;640000089;1;3;;;;;;;;
Q25;2013;640780268;640000113;;;;;;1;;;;
Q25;2013;640780490;640000212;;;;;;1;;;;
Q25;2013;640780631;640000295;;;;;;1;;;;
Q25;2013;640780672;640000337;;;;;;2;;;;
Q25;2013;640780755;640780417;1;2;;;;;;;;
Q25;2013;640780904;750721334;1;;;;;;;1;;
Q25;2013;640780946;640000469;;;;;1;3;;;;
Q25;2013;640781225;640000568;;;;;;2;;;;
Q25;2013;640781340;640000642;1;;;;;;;;;
Q25;2013;640786281;640791976;1;1;;;;;;;;
Q25;2013;640787149;640001681;;2;;;;;;;;
Q25;2013;640792305;640000626;;;;;;;1;;;
Q25;2013;650000045;650780158;0;4;0;0;0;0;0;0;0;0
Q25;2013;650000052;650780166;8;12;;;;;;;;
Q25;2013;650000078;650780190;0;1;0;0;0;0;0;0;0;0
Q25;2013;650000417;650783160;1;3;;;;;6;5;;
Q25;2013;650780141;650783160;;;;;;;;2;;
Q25;2013;650780323;650000128;;1;;;;;;;;
Q25;2013;650784218;650780174;3;6;;;;;2;4;;
Q25;2013;660000084;660780180;1;8;;;;;;;;
Q25;2013;660000092;660780198;1;3;;;1;3;1;;;
Q25;2013;660000167;660780271;0;3;0;0;1;1;1;4;0;0
Q25;2013;660000605;660786799;;1;;1;1;1;;4;;
Q25;2013;660005166;660786542;;3;;;1;;1;1;;
Q25;2013;660006990;340019363;;;;;1;;;;;
Q25;2013;660007006;340019363;;;;;;;1;;;
Q25;2013;660780172;660786799;;;;;;;;1;;
Q25;2013;660780321;590799730;1;2;;;;;1;1;;
Q25;2013;660780370;660786799;;;;;;;6;3;;
Q25;2013;660780610;660000274;;;;;;1;;;;
Q25;2013;660780784;660000407;;;;;4;13;;;;
Q25;2013;660781287;660000621;;;;;;2;;;;
Q25;2013;660790163;660790155;;;;;;1;;;;
Q25;2013;670000025;670780055;;1;;;2;1;;;;
Q25;2013;670000033;670780063;;;;;3;;;;;
Q25;2013;670000041;670780071;5;9;;;;;;;;
Q25;2013;670000058;670013366;;4;;;;;2;2;;
Q25;2013;670000082;670780147;;2;;;;;;;;
Q25;2013;670000157;670780337;;;;;;1;4;4;;
Q25;2013;670000165;670780345;;8;;;;;1;5;;
Q25;2013;670000173;670780352;;3;;;;;2;3;;
Q25;2013;670000181;670780360;;2;;;;;;;;
Q25;2013;670000215;680000643;1;12;;;;5;;;;
Q25;2013;670000249;680000643;;6;;;;;;;;
Q25;2013;670000272;670780543;;3;;;;;1;2;;
Q25;2013;670000306;670780584;;;;;;1;1;10;;
Q25;2013;670000348;670780642;;4;3;5;;;;;;
Q25;2013;670000371;670780675;1;6;;;;;;1;;
Q25;2013;670000397;670780691;;;;;1;;;;;
Q25;2013;670002278;750043994;;;;;;1;;;;
Q25;2013;670005479;670000652;;1;;;;;;;;
Q25;2013;670008838;670000785;1;;;;;;;;;
Q25;2013;670013325;670013317;;;;;;1;;;;
Q25;2013;670014992;670780139;1;;;;;;;;;
Q25;2013;670016153;670013754;;1;;;;;;;;
Q25;2013;670016237;670016211;;3;;;;;2;;;
Q25;2013;670780121;670013754;4;3;;;;1;;;;
Q25;2013;670780162;670000108;;;;;;;1;1;;
Q25;2013;670780188;670014604;;;;;3;;2;;;
Q25;2013;670780212;670014604;;1;;;;1;2;5;;
Q25;2013;670780378;670000785;5;15;;;2;;;;;
Q25;2013;670780550;670013754;;11;;;;;;;;
Q25;2013;670780592;670013754;1;3;;;;;;;;
Q25;2013;670780600;750050759;;13;;;;;;;;
Q25;2013;670780873;670013754;1;3;;;;;;;;
Q25;2013;670780915;670013754;;5;;;;;;;;
Q25;2013;670781129;670013754;2;4;;;;;;;;
Q25;2013;670781574;670000652;;1;;;;1;;;;
Q25;2013;670783273;670780055;;;;;;3;;;;
Q25;2013;670792027;670792340;;;;;;;;1;;
Q25;2013;670797539;670014604;;;;;;;1;2;;
Q25;2013;670798636;670014604;2;;;;;;3;;;
Q25;2013;670799675;680000643;1;13;;;;;;3;;
Q25;2013;680000031;680000171;;4;;;;;;;;
Q25;2013;680000122;680000346;;8;;;;;;;;
Q25;2013;680000130;680000353;1;1;;;;1;1;;;
Q25;2013;680000189;680000643;1;17;;;;;;;;
Q25;2013;680000221;670781293;;2;;;1;;;;;
Q25;2013;680000312;680015963;1;;;;;;;;;
Q25;2013;680000320;680000643;4;23;;;;;;;;
