BOR;AN;FI;FI_EJ;DIS;PART;NB_SECT;NB_DIF;INT;NB_CONS;CAP_HTP;CAP_PFT;CAP_AAT;CAP_ACP;CAP_CCU;CAP_HAD;CAP_HDJ;CAP_HDN;NB_AT;SEJ_HTP;JOU_HTP;JOU_PFT;JOU_AAT;JOU_ACP;JOU_CCU;JOU_HAD;JOU_ST;VEN_HDJ;VEN_HDN;VEN_AT;NB_CMP_PA;NB_CMP_PL;NB_CATTP;ACT_CMP;ACT_CATTP;ACT_AD;ACT_EMS;ACT_UHS;ACT_EME;ACT_UCSA;FIL_TOT;FIL_AMB;FIL_TPL;FIL_PLA;EFFPL_PKT;EFFPA_PKT;ETP_PKT;EFFPL_MED;EFFPA_MED;ETP_MED;GAR_SEN;AST_SEN;EFFPL_PNM;EFFPA_PNM;ETP_PNM;ETP_INF;ETP_AID;ETP_PSY;ETP_ASS;ETP_REE;ETP_EDU;HPLEFFPL_PKT;HPLEFFPA_PKT;HPLETP_PKT;HPLEFFPL_MED;HPLEFFPA_MED;HPLETP_MED;HPLEFFPL_PNM;HPLEFFPA_PNM;HPLETP_PNM;HPLETP_INF;HPLETP_AID;HPLETP_PSY;HPLETP_ASS;HPLETP_REE;HPLETP_EDU
PSY;2013;340780782;340000371;GEN;;;;;;164;;;;;;;;;1544;57865;;;;;;;;;;0;;;;;;;;;;957;;;;;9;;1;9;;1;1;50;26;63.54;40.52;17.82;2.49;1;1;0.71;;;;;;;;;;;;;;;
PSY;2013;340780782;340000371;TOT;0;;;0;;164;;;;;;;;;1544;57865;;;;;;;;;;0;;;;;;;;;;957;;;;;9;;1;9;;;;50;26;63.54;40.52;17.82;2.49;1;1;0.71;;;;;;;;;;;;;;;
PSY;2013;340780790;340000389;GEN;;;;;;64;;;;;;;;;595;23656;;;;;;;;;;;;;;;;;;;;465;;465;1;0;4;3.14;1;2;1.4;0;1;30;43;42.74;17.06;22.47;1;;3.29;2;;;;;;;;;;;;;;;
PSY;2013;340780790;340000389;TOT;0;;;0;;64;;;;;;;;;595;23656;;;;;;;;;;;;;;;;;;;;465;;465;1;;4;3.14;1;2;1.4;;;30;43;42.74;17.06;22.47;1;;3.29;2;;;;;;;;;;;;;;;
PSY;2013;340780931;340000454;GEN;;;;;;90;;;;;;12;;;250;31757;;;;;;;5194;;;;;;;;;;;;;266;;218;33;5;;5;;4;3.32;1;1;31;23;54;33.25;;5;1;0.73;1.8;4;;4;;4;3.32;;;;;;;;;
PSY;2013;340780931;340000454;TOT;0;;;0;;90;;;;;;12;;;250;31757;;;;;;;5194;;;;;;;;;;;;;266;;;;5;;5;;4;3.32;;;31;23;54;33.25;;5;1;0.73;1.8;4;;4;;4;3.32;;;;;;;;;
PSY;2013;340782036;340780477;INF;;1;;;;10;1;;;;;41;;;;;;;;;;;;;;;2;;;;;;;;;;;;;8;;9.94;;2;0.42;;;52;32;72.1;18.35;7.68;6.87;8.18;3.5;4.17;;;;;;;;;;;;;;;
PSY;2013;340782036;340780477;TOT;1;;1;0;;10;1;;;;;41;;;;;;;;;;;;;;;2;;;;;;;;;;;;;8;;9.94;;2;0.42;;;52;32;72.1;18.35;7.68;6.87;8.18;3.5;4.17;;;;;;;;;;;;;;;
PSY;2013;340787266;340011295;GEN;;1;;;;30;;;;;;15;;;;8720;;;;;;;2521;;;;2;1;7279;1210;869;26;1034;;;1557;1284;254;;7;1;4.39;;;;0;1;42;17;53.6;30.91;7.79;1.8;1.8;1.8;;6;1;1.78;;;;34;8;38.89;20.8;7.79;1;1;1.8;
PSY;2013;340787266;340011295;INF;;1;;;;1;;;;;;16;;;;;;;;;;88;3127;;;;3;;7970;;1;1309;241;1428;;906;835;24;;4;1;4.6;;;;0;1;19;10;23.92;6.79;;5.05;;3.35;5.73;;;;;;;;;;;;;;;
PSY;2013;340787266;340011295;TOT;1;;0;0;;31;;;;;;31;;;;8720;;;;;;88;5648;;;;5;1;15249;1210;870;1335;1275;1428;;2463;;;;11;2;8.99;;;;;;60;26;77.52;37.7;7.79;6.85;1.8;5.15;5.73;6;1;1.78;;;;34;8;38.89;20.8;7.79;1;1;1.8;
PSY;2013;350000147;350000022;GEN;;2;;;;86;7;;;;;30;;1;678;30980;2214;;;;;70;4992;201;153;;4;4;20457;5760;6948;1031;3113;2;;3858;3162;509;8;7;;5.81;;;;0;1;120;15;130.5;90.6;30.6;4.3;;1;4;5;;3.13;;;;79;8;84.87;53.7;28.6;0.87;;;1.7
PSY;2013;350000147;350000022;INF;;1;;;;7;;;;;;28;;;187;1549;;;;;;49;3491;;;;3;3;17301;909;1090;91;314;213;;1664;1493;129;0;3;2;4.3;;;;0;1;51;8;54.21;28.01;5.6;8.65;;4.6;7.35;1;;0.5;;;;15;4;17.65;12.2;4.6;0.4;;;0.45
PSY;2013;350000147;350000022;PEN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;0.1;;;;;;2;3;3.6;3.3;;0.3;;;;;;;;;;;;;;;;;;
