BOR;AN;FI;FI_EJ;ANTGEO;NB_ANT;FI1;FI2;FI3;POP;EMSP;EQDOU;TELESUR;TELECONS;INDOM;ASTR;CONVPER;CONV;AUTMED;PLAMED;AUTOBS;PLAOBS;AUTSSR;PLASSR;AUTCAN;PLACAN;PLATOT;SEJ_HAD;SEJ_PER;SEJ_PAL;SEJ_CAN;JOU_HAD;JOU_PER;JOU_PAL;JOU_CAN;FIL_HAD;FIL_PER;FIL_PAL;FIL_CAN;P80_HAD;P80_PAL;P80_CAN;PMS_HAD;PMS_PER;PMS_PAL;PMS_CAN
HAD;2013;460000102;460780208;0;;;;;;1;1;0;0;1;0;1;0;1;10;0;0;1;10;0;0;20;103;0;49;0;2764;0;803;0;92;0;46;0;61;37;0;35;0;31;0
HAD;2013;460000110;460780216;0;;;;;62263;1;1;0;0;1;0;1;0;1;20;0;;0;;1;5;20;315;42;60;25;4548;640;874;167;223;42;49;8;85;19;0;32;0;5;0
HAD;2013;460006075;460006067;1;1;460006075;;;44000;1;1;0;0;1;1;;;1;15;0;0;0;30;1;2;15;92;0;31;9;3107;0;808;289;72;0;28;6;34;12;0;15;0;7;0
HAD;2013;460006091;460785090;1;1;460006091;;;45404;1;1;0;0;1;0;1;0;1;20;0;;0;;0;;20;148;0;74;11;5458;0;2680;219;105;0;51;6;38;20;0;2;0;1;0
HAD;2013;470009358;470009309;0;;;;;330866;0;0;0;0;1;1;0;0;1;100;0;;0;;0;;100;528;1;197;23;23197;21;6781;601;356;1;149;12;129;67;1;38;0;11;0
HAD;2013;480001825;750047367;0;;;;;77000;0;0;0;;;;;;1;20;0;;0;;0;;20;58;0;32;0;2280;0;1243;0;45;0;22;0;19;9;0;11;0;2;0
HAD;2013;490000312;490012176;0;;;;;454646;1;1;0;0;1;0;0;0;1;;0;;1;;1;;90;751;0;294;96;23949;0;9364;398;431;0;208;17;115;59;4;19;0;10;0
HAD;2013;490016334;490016326;1;2;490016334;490016334;;250000;1;0;0;0;1;1;;;1;35;1;35;1;35;1;35;35;464;0;189;50;11980;0;3998;1056;361;0;151;33;118;58;2;44;0;24;0
HAD;2013;490016870;440048643;0;;;;;110000;0;0;0;0;1;0;1;0;1;;0;;1;;0;;38;407;0;203;7;15719;0;6763;207;279;0;152;5;134;70;1;20;0;9;1
HAD;2013;500000187;500000013;0;;;;;190375;1;1;0;0;1;1;1;;1;32;1;32;1;32;1;32;32;426;0;170;14;8808;0;3901;243;247;0;112;9;71;32;0;22;0;4;0
HAD;2013;500000260;500000054;1;2;500000021;;;;;;0;0;1;0;0;0;1;20;0;;0;;0;;20;262;0;42;3;4819;0;953;137;122;0;35;3;27;9;1;5;0;0;0
HAD;2013;500000450;500000112;1;3;500000112;500000112;500000112;;1;1;0;0;1;1;;;1;45;0;;0;;0;;45;477;0;169;14;13840;0;4166;319;307;0;138;9;126;65;2;31;0;11;0
HAD;2013;500021274;140000159;1;3;140000373;500021282;500021274;;;;0;0;1;1;;;1;5;0;;0;;0;;5;72;0;30;1;1907;0;625;98;41;0;19;1;15;8;0;2;0;1;0
HAD;2013;500021282;140000159;1;3;140000373;500021282;500021274;;;;0;0;1;1;;;1;8;0;;0;;0;;8;96;0;40;0;2324;0;1007;0;56;0;24;0;19;8;0;2;0;0;0
HAD;2013;510002298;750721334;0;;;;;271034;1;1;0;0;1;1;;;1;25;0;0;0;0;0;0;25;329;0;73;2;11612;0;1459;10;217;0;62;2;87;27;0;18;0;7;0
HAD;2013;510017098;510000060;0;;;;;108000;1;0;0;0;1;1;;;1;30;0;;0;;0;;30;209;0;38;3;6998;0;1431;376;130;0;30;2;32;7;0;14;0;3;0
HAD;2013;510019979;510019938;0;0;;;;119589;1;1;0;0;1;1;;;1;30;0;;0;;0;;30;218;0;61;3;6086;0;1322;64;139;0;49;2;39;14;0;18;0;9;0
HAD;2013;510020548;750047367;0;;;;;110000;0;0;0;0;;;;;1;27;0;;0;;0;;27;184;0;91;4;6799;0;3352;68;110;0;58;4;39;23;1;7;0;3;0
HAD;2013;520003823;750047367;0;;;;;120000;0;0;0;0;;;;;1;30;0;;0;;0;;30;153;0;50;18;7378;0;2751;221;85;0;31;2;22;10;0;2;0;0;0
HAD;2013;530000264;530000371;1;2;530000173;530000017;;150000;1;0;0;0;1;0;0;0;1;;0;;1;;1;;19;414;0;120;66;12593;0;3323;1538;258;0;96;34;67;23;4;21;0;7;0
HAD;2013;540000668;540006707;0;;;;;300000;0;0;0;0;0;1;;;1;30;0;;0;;0;;30;415;0;1;0;9025;0;34;0;365;0;1;0;234;0;0;3;0;0;0
HAD;2013;540001096;570010181;0;;;;;;1;1;0;0;1;1;;;1;10;0;;0;;0;;10;99;0;48;2;2727;0;1295;62;74;0;34;1;24;14;0;5;0;1;0
HAD;2013;540001104;540000882;0;;;;;;1;0;0;0;1;0;1;0;1;30;1;;1;;1;;30;333;202;23;1;5160;1938;497;12;280;180;21;1;28;11;0;13;0;6;0
HAD;2013;540010568;540010519;0;;;;;400000;0;0;0;0;1;1;;;1;25;1;10;0;;1;15;50;870;260;288;81;20700;4680;5739;420;596;221;199;12;87;54;3;25;0;5;0
HAD;2013;550000012;550000020;0;;;;;75000;1;1;0;0;1;1;;;1;3;1;7;1;1;1;4;15;288;107;41;0;4420;1512;727;0;232;97;28;0;34;5;0;9;0;1;0
HAD;2013;550000434;550003354;1;1;550000434;;;;1;1;0;1;1;1;1;0;1;20;0;;0;;0;;20;222;0;84;10;5515;0;1422;121;160;0;69;10;59;29;0;27;0;13;0
HAD;2013;560000192;560000044;0;;;;;77355;0;0;0;0;1;1;1;0;1;;0;;1;;1;;20;123;0;51;16;3527;0;1369;338;79;0;36;11;24;9;2;2;0;1;0
HAD;2013;560008799;560013989;0;;;;;;1;1;0;0;1;1;;;1;;1;;1;;1;;75;682;104;402;4;25819;2283;16618;193;491;91;281;4;115;87;1;19;0;13;0
HAD;2013;560018509;560018459;1;1;560018509;;;285000;1;1;0;0;1;1;;;0;;0;;0;;0;;120;1335;253;432;;42334;1724;14381;;1037;251;343;;262;128;;42;0;24;
HAD;2013;560022188;350000626;1;4;350044772;290033679;220020341;;0;0;0;0;1;1;;;1;30;0;;0;;0;;30;234;3;74;11;6801;64;1463;280;163;3;57;7;43;18;0;9;0;2;0
HAD;2013;570000091;750050759;0;;;;;250000;1;0;0;0;1;0;1;0;1;15;0;;0;;0;;15;160;0;69;1;3987;0;1855;4;126;0;56;1;25;18;0;5;0;5;0
HAD;2013;570000117;570015099;0;;;;;;0;0;0;0;1;1;0;0;1;10;0;;0;;0;;10;122;0;20;2;1818;0;266;17;44;0;13;1;10;3;0;2;0;1;0
HAD;2013;570000281;570005165;0;;;;;217925;1;0;0;0;1;1;;;1;;1;;1;;1;;32;377;184;87;3;7983;2955;1883;48;287;151;58;1;28;16;1;1;0;0;0
HAD;2013;570000901;570000158;0;;;;;100404;1;0;0;0;1;1;;;1;7;0;;0;;0;;7;9;0;1;0;125;0;2;0;8;0;1;0;0;0;0;0;0;0;0
HAD;2013;570000968;570000430;0;;;;;;0;0;0;0;1;1;;;1;10;0;;0;;0;;10;132;0;50;3;3617;0;1116;45;100;0;39;1;42;16;0;27;0;11;0
HAD;2013;570001099;570023630;0;;;;;300000;0;0;0;0;1;1;;;1;33;0;;1;1;1;1;35;426;0;123;1;9889;0;2378;12;342;0;110;1;107;56;1;54;0;28;0
HAD;2013;570012369;570011387;0;;;;;;0;0;0;0;1;1;;;0;5;0;;0;;0;;5;62;0;29;3;1416;0;484;15;39;0;22;1;17;11;0;11;0;7;0
HAD;2013;580001899;750721334;0;;;;;70000;0;0;0;0;0;0;1;0;1;20;0;;0;;0;;20;148;0;37;2;3853;0;950;4;65;0;27;1;18;10;0;1;0;1;0
HAD;2013;580972669;580780070;0;;;;;;;;;;1;0;0;0;1;15;0;;0;;0;;15;58;0;17;0;1813;0;341;0;40;0;14;0;11;5;0;6;0;3;0
HAD;2013;590025128;620001834;0;;;;;356000;0;0;0;0;1;1;0;0;1;40;0;;0;;0;;40;652;0;231;172;11612;0;4163;1031;419;0;181;64;96;52;0;19;0;9;0
HAD;2013;590025458;590782652;0;;;;;180000;1;0;0;0;1;1;;;1;30;0;;0;;0;;30;868;0;129;331;9964;0;3439;1062;346;0;108;46;127;48;8;59;0;20;0
HAD;2013;590032108;590024469;0;;;;;;0;0;0;0;1;1;;;1;40;0;;0;;0;;40;484;0;263;3;23023;0;10289;129;333;0;186;3;101;59;0;30;0;17;0
HAD;2013;590032199;590024469;0;;;;;;0;0;0;0;1;1;;;1;40;0;;0;;0;;40;407;0;184;2;19434;0;5312;288;262;0;143;2;93;62;0;17;0;8;0
HAD;2013;590035838;590000485;0;;;;;;1;0;0;0;1;1;;;1;40;0;;0;;0;;40;341;0;107;2;13120;0;2585;18;243;0;91;2;69;29;1;8;0;6;0
HAD;2013;590043469;590024469;0;;;;;;0;0;0;0;1;1;;;1;45;0;;0;;0;;45;454;0;158;7;19242;0;5600;62;301;0;113;4;75;37;1;28;0;14;0
HAD;2013;590045407;590780193;0;;;;;1110000;1;0;0;0;0;0;1;0;1;60;0;;0;;0;;58;1279;530;83;282;19118;7865;2149;1254;804;463;66;55;42;8;10;8;0;1;0
HAD;2013;590046124;590799995;0;;;;;;0;0;0;0;1;0;0;0;1;30;0;;0;;0;;30;244;0;92;0;7863;0;2363;0;174;0;63;0;49;20;0;15;0;3;0
HAD;2013;590048476;590046785;0;;;;;;1;;0;0;;0;0;0;1;40;0;;0;;0;;40;559;0;114;92;13305;0;1896;617;356;0;94;23;90;27;9;23;0;10;1
HAD;2013;590812509;590799995;0;;;;;1200000;0;0;0;0;1;0;0;0;1;120;0;;0;;0;;120;1163;0;415;6;39609;0;12478;236;814;0;315;4;210;91;0;59;0;21;0
HAD;2013;600000194;600100713;1;2;600000152;600010094;;;1;1;0;0;1;0;0;0;1;20;0;;0;;0;;20;344;0;116;27;8941;0;2809;271;220;0;91;11;45;24;1;13;0;2;0
HAD;2013;600003008;600113278;0;;;;;440000;0;0;0;0;1;1;0;0;1;78;0;;0;;0;;78;621;48;167;36;31095;599;4941;1688;391;46;114;28;101;39;3;2;0;1;0
HAD;2013;600010102;600100721;1;2;600000285;600113476;;180149;1;1;0;0;;1;0;0;1;43;0;;0;;0;;43;517;138;127;31;14688;2945;3475;953;333;123;93;17;58;33;2;14;0;9;0
HAD;2013;610000119;610780165;0;;;;;;;;;;;;;;1;15;0;;0;;0;;15;130;0;13;0;3162;0;453;0;97;0;10;0;28;2;0;5;0;0;0
HAD;2013;610004269;610787038;0;;;;;44941;1;0;0;0;1;0;1;0;1;20;0;;0;;0;;20;152;0;12;0;4051;0;182;0;91;0;12;0;24;6;0;2;0;0;0
HAD;2013;610005837;610005811;0;;;;;52992;1;;0;0;1;1;;;1;19;1;19;1;19;0;;19;250;0;94;18;4329;0;2173;199;167;0;58;9;74;22;1;8;0;4;0
HAD;2013;610006256;610006769;1;1;610006777;;;72504;1;0;0;0;1;0;1;0;1;30;0;;0;;0;;30;174;0;78;4;5516;0;2685;193;102;0;52;4;39;24;0;0;0;0;0
HAD;2013;620003889;620003848;0;;;;;279783;1;0;0;0;1;0;1;0;1;50;0;;0;;0;;50;502;0;248;1;17772;0;8457;5;333;0;181;1;87;56;0;19;0;10;0
HAD;2013;620010348;620018473;1;1;620010348;;;;0;0;0;0;1;1;;;1;60;0;;0;;0;;60;931;287;273;11;31722;1439;11492;539;674;287;200;6;144;72;0;16;0;8;0
HAD;2013;620010389;590799995;0;;;;;280000;0;0;0;0;1;0;0;0;0;40;0;;0;;0;;40;964;302;237;22;24376;2952;7444;282;673;280;165;7;131;62;0;7;0;1;0
HAD;2013;620013649;620013599;1;3;620026435;620026443;;280000;0;0;0;0;1;1;1;;1;;1;;1;;0;;75;811;8;414;6;36440;157;12821;274;559;3;310;5;207;124;1;35;0;17;0
HAD;2013;620105981;620000968;0;;;;;400000;1;1;0;0;1;0;1;0;1;105;0;;0;;0;;105;884;0;358;7;38479;0;11772;151;587;0;285;5;187;113;1;16;0;11;0
HAD;2013;630008118;630011153;0;;;;;;1;1;0;0;1;1;1;;1;50;0;;0;;0;;70;285;0;90;24;16238;0;4958;783;188;0;70;18;67;24;3;9;0;3;0
HAD;2013;630010296;630010270;0;;;;;550000;1;0;0;0;1;1;;;1;60;0;;0;;0;;60;799;0;90;78;19568;0;2083;938;601;0;81;33;149;37;3;25;0;1;0
HAD;2013;630010528;630000990;0;;;;;;1;1;0;0;1;0;1;0;1;30;0;;0;;0;;30;124;0;21;8;4320;0;520;191;93;0;21;4;31;7;0;2;0;0;0
HAD;2013;640000162;640780417;0;;;;;303827;1;1;0;0;1;0;0;0;0;;1;12;0;;0;;12;424;424;0;0;3402;3402;0;0;363;363;0;0;0;0;0;0;0;0;0
HAD;2013;640000402;640780813;0;;;;;50000;1;1;0;0;1;0;0;0;1;30;0;;1;;1;;30;204;0;101;2;9755;0;4251;46;146;0;71;1;51;29;0;8;0;5;0
HAD;2013;640000600;640781290;0;;;;;190000;1;0;0;0;1;0;0;0;1;10;0;;1;7;1;8;20;265;0;35;0;9063;0;1046;0;127;0;25;0;34;6;0;6;0;1;0
HAD;2013;640013298;640011508;0;;;;;51340;1;0;0;0;1;1;;;1;30;0;;0;;0;;30;250;0;106;10;9147;0;3445;279;176;0;74;7;76;32;0;7;0;5;0
HAD;2013;640789699;640003570;0;;;;;310000;1;0;0;0;1;0;1;1;1;100;0;;0;;0;;100;703;0;259;21;38739;0;9384;566;423;0;184;8;163;73;3;45;0;13;0
HAD;2013;650001779;650001738;1;1;650001779;;;;0;0;0;0;1;1;;;0;50;0;0;0;0;0;0;50;516;0;62;44;12717;0;1787;670;324;0;49;20;133;21;3;26;0;4;0
HAD;2013;660000084;660780180;1;1;660000167;;;;1;0;0;0;1;1;0;0;1;30;1;15;1;30;1;30;45;431;88;131;4;13171;1595;3851;101;308;74;109;4;73;37;1;8;0;2;0
HAD;2013;660006172;660790379;1;1;660006172;;;239000;1;0;0;0;1;0;1;0;1;45;0;;0;;0;;45;214;0;66;1;5536;0;1733;19;214;0;66;1;;;;;;;
HAD;2013;670005479;670000652;0;;;;;550000;1;0;0;0;1;0;1;0;1;100;0;;0;;0;;100;632;0;157;20;28570;0;4242;648;359;0;82;9;81;18;0;37;0;0;0
HAD;2013;670008838;670000785;0;;;;;;1;0;0;0;1;0;0;0;1;60;0;0;1;60;1;60;60;282;0;87;10;8545;0;2024;249;207;0;58;9;31;8;0;7;0;0;0
HAD;2013;670780113;670780055;0;;;;;475634;0;0;0;0;1;1;;;0;0;1;18;0;0;0;0;18;825;822;0;0;6852;6811;0;0;741;738;0;0;0;0;0;0;0;0;0
HAD;2013;670798636;670014604;0;;;;;;0;0;0;0;;1;;;1;25;0;;0;;0;;25;144;0;44;7;4473;0;1317;177;83;0;26;4;25;10;1;6;0;1;0
HAD;2013;680007648;680007598;0;;;;;386260;1;0;0;0;1;0;1;0;1;60;0;;1;60;1;60;60;389;0;127;8;12928;0;3314;89;296;0;106;8;66;36;0;8;0;1;0
HAD;2013;680017829;680017811;0;;;;;;1;0;0;0;1;1;;;1;60;0;;0;;0;;60;735;0;338;54;19353;0;7563;203;465;0;246;11;122;73;2;7;0;2;0
HAD;2013;690000880;690783220;0;;;;;1952727;1;1;0;0;1;1;0;0;1;179;0;;0;;1;179;179;1999;0;1022;547;65215;0;37582;8227;981;0;653;266;84;74;11;2;0;2;0
HAD;2013;690019799;690007182;0;;;;;2280000;0;0;0;0;1;1;0;0;1;;0;0;1;;0;;;391;0;6;0;10407;0;243;0;96;0;3;0;0;0;0;0;0;0;0
HAD;2013;690788930;690001623;1;2;690007588;380008979;;2000000;1;0;0;0;1;1;;;1;300;0;;0;;0;;300;2412;0;687;302;107344;0;20784;8314;1450;0;599;161;482;263;19;46;0;14;0
HAD;2013;700000698;250017803;0;;;;;247674;1;1;0;0;1;0;1;0;0;;0;;0;;0;;25;162;0;75;1;9481;0;3429;12;100;0;52;1;20;13;0;0;0;0;0
HAD;2013;710010067;710780644;1;1;710972910;;;90000;1;1;0;0;1;1;;;1;10;0;;0;;0;;10;106;0;40;18;2707;0;773;548;69;0;26;6;21;8;0;0;0;0;0
HAD;2013;710780917;710000274;0;;;;;;1;1;0;0;1;1;;;1;25;0;;0;;0;;25;120;0;8;9;2783;0;59;10;66;0;8;2;20;1;2;6;0;0;0
HAD;2013;710978263;710780958;0;;;;;145000;1;0;0;0;1;0;1;0;1;15;0;0;0;0;0;0;15;147;0;14;4;3120;0;132;113;74;0;13;2;22;4;1;13;0;1;0
HAD;2013;710978289;710780263;0;;;;;100000;1;1;0;0;1;0;0;0;0;;0;;0;;0;;15;227;0;36;70;5288;0;1081;671;110;0;19;23;18;2;2;5;0;0;0
HAD;2013;710978347;710781204;0;;;;;;;;;;;;;;1;35;1;5;0;0;0;0;35;815;381;86;13;13694;1897;3040;384;637;380;67;8;79;18;1;5;0;1;0
HAD;2013;720000124;720000066;0;;;;;;0;0;0;0;1;1;;;1;30;0;;1;30;0;;30;226;0;88;0;7236;0;3409;0;108;0;62;0;38;22;0;18;0;8;0
HAD;2013;720016856;720008390;1;2;720016856;;;390000;1;0;0;0;1;0;1;0;1;55;0;;1;5;0;;60;749;0;267;14;17368;0;7115;107;340;0;169;5;79;45;0;12;0;8;0
HAD;2013;730000031;730000015;0;;;;;259000;1;1;0;0;1;0;0;0;1;;0;0;0;0;1;;30;553;0;141;64;9316;0;2317;273;281;0;88;22;80;26;4;0;0;0;0
HAD;2013;730000080;730780103;0;;;;;41607;1;1;0;0;1;1;;;1;15;0;;0;;0;;15;153;0;52;58;5532;0;2705;858;83;0;36;14;27;12;4;6;0;2;0
HAD;2013;740000237;740781133;1;1;740000237;;;279000;0;0;0;0;1;1;;;1;30;0;;0;;0;;30;392;0;96;173;9841;0;2794;2474;186;0;81;44;52;27;4;15;0;9;0
HAD;2013;740000302;740781216;0;;;;;132700;1;0;0;0;1;1;;;1;20;0;;0;;0;;10;141;0;30;45;2233;0;394;499;81;0;26;17;29;15;3;4;0;1;0
HAD;2013;740000328;740790381;0;;;;;126834;1;1;0;0;1;1;;;1;20;0;;0;;1;20;20;495;0;80;288;5774;0;2342;897;170;0;58;47;29;11;5;3;0;0;0
HAD;2013;740010475;740000203;0;;;;;290000;1;1;0;0;1;0;0;0;1;42;0;0;1;2;1;1;45;340;0;144;5;16356;0;5490;176;192;0;79;5;73;29;2;14;0;2;0
HAD;2013;740781141;740790258;0;;;;;86000;1;1;0;0;1;1;;;1;15;0;;0;;1;15;20;221;0;31;55;4249;0;711;1103;85;0;27;20;16;11;2;6;0;3;1
HAD;2013;740781224;740001839;0;;;;;110000;0;0;0;0;1;1;;;1;15;1;3;0;;0;;18;198;34;73;6;4003;477;1546;200;142;25;66;3;44;37;0;13;0;11;0
HAD;2013;750042459;750712341;1;2;750042459;750042459;;;1;1;0;0;1;1;;;1;250;0;;0;;0;;270;6843;4634;703;511;86671;23514;18887;13532;5854;4589;494;195;313;167;33;82;0;34;0
HAD;2013;750806226;750712184;0;;;;;11850000;0;0;0;0;1;1;;;1;;1;;1;;1;;820;15667;5059;1286;4408;277911;65696;37206;29479;8927;4576;891;838;1128;370;178;92;0;18;2
HAD;2013;760000463;760024042;0;;;;;206000;1;1;0;0;1;1;;;1;;0;;1;;1;;30;292;0;157;6;9408;0;5514;158;185;0;107;4;56;34;0;28;0;16;0
HAD;2013;760016659;760027359;0;;;;;182000;1;0;0;0;1;1;0;0;1;30;0;;0;;0;;30;262;0;83;2;9438;0;3036;9;151;0;52;2;46;16;0;5;0;1;1
HAD;2013;760020529;760000257;0;;;;;192200;0;0;0;0;1;;;;1;30;0;;0;;0;;30;218;0;111;10;9809;0;4578;608;136;0;75;6;42;31;1;3;0;0;0
HAD;2013;760021329;760000448;0;;;;;260000;0;0;0;0;1;0;1;0;1;25;0;;0;;0;;25;352;0;66;2;6641;0;1480;5;184;0;51;2;44;16;0;20;0;9;0
HAD;2013;760027938;760027359;0;;;;;170000;1;0;0;0;1;1;0;0;1;30;0;;0;;0;;30;184;0;86;5;6180;0;2173;45;127;0;66;4;40;27;0;3;0;1;0
HAD;2013;760783035;750721334;0;;;;;;0;0;0;0;1;0;1;0;1;45;1;5;1;5;1;5;60;797;462;97;6;11340;1872;2194;130;686;460;76;6;83;34;0;12;0;4;0
HAD;2013;760805770;760780726;0;;;;;;;;;;;;;;0;;1;5;0;;0;;5;487;486;0;0;2456;2455;0;0;468;468;0;0;0;0;0;0;0;0;0
HAD;2013;770000164;770110062;0;;;;;;1;;0;0;1;0;;;1;;1;;1;;1;;;240;0;5;3;4119;0;73;13;196;0;4;3;54;1;0;31;0;1;0
HAD;2013;770000446;770700185;1;2;770700185;770700185;;;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;3;339;336;0;0;1489;1467;0;0;305;304;0;0;0;0;0;0;0;0;0
HAD;2013;770016475;770014207;0;;;;;;0;0;0;0;1;1;;;1;35;0;0;0;0;0;0;35;154;1;35;17;6018;64;1354;229;78;1;30;6;34;12;2;1;0;1;0
HAD;2013;770700011;750042590;0;;;;;277379;0;0;0;0;1;1;;;0;;0;;1;30;0;;30;133;0;0;0;7655;0;0;0;104;0;0;0;40;0;0;1;0;0;0
HAD;2013;780000311;780001236;0;;;;;578000;0;0;0;0;0;0;1;0;0;0;1;16;0;0;0;0;16;771;771;0;0;2791;2791;0;0;484;484;0;0;0;0;0;0;0;0;0
HAD;2013;780004529;310021233;0;;;;;500000;0;0;0;0;1;1;0;0;1;60;0;;0;;0;;60;375;0;138;66;16739;0;6846;677;216;0;90;8;72;36;2;17;0;6;0
HAD;2013;790000087;790000012;0;;;;;135000;1;0;0;0;1;1;;;1;10;0;;1;10;1;10;30;224;0;92;32;7900;0;3306;667;127;0;64;16;34;20;0;10;0;4;0
HAD;2013;790000111;790000046;0;;;;;38869;0;0;0;0;1;0;1;0;1;10;0;;0;;0;;10;96;0;42;2;3494;0;1329;75;73;0;35;1;27;14;0;1;0;1;0
HAD;2013;790000137;790000061;0;;;;;;;;0;0;1;0;1;0;1;10;0;0;0;0;0;0;10;93;0;54;0;3004;0;1682;0;66;0;41;0;22;12;0;6;0;1;0
HAD;2013;790017289;790017271;0;;;;;160256;1;0;0;0;0;0;0;0;1;20;0;;0;;0;;20;261;0;80;34;6901;0;1775;926;176;0;67;22;46;19;2;11;0;3;0
HAD;2013;800000226;800000069;0;;;;;71407;1;1;0;0;1;1;;;1;30;0;;0;;0;;30;160;0;55;7;7367;0;1466;224;102;0;42;6;39;16;1;3;0;0;0
HAD;2013;800000523;800000853;0;;;;;;1;1;0;0;1;0;1;1;1;52;0;0;0;0;0;0;52;760;240;202;24;23126;738;7499;692;540;240;138;10;103;55;1;1;0;1;0
HAD;2013;800015448;800000093;0;;;;;85217;1;0;0;0;1;1;;;1;10;0;;0;;0;;10;174;1;50;0;3684;11;1066;0;128;1;39;0;56;20;0;3;0;2;0
HAD;2013;800015489;800000036;0;;;;;29900;1;1;0;0;1;0;0;0;1;10;0;;0;;0;;10;95;0;44;0;2686;0;1538;0;74;0;37;0;39;21;0;20;0;7;0
HAD;2013;800015539;800000028;0;;;;;;1;1;0;0;1;0;1;1;1;30;0;;0;;0;;30;344;0;96;32;8315;0;2036;218;241;0;71;5;72;23;0;0;0;0;0
HAD;2013;800015588;800000077;0;;;;;;1;0;0;0;1;1;;;1;10;0;;0;;0;;10;125;1;54;0;5205;26;2097;0;76;1;33;0;39;16;0;8;0;5;0
HAD;2013;800016768;800003071;0;;;;;55000;1;1;0;0;1;1;;;1;15;0;;0;;0;;15;118;0;37;2;3143;0;427;104;75;0;28;2;23;10;0;5;0;2;0
HAD;2013;800016776;800000085;0;;;;;55000;1;1;0;0;1;1;;;1;15;0;;0;;0;;15;114;0;45;1;3656;0;1111;18;60;0;28;1;20;13;0;1;0;0;0
HAD;2013;810000505;810000331;0;;;;;;0;0;;;;;;;1;43;1;6;0;;0;;49;615;294;75;28;12789;2060;3427;157;482;273;54;4;92;23;3;52;0;2;0
HAD;2013;810000521;810000380;0;;;;;114460;0;0;0;0;1;0;0;0;0;;1;6;0;;0;;6;189;189;0;0;2117;2117;0;0;167;167;0;0;0;0;0;0;0;0;0
HAD;2013;810007989;750047367;0;;;;;180000;0;0;0;0;1;1;;;1;43;0;;0;;0;;43;216;0;56;5;5633;0;1593;89;121;0;42;4;42;20;1;6;0;0;0
HAD;2013;820000032;820000016;0;;;;;175068;1;0;0;0;1;1;;;1;20;0;;0;;0;;20;204;0;45;33;5919;0;1759;371;102;0;36;9;29;10;5;0;0;0;0
HAD;2013;820000883;820004950;0;;;;;53500;1;0;0;0;1;0;0;0;1;20;0;;0;;0;;20;244;0;86;12;5832;0;1824;343;164;0;66;9;80;29;4;10;0;4;0
HAD;2013;830012498;830014049;0;;;;;;1;1;0;0;1;0;1;0;0;;0;;0;;0;;;251;0;74;7;10498;0;2374;433;183;0;55;4;75;27;1;16;0;3;0
HAD;2013;830019600;830000063;0;;;;;1007303;0;1;0;0;1;0;1;0;1;30;1;30;0;;0;;35;288;0;113;1;10664;0;4737;76;201;0;82;1;73;39;0;6;0;3;0
HAD;2013;830100392;830000154;0;;;;;110000;1;0;0;0;1;0;0;1;1;20;0;;0;;1;20;40;284;0;75;4;13820;0;1376;314;186;0;61;4;67;25;1;22;0;11;0
HAD;2013;830207114;830001855;1;2;830207114;;;700000;0;0;0;0;1;0;1;0;1;148;0;;0;;0;;148;822;16;233;3;54118;457;10584;25;524;15;169;2;272;82;0;102;0;42;0
HAD;2013;840011340;840003164;1;3;840011340;840011340;840011340;;1;0;0;0;1;1;1;0;1;140;0;;0;;0;;140;599;0;300;58;39455;0;16201;807;352;0;212;18;145;98;2;29;0;18;0
HAD;2013;850006008;850005968;0;;;;;597840;1;;0;0;0;0;1;0;1;100;0;;1;100;0;;100;1062;1;409;15;35891;22;14189;279;735;1;277;7;130;65;0;22;0;4;0
HAD;2013;860000025;860780063;1;1;860000025;;;109307;1;0;0;0;1;1;;;1;27;0;;0;;0;;27;300;0;120;14;6990;0;2148;254;201;0;96;7;71;37;0;9;0;4;0
HAD;2013;860000223;860013077;0;;;;;150000;0;0;0;0;1;1;;;1;30;0;;0;;0;;30;501;0;42;96;10162;0;1132;1052;298;0;37;19;65;9;3;25;0;0;0
HAD;2013;860008929;860008879;0;;;;;258583;0;0;0;0;1;1;;;1;30;1;5;1;5;0;;40;243;0;110;18;6546;0;3070;418;175;0;74;13;49;23;1;8;0;3;0
HAD;2013;870003514;870000015;1;2;870003514;;;;1;0;0;0;0;0;1;0;1;40;0;;0;;0;;40;950;0;110;416;17244;0;2903;1196;378;0;85;56;85;29;5;9;0;2;1
HAD;2013;870004231;870004074;1;3;870004231;870004231;870004231;350000;1;1;0;0;1;1;0;0;1;30;0;;0;;1;30;60;531;0;206;234;19786;0;11105;546;213;0;134;27;75;50;1;0;0;0;0
HAD;2013;880000039;880780069;0;;;;;168729;1;0;0;0;1;1;;;1;18;0;;0;;0;;18;260;117;51;6;5261;1579;1093;116;218;101;44;3;18;6;0;0;0;0;0
HAD;2013;880006606;750047367;0;;;;;130000;0;;0;0;;;;;1;30;0;;0;;0;;30;231;0;90;7;5908;0;2247;190;130;0;57;4;36;20;1;11;0;4;0
HAD;2013;890975527;890000037;0;;;;;;1;0;0;0;1;0;0;0;1;20;0;;0;;0;;20;210;16;89;5;3767;49;1669;44;159;16;68;4;50;31;1;19;0;11;1
HAD;2013;890975543;890000417;0;;;;;;1;0;0;0;1;1;;;1;15;0;;0;;0;;15;111;0;51;9;3459;0;962;93;70;0;44;4;25;19;1;3;0;3;0
