BOR;AN;FI;FI_EJ;DISCI;DIREC;DIRSI;ADMIN;DRSNI;ADMTO;CADRE;INFSP;INFNS;AIDES;ASHAU;PSYCH;SAGFE;REEDU;SOITO;EDUCS;ASSIS;EDUTO;PHLAB;TECHN;ETPPNM
Q24;2013;010000099;010780120;9999;0.5;;4.77;;5.27;0.98;9.52;;11.63;5.5;0.63;;2.74;31;;;;1.11;5.13;42.51
Q24;2013;010000107;010780138;1000;0.23;;1.72;;1.95;;0.06;;0.06;;;;;0.12;;;;;4.4;6.47
Q24;2013;010000107;010780138;2000;;;;;;1.97;10.56;;16.23;7.76;0.22;;1.18;37.92;0.18;;0.18;0.74;;38.84
Q24;2013;010000107;010780138;2100;;;;;;0.84;4.56;;9.31;4.43;0.1;;0.47;19.71;0.18;;0.18;0.42;;20.31
Q24;2013;010000107;010780138;2400;;;;;;1.13;6;;6.92;3.33;0.12;;0.71;18.21;;;;0.32;;18.53
Q24;2013;010000107;010780138;9999;0.23;;1.72;;1.95;1.97;10.62;;16.29;7.76;0.22;;1.18;38.04;0.18;;0.18;0.74;4.4;45.31
Q24;2013;010000115;010009132;1000;0.46;;2.07;;2.53;;;;;4.47;;;;4.47;;;;;6.69;13.69
Q24;2013;010000115;010009132;2000;;;1.11;;1.11;0.96;6.84;;15.45;9.88;0.99;;2.02;36.14;0.41;0.8;1.21;1.15;0.93;40.54
Q24;2013;010000115;010009132;2100;;;0.67;;0.67;0.15;1.61;;4.51;1.63;0.46;;0.32;8.68;;0.33;0.33;0.4;0.35;10.43
Q24;2013;010000115;010009132;2400;;;0.09;;0.09;0.15;2.09;;4.25;1;0.46;;0.56;8.51;0.25;0.33;0.58;0.35;0.4;9.93
Q24;2013;010000115;010009132;2500;;;0.35;;0.35;0.66;3.14;;6.69;7.25;0.07;;1.14;18.95;0.16;0.14;0.3;0.4;0.18;20.18
Q24;2013;010000115;010009132;9999;0.46;;3.18;;3.64;0.96;6.84;;15.45;14.35;0.99;;2.02;40.61;0.41;0.8;1.21;1.15;7.62;54.23
Q24;2013;010000131;010009132;1000;0.5;;1.4;;1.9;;;;;3.05;;;0.14;3.19;;;;0.49;6.7;12.28
Q24;2013;010000131;010009132;2000;;;1.12;;1.12;1.24;10.83;;11.57;5.2;0.49;;1.74;31.07;;0.41;0.41;;0.43;33.03
Q24;2013;010000131;010009132;2100;;;0.13;;0.13;0.27;2.11;;2.41;1;0.16;;0.42;6.37;;0.11;0.11;;0.08;6.69
Q24;2013;010000131;010009132;2400;;;0.99;;0.99;0.97;8.72;;9.16;4.2;0.33;;1.32;24.7;;0.3;0.3;;0.35;26.34
Q24;2013;010000131;010009132;9999;0.5;;2.52;;3.02;1.24;10.83;;11.57;8.25;0.49;;1.88;34.26;;0.41;0.41;0.49;7.13;45.31
Q24;2013;010000180;010007987;1000;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0.72;0.72;0;0.67;2.39
Q24;2013;010000180;010007987;2000;0;0;2;0;2;1;9.09;0;7.53;7.37;3;0;0;27.99;0;0;0;0;0.35;30.34
