BOR;AN;FI;FI_EJ;DIM_A1;DIM_A2;DIM_A3;DIM_A4;DIM_A5;DIM_A6;DIM_A7;DIM_A8;DIM_A9;DIM_A10;DIM_A11;DIM_A12;DIM_A13;DIM_A14;DIM_A15;DIM_A16;DIM_A17;DIM_A18;DIM_A19;DIM_A20;DIM_A21;DIM_A22;DIM_A23;DIM_A24;DIM_A25
INFOMED;2013;060780996;630786754;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;;2.6;0.5
INFOMED;2013;060781200;060000635;0;1;0;;;;;;;;;;0;0;1;1;1;0;0;0;0;1;060780715;1;0.3
INFOMED;2013;060781374;060000718;;;;;;;;;1;;;;0;0;0;0;0;0;0;0;0;0;;1;0.04
INFOMED;2013;060785219;060001468;0;1;0;;;;;;;;;;0;0;0;0;1;1;1;0;1;0;;7;0.2
INFOMED;2013;060788957;060785011;1;0;0;;;;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;;5.5;6.69
INFOMED;2013;060789674;130037815;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;0.1
INFOMED;2013;060791811;750826638;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;2;0.4
INFOMED;2013;060794013;060790797;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;;2;0.2
INFOMED;2013;060798881;060798873;;;;;;;0;1;0;;;;0;0;1;0;0;0;;;0;0;;0.2;0.25
INFOMED;2013;060800166;060780608;0;1;0;;;;;;;;;;0;0;0;0;1;1;1;0;1;0;;7;0.2
INFOMED;2013;060800182;060002912;;;;;;;;1;;;;;0;0;0;0;0;1;0;1;0;0;;0.5;0.06
INFOMED;2013;070000013;070002878;1;;;;;;1;;;;;;0;0;0;0;0;1;0;1;1;0;;2;0.8
INFOMED;2013;070000062;070005558;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;260000047;0.3;
INFOMED;2013;070000096;070780184;;1;;;;;;1;;;;;0;0;0;0;0;0;;0;;1;070780358;0.5;
INFOMED;2013;070000179;070780358;1;;;;;;1;;;;;;0;0;0;0;0;0;0;0;0;0;;2.79;1.4
INFOMED;2013;070000195;070780374;1;0;0;0;0;;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;070780358;0.3;0.15
INFOMED;2013;070000203;070780382;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;;0;;1;690782230;0.4;0.04
INFOMED;2013;070000609;070005566;;;1;;;1;;;1;;;1;0;0;0;0;0;0;0;0;0;1;;;
INFOMED;2013;070006168;300012267;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;1;070005566;;
INFOMED;2013;070780226;300012267;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;1;070005566;;
INFOMED;2013;070780317;630786754;;;;;;;;;;1;0;0;0;0;0;0;0;1;0;1;0;0;;2.5;0.5
INFOMED;2013;070780408;070000229;0;0;1;;;;;;;;;;1;1;1;1;1;0;0;0;1;0;;0.4;0.05
INFOMED;2013;070780424;070000245;0;0;1;;;;;;;;;;0;0;0;0;0;0;;;1;0;;3.76;0.5
INFOMED;2013;070784897;750820680;;;;;;;1;0;0;;;;0;0;1;1;1;0;0;0;0;1;070005566;;
INFOMED;2013;070786231;690796552;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;;0.01;0.01
INFOMED;2013;070786249;690796552;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;;0.01;0.01
INFOMED;2013;080000110;080000037;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;;4;0.2
INFOMED;2013;080000219;080001969;0;0;1;0;0;1;0;0;1;;;;0;0;0;0;0;1;1;0;1;0;;2;0.33
INFOMED;2013;080000250;540019726;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;0.4;0.1
INFOMED;2013;080000268;540019726;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;0.15;0.03
INFOMED;2013;080000284;080000060;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;1;080000615;0.2;
INFOMED;2013;080000318;080000086;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;1.12;0.4
INFOMED;2013;080000425;080000615;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;6.4;1
INFOMED;2013;080002140;540019726;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;0;0.02
INFOMED;2013;080010473;080010242;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;2;0.2
INFOMED;2013;090000019;090180019;;;;;;;1;0;0;;;;0;0;1;1;0;0;0;0;0;0;;;
INFOMED;2013;090000175;090781774;1;0;0;1;0;0;1;0;0;;;;0;0;0;0;0;1;1;0;0;1;090781816;3.69;1.55
INFOMED;2013;090000183;090781816;0;1;0;0;0;0;1;0;0;1;0;0;;;;;;;1;;1;1;090000175;2.62;1.13
INFOMED;2013;090000217;090782251;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;090000175;;
INFOMED;2013;090001629;090780107;0;0;1;;;;0;1;0;;;;0;0;0;0;0;1;1;0;0;1;090781774;0.4;0.3
INFOMED;2013;090002478;090002429;;;;0;0;1;;;;;;;0;0;0;0;0;0;0;0;1;0;;0.5;0.2
INFOMED;2013;100000082;100001148;0;0;1;;;;;;;;;;0;0;0;0;0;0;0;0;1;0;;0.5;
INFOMED;2013;100000090;100000017;0;1;0;;;;0;1;0;;;;0;0;0;0;0;1;0;0;0;0;;6.3;2
INFOMED;2013;100000108;100000033;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;;1;0
INFOMED;2013;100000199;100006279;;;1;;;;;;;;;;0;0;0;0;1;1;0;1;1;0;;1.1;0.2
INFOMED;2013;100002351;100000561;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;;2.5;0.1
INFOMED;2013;100008903;100007335;;;;0;0;1;;;;;;;0;0;0;0;0;0;0;0;0;0;;0.1;0.1
INFOMED;2013;100009083;750721235;;;;;;;1;0;0;;;;0;0;1;1;1;0;0;;0;0;;0.15;0.13
INFOMED;2013;110000023;110780061;;1;;;;;;;;;;;0;0;0;0;0;1;1;0;1;0;;5.77;1.68
INFOMED;2013;110000049;110780087;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;110000023;1;0.08
INFOMED;2013;110000056;110780137;1;;;;;;1;;;1;;;0;0;0;0;0;0;1;0;1;0;;2.8;1
INFOMED;2013;110000189;110780707;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;320861818;1;0.1
INFOMED;2013;110000247;110780772;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;;1;0.2
INFOMED;2013;110000262;110781010;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;0.1;0.05
INFOMED;2013;110003118;310012638;;;;;;;0;0;1;;;;1;0;1;1;1;1;1;0;1;0;;0.1;0.2
INFOMED;2013;110780152;110000064;;;;;;;;;;;;1;0;0;0;0;0;1;1;1;0;0;;0.1;0.2
