BOR;AN;FI;FI_EJ;AUT;SAL;SALANG;SEJ;JOU;ACT;ACT1;ACT2;ACT3;ADU;ENF;GREF;SALAS;CEC;INTENF;INTADU;INTURG;INTCEC;LIT_CHIRC;LIT_CAR;SEJ_CHIRC;JOU_CHIRC
CHIRCAR;2013;910803543;910017615;1;2;2;1136;4586;1238;337;0;901;0;0;0;;;0;0;;0;;28;0;0
CHIRCAR;2013;920000650;920150059;1;0;1;420;1626;446;10;;436;0;0;1;;;0;0;;0;;;0;0
CHIRCAR;2013;920000684;920150091;1;3;3;1418;3089;1530;19;222;1289;1;1;1;4;6;1017;1231;;1104;38;16;4479;9684
CHIRCAR;2013;920100013;750712184;1;1;;400;1229;424;9;0;415;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;920100039;750712184;1;;;;;;;;;0;0;0;;;;;;;;;;
CHIRCAR;2013;920120011;750821092;1;0;1;266;1066;300;275;0;25;0;0;0;;;0;0;;0;;18;0;0
CHIRCAR;2013;920300043;920001526;1;2;2;648;2979;752;223;0;529;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;920300753;920810736;1;2;1;2588;7882;2854;1750;0;1104;1;0;0;2;2;1;1376;;1258;10;45;0;0
CHIRCAR;2013;920300787;920000981;1;0;0;516;1071;538;33;0;505;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;930000286;930021480;1;1;1;821;3523;2222;433;0;1789;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;930000302;930110036;1;;1;623;1842;672;7;0;665;0;0;0;;;0;0;;0;0;25;0;0
CHIRCAR;2013;930000336;930110069;1;1;;370;1586;412;6;0;406;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;930100037;750712184;1;1;0;105;719;108;83;0;25;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;930300025;930000393;1;2;;768;2777;824;153;0;671;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;930300645;930000682;1;3;2;2568;9681;2782;1160;0;1622;1;0;0;2;2;0;1324;80;1177;0;81;6829;22939
CHIRCAR;2013;940000599;940110042;1;1;1;375;1542;406;58;0;348;0;0;0;;;0;0;;0;0;30;0;0
CHIRCAR;2013;940000649;940150014;1;1;0;114;749;126;56;0;70;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;940100027;750712184;1;3;3;1652;6219;1982;680;0;1302;1;0;1;2;3;0;940;406;752;31;69;927;7249
CHIRCAR;2013;940120017;750821092;1;;;0;0;0;0;0;0;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;940300031;940000706;1;0;0;100;527;106;73;0;33;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;950000307;950110015;1;1;1;589;2969;642;265;0;377;0;0;0;;;0;0;;0;;34;0;0
CHIRCAR;2013;950000323;950013870;1;1;1;571;1994;607;102;0;505;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;950000331;950110049;1;0;1;504;1833;543;2;0;541;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;950000364;950110080;1;1;1;734;3032;867;209;0;658;0;0;0;0;0;0;0;0;0;0;41;0;0
CHIRCAR;2013;970100392;970100178;1;1;;60;410;63;63;0;0;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;970100442;970100228;1;1;1;340;1969;372;129;0;243;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;970211215;970211207;1;2;1;540;1912;547;184;0;363;1;1;0;2;2;1;297;;278;16;8;429;5108
CHIRCAR;2013;970300026;970302022;1;1;1;0;0;45;35;0;10;0;0;0;;;0;;;0;;;0;0
CHIRCAR;2013;970400024;970408589;1;1;1;790;2592;878;114;17;747;1;0;0;2;3;14;790;187;693;15;30;614;4333
CHIRCAR;2013;970400057;970408589;1;2;0;504;1809;525;516;0;9;0;0;0;;;0;0;;0;;25;0;0
CHIRCAR;2013;970462107;970400305;1;0;2;622;1781;668;69;0;599;0;0;0;;;0;0;;0;0;35;0;0
