BOR;AN;FI;FI_EJ;PALIA_A1;PALIA_A2;PALIA_A3;PALIA_A4;PALIA_A5;PALIA_A6;PALIA_A7;PALIA_A8;PALIA_A9;PALIA_A10;PALIA_A11;PALIA_A12;PALIA_A13;PALIA_A14;PALIA_A15;PALIA_A16;PALIA_A17;PALIA_A18;PALIA_A19;PALIA_A20
PALIA;2013;360000160;360000079;1;4;2;0;73;0;;;;0;;;;;;;;;;
PALIA;2013;360003149;360000053;1;;;;;0;;;;0;;;;;;;;;;
PALIA;2013;370000093;370000192;1;9;;;141;0;;;;0;;;;;;;;;;
PALIA;2013;370000515;370000481;0;;;;;0;;;;1;1;;;;;;;;;
PALIA;2013;370000531;370000606;1;4;4;0;;0;;;;1;1864;1;;27;15;12;0;212;0;0
PALIA;2013;370000861;370000481;1;14;0;0;198;0;;;;1;508;;;;;;;3987;89;24
PALIA;2013;370001109;370002701;0;;;;;1;1;10;207;0;;;;;;;;;;
PALIA;2013;370004467;370000481;1;4;0;0;94;0;;;;1;97;;;;;;;;;
PALIA;2013;370007569;370007528;1;18;0;0;421;0;;;;1;155;0;2;0;0;0;0;493;10;5
PALIA;2013;380000034;380780049;1;5;;;424;0;;;;1;3472;;;;;;;276;;
PALIA;2013;380000042;380780056;1;3;;;;0;;;;0;;;;;;;;;;
PALIA;2013;380000059;380780072;1;3;;;26;0;;;;0;;;;;;;;;;
PALIA;2013;380000067;380780080;1;16;;;525;1;1;10;270;1;7126;;;;;;;715;138;175
PALIA;2013;380000091;380780171;1;3;0;0;41;0;;;;0;;;;;;;;;;
PALIA;2013;380000174;380781435;1;16;8;0;128;0;;;;1;4001;13;5;58;20;38;0;401;162;124
PALIA;2013;380000406;380784751;1;3;0;0;35;0;;;;1;2334;10;18;769;;;;190;;
PALIA;2013;380012658;380012609;1;11;0;0;54;0;;;;1;2592;0;0;0;;;;259;20;19
PALIA;2013;380780379;380798249;1;5;5;;42;0;;;;0;;;;;;;;;;
PALIA;2013;380785956;380795211;1;3;0;0;64;0;;;;0;;;;;;;;;;
PALIA;2013;390000040;390780146;1;3;0;0;49;0;;;379;1;1893;6;5;25;5;14;6;398;14;14
PALIA;2013;390000065;390780161;1;3;0;0;67;0;;;;1;689;1;0;2;0;2;0;75;67;14
PALIA;2013;390000131;390780377;1;2;2;;13;0;;;;0;;;;;;;;;;
PALIA;2013;390000214;390780591;0;;;;;0;;;;1;249;2;0;22;0;20;2;91;21;0
PALIA;2013;390000222;390780609;1;3;1;0;87;0;;;;1;5310;13;3;57;20;25;12;356;70;70
PALIA;2013;400000105;400780193;1;5;;;178;0;;;;1;4585;23;9;399;176;198;25;385;77;108
PALIA;2013;400000139;400011177;1;5;0;0;114;0;;;;1;4578;13;16;37;1;24;12;379;5;75
PALIA;2013;400000147;400780268;1;3;0;0;60;0;;;;0;;;;;;;;;;
PALIA;2013;400000261;400780458;1;2;2;0;27;0;;;;0;;;;;;;;;;
PALIA;2013;410000020;410000087;1;12;6;0;173;0;;;;1;4327;26;8;598;134;118;346;787;39;112
PALIA;2013;410000038;410000095;1;9;0;0;152;0;;;;1;388;0;0;0;0;0;0;117;26;0
PALIA;2013;410000046;410000103;1;6;2;0;46;0;;;;0;;;;;;;;;;
PALIA;2013;410000053;410000111;1;2;1;;715;0;;;;0;;;;;;;;;;
PALIA;2013;410000178;410000137;1;5;5;0;43;0;;;;0;;;;;;;;;;
PALIA;2013;410000202;410000319;1;12;;;199;0;;;7324;0;;;;;;;;;;
PALIA;2013;420000010;420780033;1;5;;;48;0;;;;1;1811;22;3;870;105;249;516;441;90;45
PALIA;2013;420000226;420013831;1;3;0;0;152;0;;;;0;;;;;;;;;;
PALIA;2013;420000234;420780652;0;;;;;0;;;;1;3410;17;1;5745;5577;168;0;502;209;1502
PALIA;2013;420000242;420780660;1;8;8;;97;0;;;;0;;;;;;;;;;
PALIA;2013;420000267;420013831;1;4;0;0;107;0;;;;1;2858;19;3;9035;6652;2591;789;547;57;195
PALIA;2013;420010241;420013492;1;6;;;128;0;;;;0;;;;;;;;;;
PALIA;2013;420780546;420000168;1;4;0;0;9;0;;;;0;;;;;;;;;;
PALIA;2013;420780637;420002495;1;3;0;0;32;0;;;;1;2538;;;;;;;141;;
PALIA;2013;420782559;420784878;0;;;;;1;1;8;226;1;323;33;4;114;23;56;4;944;840;660
PALIA;2013;420782567;420784878;1;3;0;0;72;0;;;;0;;;;;;;;;;
PALIA;2013;420785354;420784878;1;9;0;0;371;0;;;;0;;;;;;;;;;
PALIA;2013;430000117;430000018;1;9;2;0;104;0;;;;1;2667;2;6;;;;;330;313;324
PALIA;2013;430000190;430000034;1;1;0;0;31;0;;;;0;;;;;;;;;;
PALIA;2013;430000307;430000067;1;2;2;0;15;0;;;;1;33;1;1;18;4;14;0;33;28;0
PALIA;2013;430000356;430000091;1;2;0;0;28;0;;;;0;;;;;;;;;;
PALIA;2013;440000016;440000057;1;9;;;;0;;;;1;318;35;6;84;45;37;2;578;87;112
PALIA;2013;440000271;440000289;1;;;;261;1;1;8;211;1;;;;;;;;;;
PALIA;2013;440000396;440000297;1;5;0;0;102;0;;;;1;362;26;0;153;;153;;172;84;27
PALIA;2013;440000503;440000313;1;4;2;;122;0;;;;1;1038;14;5;299;184;111;4;295;120;7
PALIA;2013;440000560;850009010;1;10;7;0;152;0;;;;1;321;15;4;51;24;11;16;232;104;100
PALIA;2013;440000883;440042141;1;10;8;0;87;0;;;;0;;;;;;;;;;
PALIA;2013;440001113;490017258;1;12;;;121;0;;;;0;;;;;;;;;;
PALIA;2013;440001253;440028538;1;6;0;0;17;0;;;;0;;;;;;;;;;
PALIA;2013;440001261;440028538;1;0;;;59;0;;;;0;;;;;;;;;;
PALIA;2013;440001287;440041531;1;6;0;0;113;0;;;;0;;;;;;;;;;
PALIA;2013;440002459;440001501;1;6;;;66;0;;;;1;5;;1;;;;;;546;
PALIA;2013;440017598;440000289;1;4;;;;0;;;;0;;;;;;;;;;
PALIA;2013;440023364;440006377;1;16;0;0;362;0;;;;0;;;;;;;;;;
PALIA;2013;440024669;440042844;1;10;10;;105;0;;;;0;;;;;;;;;;
PALIA;2013;440024982;440000461;1;4;;;129;0;;;;0;;;;;;;;;;
PALIA;2013;440048239;440041895;1;4;;;85;0;;;;0;;;;;;;;;;
PALIA;2013;440050433;440041895;1;16;12;0;170;0;;;;0;;;;;;;;;;
PALIA;2013;450000021;450000088;1;0;0;0;64;0;;;;0;;;;;;;;;;
PALIA;2013;450000062;450000104;1;10;4;0;93;0;;;;1;1676;15;1;41;0;41;0;318;60;0
PALIA;2013;450000070;450000112;1;5;3;;50;0;;;;0;;;;;;;;;;
PALIA;2013;450002613;450000088;1;37;6;0;273;0;;;;1;2834;0;3;0;;;;735;558;45
PALIA;2013;460000045;460780083;1;2;0;0;37;0;;;;0;;;;;;;;;;
PALIA;2013;460000052;460780091;1;4;2;;86;0;;;;1;1205;2;2;160;73;4;83;220;60;41
PALIA;2013;460000102;460780208;1;5;3;0;88;0;;;;0;;;;;;;;;;
PALIA;2013;460000110;460780216;1;8;0;0;185;0;;;;1;1886;0;0;0;0;0;0;166;543;0
PALIA;2013;460006075;460006067;1;2;;;52;0;;;;0;;;;;;;;;;
PALIA;2013;470000027;470014069;1;5;0;0;86;0;;;;0;;;;;;;;;;
PALIA;2013;470000431;470000324;1;5;;;83;0;;;;1;986;6;4;172;48;9;106;233;76;3
PALIA;2013;470000480;470001660;0;;;;;0;;;;1;109;2;1;12;4;4;4;121;3;5
PALIA;2013;470005406;470000316;1;5;0;0;158;0;;;;1;851;10;4;767;131;34;602;195;34;0
PALIA;2013;480000017;480780097;1;5;;;158;0;;;;1;996;18;19;239;213;26;;226;195;27
PALIA;2013;480000041;480780139;1;2;;;;0;;;;0;;;;;;;;;;
PALIA;2013;490000049;490000031;1;8;0;0;111;1;1;5;205;1;181;45;14;61;20;40;1;383;192;576
PALIA;2013;490000155;490017258;1;14;;;231;0;;;;0;;;;;;;;;;
PALIA;2013;490000239;490015765;1;2;2;;20;0;;;;0;;;;;;;;;;
PALIA;2013;490000254;490015765;1;3;1;;28;0;;;;0;;;;;;;;;;
PALIA;2013;490000262;490000171;1;3;;;49;0;;;;0;;;;;;;;;;
PALIA;2013;490000320;490000395;1;2;;;39;0;;;;0;;;;;;;;;;
PALIA;2013;490000494;490000429;1;2;0;0;30;0;;;;0;;;;;;;;;;
PALIA;2013;490000569;490000437;1;4;4;0;26;0;;;;0;;;;;;;;;;
PALIA;2013;490000601;490015856;1;3;3;0;67;0;;;;1;26;16;5;150;;150;;236;0;59
PALIA;2013;490000635;490000676;1;10;0;0;130;0;;;;1;1881;26;5;88;27;19;42;299;56;68
PALIA;2013;490001765;490528452;1;7;4;0;188;0;;;;1;401;;;;;;;173;16;20
PALIA;2013;490004256;490001716;1;2;0;0;33;0;;;;0;;;;;;;;;;
PALIA;2013;490009248;490535168;1;6;6;0;132;0;;;;0;;;;;;;;;;
PALIA;2013;490532173;530000025;1;2;2;0;29;0;;;;0;;;;;;;;;;
PALIA;2013;490537818;490011384;0;;;;;0;;;;1;4;0;1;0;0;0;0;0;0;0
PALIA;2013;500000021;500000054;0;;;;;0;;;;1;1719;1;1;120;115;9;;376;;
PALIA;2013;500000146;500000500;1;7;0;0;129;0;;;;0;;;;;;;;;;
PALIA;2013;500000187;500000013;1;8;0;0;;0;;;;1;3329;22;5;3191;;655;2536;991;125;72
PALIA;2013;500000195;500000039;1;3;;;67;0;;;;0;;;;;;;;;;
PALIA;2013;500000302;500000062;1;3;;;23;0;;;;0;;;;;;;;;;
PALIA;2013;500000435;500000104;1;5;0;0;71;0;;;;0;;;;;;;;;;
PALIA;2013;500000450;500000112;1;5;0;0;68;0;;;;1;3829;1;;1;;1;;187;68;
PALIA;2013;500000476;500000138;1;4;;;54;0;;;39;0;;;;;;;;;;
PALIA;2013;500000591;500000393;0;;;;;0;;;;1;1381;1;1;157;0;125;32;;;
PALIA;2013;510000169;510000037;1;5;0;0;31;0;;;;1;11238;9;4;2440;35;780;519;1300;102;155
PALIA;2013;510000185;510000532;1;5;;;220;0;;;;0;;;;;;;;;;
PALIA;2013;510000235;510000060;1;5;;;60;0;;;;0;;;;;;;;;;
PALIA;2013;510000250;510000078;1;6;0;0;52;0;;;;0;;;;;;;;;;
PALIA;2013;510000466;510000102;1;2;0;0;17;0;;;;0;;;;;;;;;;
PALIA;2013;510000516;510000136;1;10;;;247;0;;;;1;5764;1;2;462;458;0;4;691;92;103
PALIA;2013;510002447;510000029;1;13;0;0;314;0;;;;0;;;;;;;;;;
PALIA;2013;510002454;510000029;0;;;;;1;1;14;261;1;1082;16;6;816;275;205;336;419;36;38
PALIA;2013;510002470;510000029;1;2;0;2;61;0;;;;1;57;;0;16;0;7;9;18;8;6
PALIA;2013;510004302;510000029;1;12;0;0;262;0;;;;0;;;;;;;;;;
PALIA;2013;510012040;510000557;1;5;;;71;0;;;;0;;;;;;;;;;
PALIA;2013;520000043;520780057;1;5;0;0;180;0;;;;1;2529;8;4;397;98;260;39;201;84;73
PALIA;2013;520000068;520780073;1;6;;;83;0;;;;1;6828;8;7;183;4;28;151;519;45;12
PALIA;2013;530000017;530000025;1;4;4;0;48;0;;;;1;441;17;1;550;403;85;62;406;4610;1359
PALIA;2013;530000132;530007202;1;3;;;26;0;;;;1;116;6;1;;;;;;;
PALIA;2013;530000140;530000058;1;5;0;0;75;0;;;;0;;;;;;;;;;
PALIA;2013;530000165;530000066;1;4;1;;50;0;;;;0;;;;;;;;;;
PALIA;2013;530000173;530000074;1;3;0;0;62;0;;;;1;1180;22;8;593;48;171;374;206;107;24
PALIA;2013;530000181;530007202;1;2;;;57;0;;;;1;65;6;1;61;;52;9;162;14;6
PALIA;2013;530000264;530000371;1;3;0;0;51;0;;;;1;1502;18;3;128;40;42;46;369;1344;413
PALIA;2013;540000023;540000049;0;;;;;0;;;;1;2018;6;0;1274;;;;150;22;7
PALIA;2013;540000072;540014081;1;6;;;65;0;;;;0;;;;;;;;;;
PALIA;2013;540000155;540000080;0;;;;;0;;;;1;230;3;4;71;52;19;;120;21;0
PALIA;2013;540000270;540003399;1;5;5;;48;0;;;;1;1903;2;2;1690;213;325;1152;106;0;0
PALIA;2013;540000296;540000106;1;5;;;63;0;;;;0;;;;;;;;;;
PALIA;2013;540000395;540000122;1;6;6;;42;0;;;;0;;;;;;;;;;
PALIA;2013;540000486;540000932;1;8;0;0;450;0;;;;0;;;;;;;;;;
PALIA;2013;540000585;540006707;1;13;13;;113;0;;;;0;;;;;;;;;;
PALIA;2013;540001096;570010181;1;7;;;97;0;;;;1;800;2;1;21;0;0;21;157;;
PALIA;2013;540001104;540000882;1;8;4;;43;0;;;;1;322;3;2;180;6;174;0;199;38;0
PALIA;2013;540001138;540002078;0;;;;;1;1;15;245;1;1169;12;3;66;26;40;;415;5368;0
PALIA;2013;540001286;540003019;1;12;;;219;0;;;;1;2174;0;0;0;;;;284;25;36
PALIA;2013;540002698;540002078;1;11;;1;420;0;;;;0;;;;;;;;;;
PALIA;2013;550000012;550000020;1;8;2;0;63;0;;;;1;2792;7;1;119;19;23;77;334;96;40
PALIA;2013;550000038;550000046;1;3;0;0;55;0;;;;0;;;;;;;;;;
PALIA;2013;550000434;550003354;1;8;3;;116;0;;;;1;1096;3;5;342;326;16;25;476;91;168
PALIA;2013;560000127;560023210;1;7;0;0;163;0;;;;1;816;10;2;62;2;35;25;297;112;62
PALIA;2013;560000135;560005746;1;12;;;300;0;;;;1;1635;26;6;127;28;71;28;418;105;70
PALIA;2013;560000143;560014748;0;;;;;0;;;;1;1233;;;0;;;;;;
PALIA;2013;560000184;560006017;0;;;;;1;2;8;116;0;;;;;;;;;;
PALIA;2013;560000291;560000085;1;2;;;594;0;;;;0;;;;;;;;;;
PALIA;2013;560000366;560000259;1;6;0;0;90;0;;;;0;;;;;;;;;;
PALIA;2013;560008799;560013989;1;20;0;0;;0;;;;0;;;;;;;;;;
PALIA;2013;560015422;560002214;1;4;4;;49;0;;;;0;;;;;;;;;;
PALIA;2013;570000026;570024794;1;7;5;;0;0;;;;0;;;;;;;;;;
PALIA;2013;570000091;750050759;1;3;0;0;122;0;;;;0;;;;;;;;;;
PALIA;2013;570000109;570000034;1;2;2;;;0;;;;0;;;;;;;;;;
PALIA;2013;570000117;570015099;0;;;;;0;;;;1;1409;6;2;324;44;145;135;;10;3
PALIA;2013;570000125;570015099;1;5;0;0;79;0;;;;0;;;;;;;;;;
PALIA;2013;570000216;570010173;1;2;2;0;27;0;;;;0;;;;;;;;;;
PALIA;2013;570000281;570005165;1;2;0;0;12;1;1;10;164;1;2217;26;38;426;30;196;81;818;68;378
PALIA;2013;570000349;570005165;1;8;0;0;127;0;;;;0;;;;;;;;;;
PALIA;2013;570000448;750050759;1;10;10;;30;0;;;;0;;;;;;;;;;
PALIA;2013;570000455;570010173;1;3;;;35;0;;;;0;;;;;;;;;;
PALIA;2013;570000547;540019726;1;10;10;;89;0;;;;0;;;;;;;;;;
PALIA;2013;570000596;750821092;1;5;0;0;56;0;;;;0;;;;;;;;;;
PALIA;2013;570000901;570000158;1;3;0;0;;0;;;;1;386;;;0;;;;182;48;5
PALIA;2013;570000950;570000398;1;6;2;;13;0;;;;0;;;;;;;;;;
PALIA;2013;570000968;570000430;1;3;1;;22;0;;;;0;;;;;;;;;;
PALIA;2013;570001057;570023630;0;;;;;0;;;;1;1481;17;1;42;7;28;34;443;7;36
PALIA;2013;570003079;570010181;1;2;;;75;0;;;;0;;;;;;;;;;
PALIA;2013;570005256;570005165;1;1;0;0;10;0;;;;0;;;;;;;;;;
PALIA;2013;570009670;570000307;1;12;4;0;73;0;;;;0;;;;;;;;;;
PALIA;2013;570026682;570005165;1;21;0;0;178;1;1;10;177;0;;;;;;;;;;
PALIA;2013;580780138;580000024;1;3;;;50;0;;;;0;;;;;;;;;;
PALIA;2013;580972677;580780088;1;2;;;39;0;;;;0;;;;;;;;;;
PALIA;2013;580972685;580780096;1;2;;;;0;;;;1;1552;2;;9;;9;;199;42;21
PALIA;2013;580972693;580780039;1;8;;;127;1;1;12;335;1;6782;3;4;57;17;22;18;746;55;16
PALIA;2013;590000113;590053120;0;;;;;1;2;10;;1;119;16;0;111;0;111;0;79;3;90
PALIA;2013;590000121;590780227;1;6;3;0;25;0;;;;1;958;;;;;;;278;;
PALIA;2013;590000188;590780334;1;14;0;0;290;1;1;11;234;1;260;0;0;0;0;0;0;176;28;0
PALIA;2013;590000337;590781415;1;10;;;14;0;;;;1;1361;1;1;229;38;50;0;331;1230;1275
PALIA;2013;590000428;590781605;1;6;;;91;0;;;;1;3404;4;2;0;;;;264;7;0
PALIA;2013;590000477;590781670;1;5;2;;50;0;;;;0;;;;;;;;;;
PALIA;2013;590000527;590781795;0;;;;;1;2;10;149;1;54;5;7;292;234;5;53;149;56;0
PALIA;2013;590000535;590781803;1;7;;;10;0;;;;0;;;;;;;;;;
PALIA;2013;590000592;590782165;1;6;3;0;123;0;;;;1;2793;4;2;88;0;10;78;127;72;18
PALIA;2013;590000618;590782215;1;12;2;0;254;1;1;10;316;1;4848;12;5;275;63;107;105;717;170;166
PALIA;2013;590000691;590782439;1;2;0;0;;0;;;;0;;;;;;;;;;
PALIA;2013;590000758;590782637;1;5;2;0;92;0;;;;0;;;;;;;;;;
PALIA;2013;590000774;590782652;1;4;2;0;1171;0;;;;0;;;;;;;;;;
PALIA;2013;590001004;590783239;0;;;;;1;1;10;218;1;391;1;1;7;0;7;0;147;0;0
PALIA;2013;590001582;590785663;1;5;5;0;33;0;;;;1;350;12;0;772;0;772;0;90;20;28
PALIA;2013;590001749;590788956;1;2;;;59;0;;;;0;;;;;;;;;;
PALIA;2013;590008041;590008033;0;;;;;1;1;8;231;0;;;;;;;;;;
PALIA;2013;590046520;590046512;1;4;;;7;0;;;;1;290;;;;;;;34;;
PALIA;2013;590049565;780020715;0;;;;;1;1;20;271;1;0;41;20;1256;312;869;75;333;2;73
PALIA;2013;590780268;590053955;0;;;;;1;1;8;151;0;;;;;;;;;;
PALIA;2013;590780284;590051801;1;10;6;;;0;;;;1;742;;;;;;;310;;
PALIA;2013;590782298;590000675;1;2;2;;27;0;;;;0;;;;;;;;;;
PALIA;2013;590782496;590000139;1;4;0;0;59;0;;;;0;;;;;;;;;;
PALIA;2013;590782546;590000733;1;5;;;131;0;;;;0;;;;;;;;;;
PALIA;2013;590783189;590004552;0;;;;;1;2;10;;0;;;;;;;;;;
PALIA;2013;590784864;590780193;1;4;;;;1;1;10;234;1;115;;;907;;;;727;;
PALIA;2013;590791091;590780193;0;;;;;1;2;5;;0;;;;;;;;;;
PALIA;2013;590796975;590780193;1;2;;;;0;;;;0;;;;;;;;;;
PALIA;2013;590797353;590051801;1;3;;;;1;1;12;285;1;687;;;;;;;370;;
PALIA;2013;590801106;590782421;1;10;0;0;1;1;1;12;252;1;2096;3;0;0;0;0;0;782;;194
PALIA;2013;590804696;590781902;0;;;;;1;1;10;276;1;7000;4;1;1939;984;955;0;589;61;11
PALIA;2013;590811279;590780193;1;11;;;;0;;;;0;;;;;;;;;;
PALIA;2013;600000020;600100085;1;6;4;0;38;0;;;;0;;;;;;;;;;
PALIA;2013;600000046;600100127;1;3;3;0;13;0;;;;0;;;;;;;;;;
PALIA;2013;600000053;600101984;1;4;0;0;4;1;1;12;131;1;2771;0;0;0;0;0;0;161;0;0
PALIA;2013;600000152;600100572;1;2;0;0;36;0;;;;0;;;;;;;;;;
PALIA;2013;600000186;600100648;1;2;0;0;3;0;;;;0;;;;;;;;;;
PALIA;2013;600000194;600100713;1;10;0;0;283;1;1;10;179;1;10470;9;6;772;362;202;208;580;212;37
PALIA;2013;600000285;600100721;1;9;3;;93;1;1;8;34;0;;;;;;;;;;
PALIA;2013;600000467;600101984;1;6;0;0;37;0;;;;1;9022;0;12;152;4;7;141;366;12;45
PALIA;2013;600100101;750712184;0;;;;;0;;;;1;148;;;;;;;73;;
PALIA;2013;600100168;600106629;1;2;0;0;53;0;;;;0;;;;;;;;;;
PALIA;2013;600100275;600000111;1;7;7;0;65;0;;;;1;5;0;;0;0;0;0;;0;0
PALIA;2013;600100754;600000228;1;8;4;0;;0;;;;0;;;;;;;;;;
PALIA;2013;600113476;600100721;1;9;2;0;;0;;;;1;9790;21;3;1870;1184;181;505;729;39;78
PALIA;2013;610000044;610780074;1;2;0;0;61;0;;;;1;744;4;1;212;21;24;167;121;42;2
PALIA;2013;610000051;610780082;0;;;;;0;;;;1;2649;5;4;259;87;42;130;210;63;35
PALIA;2013;610000069;610780090;1;4;0;0;76;0;;;;1;1700;4;;137;;24;113;542;11;119
PALIA;2013;610000077;610780124;1;3;;;56;0;;;56;0;;;;;;;;;;
PALIA;2013;610000119;610780165;1;8;0;0;100;0;;;;1;685;12;2;294;225;29;40;360;52;22
PALIA;2013;620000034;620100057;1;9;;;73;0;;;;1;1638;3;1;925;596;329;;259;48;8
PALIA;2013;620000059;620100073;1;5;5;0;71;0;;;;1;3927;3;2;806;508;294;4;168;6;0
PALIA;2013;620000224;620100651;0;;;;;1;1;9;209;1;1305;29;13;399;79;144;176;575;0;34
PALIA;2013;620000240;620100677;1;6;0;;44;0;;;;0;;;;;;;;;;
PALIA;2013;620000257;620100685;0;;;;;1;1;10;315;1;3610;;;;;;;640;45;6
PALIA;2013;620000299;620101295;1;4;;;57;0;;;;0;;;;;;;;;;
PALIA;2013;620000323;620101337;1;6;0;0;220;0;;;;1;3332;9;0;40;5;35;0;799;56;50
PALIA;2013;620000349;620101360;1;15;8;;;0;;;;1;1635;;;;;;;;;
PALIA;2013;620000653;620103440;1;13;4;0;150;0;;;;1;5820;5;0;124;69;55;;461;0;0
PALIA;2013;620003202;620103432;1;4;0;0;13;0;;;;1;1542;0;3;5;5;0;0;366;21;17
PALIA;2013;620003350;620001834;1;10;3;0;206;0;;;;1;5244;6;2;201;156;45;;366;7;8
PALIA;2013;620003376;620001834;1;5;;;84;0;;;;1;1231;6;2;201;156;45;;366;7;8
PALIA;2013;620012948;620000265;0;;;;;1;2;10;158;0;;;;;;;;;;
PALIA;2013;620100099;620014779;0;;;;;1;1;10;260;0;;;;;;;;;;
PALIA;2013;620100487;620000125;0;;;;;1;2;10;210;0;;;;;;;;;;
PALIA;2013;620100750;620000273;1;2;0;0;10;0;;;;0;;;;;;;;;;
PALIA;2013;620101311;620027763;1;2;0;0;88;0;;;;0;;;;;;;;;;
PALIA;2013;620106088;620000976;1;3;3;;44;0;;;;0;;;;;;;;;;
PALIA;2013;620118513;620002915;0;;;;;1;1;10;258;0;;;;;;;;;;
PALIA;2013;630000016;630180032;1;1;0;0;42;0;;;38;0;;;;;;;;;;
PALIA;2013;630000404;630780989;1;8;0;0;100;0;;;;0;;;;;;;;;;
PALIA;2013;630000412;630780997;1;1;;;62;0;;;;1;1725;7;1;36;0;22;14;168;123;112
PALIA;2013;630000420;630781003;1;1;0;0;20;0;;;;1;287;1;0;3;0;3;0;63;30;0
PALIA;2013;630000438;630781011;1;4;;;;0;;;;0;;;;;;;;;;
PALIA;2013;630000446;630781029;1;2;2;;;0;;;;0;;;;;;;;;;
PALIA;2013;630000479;630781110;1;9;0;0;193;0;;;;0;;;;;;;;;;
PALIA;2013;630000560;630781367;1;2;0;0;29;0;;;;0;;;;;;;;;;
PALIA;2013;630780179;630011534;1;7;7;0;68;0;;;;0;;;;;;;;;;
PALIA;2013;630780211;630000107;1;5;0;0;135;0;;;;0;;;;;;;;;;
PALIA;2013;630781268;630780989;1;9;;1;238;0;;;;0;;;;;;;;;;
PALIA;2013;630781755;630011518;1;2;2;2;13;0;;;;0;;;;;;;;;;
PALIA;2013;630781839;630000826;1;4;;;20;0;;;;0;;;;;;;;;;
PALIA;2013;630783538;630780989;0;;;;;1;1;14;244;1;26;13;;243;;100;;;107;162
PALIA;2013;640000162;640780417;0;;;;;0;;;;1;2066;4;10;291;0;238;53;718;55;15
PALIA;2013;640000402;640780813;0;;;;;0;;;;1;2569;12;1;912;3;270;639;236;65;0
PALIA;2013;640000410;640780821;1;3;3;0;0;0;;;;0;;;;;;;;;;
PALIA;2013;640000600;640781290;1;7;0;0;174;0;;;;1;6166;0;0;36;0;0;36;448;100;120
PALIA;2013;640780433;640012209;1;2;0;0;48;0;;;;0;;;;;;;;;;
PALIA;2013;640780490;640000212;1;5;;;82;0;;;;0;;;;;;;;;;
PALIA;2013;640780623;640000287;1;10;10;0;146;1;1;10;218;0;;;;;;;;;;
PALIA;2013;640780714;750720427;1;5;5;;43;0;;;;0;;;;;;;;;;
PALIA;2013;640780748;640000360;1;;;;;0;;;;0;;;;;;;;;;
PALIA;2013;640780938;640000451;1;10;;;;0;;;;0;;;;;;;;;;
PALIA;2013;650000045;650780158;1;4;2;;;0;;;;1;2704;8;1;244;34;116;94;154;15;19
PALIA;2013;650000052;650780166;1;4;2;;355;0;;;;1;981;2;2;170;127;39;4;139;28;21
PALIA;2013;650000078;650780190;1;2;2;0;16;0;;;;0;;;;;;;;;;
PALIA;2013;650000417;650783160;1;8;4;;114;0;;;;1;521;;;;;;;;;
PALIA;2013;650780141;650783160;1;2;2;;13;0;;;;1;36;;;;;;;;;
PALIA;2013;650780679;650000243;1;10;0;0;239;1;1;10;251;1;;;;;;;;;0;
PALIA;2013;650784218;650780174;1;2;0;0;84;0;;;;1;1167;12;1;1226;50;135;941;281;0;0
PALIA;2013;660000084;660780180;1;8;;;170;0;;;;1;1870;40;10;617;32;74;494;603;79;113
PALIA;2013;660000167;660780271;1;3;0;0;10;0;;;;0;;;;;;;;;;
PALIA;2013;660000605;660786799;1;3;3;;18;0;;;;0;;;;;;;;;;
PALIA;2013;660006990;340019363;1;3;0;0;24;0;;;;0;;;;;;;;;;
PALIA;2013;660780099;660000043;1;3;3;0;58;0;;;;0;;;;;;;;;;
PALIA;2013;660780784;660000407;1;8;0;0;108;0;;;;1;19;16;9;623;334;100;189;198;0;50
PALIA;2013;660790387;660790379;1;5;0;0;148;0;;;;0;;;;;;;;;;
PALIA;2013;670000025;670780055;1;13;0;0;47;1;1;10;188;1;989;23;17;509;72;89;348;617;202;83
PALIA;2013;670000033;670780063;1;10;0;0;224;0;;;;1;2247;0;0;0;;;;779;4;24
PALIA;2013;670000157;670780337;1;9;4;0;35;1;1;8;159;1;336;16;12;609;361;35;213;419;10;130
PALIA;2013;670000165;670780345;1;3;0;0;41;0;;;;0;;;;;;;;;;
PALIA;2013;670000215;680000643;1;4;0;0;35;0;;;;0;;;;;;;;;;
PALIA;2013;670000272;670780543;1;3;3;0;59;0;;;;0;;;;;;;;;;
PALIA;2013;670000306;670780584;1;5;3;0;89;0;;;;1;1217;25;7;899;96;427;376;341;79;143
PALIA;2013;670000397;670780691;1;4;0;0;158;0;;;;0;;;;;;;;;;
PALIA;2013;670780170;670000116;1;7;0;0;49;0;;;;0;;;;;;;;;;
PALIA;2013;670780212;670014604;1;15;0;0;;0;;;;0;;;;;;;;;;
PALIA;2013;670783133;670780055;1;2;;;5;0;;;;0;;;;;;;;;;
PALIA;2013;670783273;670780055;1;10;;1;32;0;;;;0;;;;;;;;;;
PALIA;2013;670797539;670014604;1;12;12;;;1;1;8;144;1;419;31;12;515;41;146;328;;156;66
PALIA;2013;680000031;680000171;1;2;2;;25;0;;;;0;;;;;;;;;;
PALIA;2013;680000130;680000353;1;1;1;;2;0;;;;0;;;;;;;;;;
PALIA;2013;680000189;680000643;1;2;2;0;32;0;;;;0;;;;;;;;;;
PALIA;2013;680000197;680000049;1;4;;;74;0;;;;0;;;;;;;;;;
PALIA;2013;680000544;680000395;1;3;;;174;0;;;;0;;;;;;;;;;
PALIA;2013;680000577;680000411;1;5;5;0;61;0;;;;1;286;36;11;946;88;553;305;329;162;26
