BOR;AN;FI;FI_EJ;SPED;UPED;LIT_PED;PLA_PED;SEJHP_PED;SEJHC_PED;JOU_PED;EFFPL_PM;EFFPL_PED;EFFPA_PM;EFFPA_PED;ETP_PM;ETP_PED;GAR_PM;GAR_PED;AST_PM;AST_PED;EFFPL_INFNS;EFFPL_PUE;EFFPL_AUX;EFFPL_KINE;EFFPL_PSY;EFFPL_APNM;EFFPA_INFNS;EFFPA_PUE;EFFPA_AUX;EFFPA_KINE;EFFPA_PSY;ETP_INFNS;EFFPA_APNM;ETP_PUE;ETP_AUX;ETP_KINE;ETP_PSY;ETP_APNM
MCOPED;2013;570001057;570023630;1;0;0;;83;179;264;;;;;;;0;;1;;;;;;;;;;;;;;;;;;;
MCOPED;2013;570026252;570023630;1;0;13;7;309;775;1183;1;;1;;1.77;;0;;1;;5;2;1;;;;;2;1;;;5;;3.3;1.8;;;
MCOPED;2013;570026682;570005165;1;1;29;3;2317;591;7944;5;5;6;6;7.9;7.9;0;0;1;1;1;7;9;;;1;1;6;;;;0.55;;12.69;8.86;;;1
MCOPED;2013;580972693;580780039;1;;15;;1286;209;3335;4;4;2;;3.57;1.9;1;1;;;3;8;6;;;;4;0;2;;;2.79;;4.89;7.53;;0.63;0.5
MCOPED;2013;590000121;590780227;1;;11;1;1246;136;2614;3;;1;;3.3;;0;;1;;1;12;6;;;1;;1;2;;2;2.32;1;12.55;8.23;;1.93;1.82
MCOPED;2013;590000337;590781415;1;1;48;6;3086;449;9381;8;8;5;3;6.9;6.77;0;0;1;1;10;9;12;;;11;10;7;14;;1;15.9;6;14.36;25;;0.5;14.77
MCOPED;2013;590000428;590781605;1;0;23;4;1999;612;4342;4;4;;;3.29;3.29;0;0;1;1;5;4;14;;;2;1;7;7;;;5.45;2;8.86;19.45;;;2.95
MCOPED;2013;590000535;590781803;1;0;20;3;642;565;1447;9;9;1;1;2.77;2.77;1;1;1;1;5;9;15;;;9;2;5;1;;;6.2;1;12.68;17.22;;0.35;9.79
MCOPED;2013;590000618;590782215;1;1;48;4;4389;3285;12101;7;7;4;4;8.31;8.31;1;1;0;0;5;3;7;0;1;13;4;8;1;0;0;9.87;8;9.31;6.45;0;1;19.08
MCOPED;2013;590000758;590782637;1;0;16;1;1751;644;3105;4;4;2;2;4.63;4.63;0;;1;;6;8;14;;;5;2;8;5;;1;7.6;1;13.9;17.6;;0.5;5.3
MCOPED;2013;590001004;590783239;1;1;43;;2849;289;6910;5;5;5;4;6.84;6.44;1;1;0;0;;;;;;;;;;;;;;;;;;
MCOPED;2013;590006607;590780193;1;;64;16;6499;4186;29844;33;30;13;10;34.13;27.6;;;;;50;63;73;;;61;20;48;57;;;65.9;48;100.21;115.84;;;102.63
MCOPED;2013;590787586;590780193;1;;12;3;959;531;3342;5;3;3;2;3.48;1.93;;;;;4;5;5;;;3;3;4;6;;;5.83;5;8.3;9.9;;;6.92
MCOPED;2013;590796975;590780193;1;;21;6;4611;1446;6130;9;9;2;2;9.47;9.07;;;;;9;2;16;;;9;1;8;9;;6;9.6;11;8.9;21;;2.68;14.26
MCOPED;2013;590797353;590051801;1;1;31;18;3174;4477;8764;7;5;2;2;7.14;5.48;1;1;1;0;8;5;7;;;1;1;3;21;;;7.49;2;8.33;18.8;;;1.53
MCOPED;2013;590801106;590782421;1;1;50;5;3960;1652;9364;11;11;3;3;8.61;8.61;0;0;1;1;7;12;12;;;;8;15;14;;3;11.56;;21.88;22.95;;1.3;
