BOR;AN;FI;FI_EJ;DIALY;UDM;NBUDM;PATUM;CAPA;NBPAT;SEAN;PREPLI;SEM;NVPAT;NVPERIT
DIALYSE;2013;340013168;340000264;TOT;1;1;;;;;3;;20;1
DIALYSE;2013;340013218;340000264;1130X;;;;9;10;783;;;;
DIALYSE;2013;340013218;340000264;1140X;;;;9;6;1665;;;;
DIALYSE;2013;340013218;340000264;TOT;1;1;;;;;;;1;
DIALYSE;2013;340013259;340000264;1140X;;;;8;6;1034;;;;
DIALYSE;2013;340013309;340000264;1140X;;;;9;14;2667;;;;
DIALYSE;2013;340013358;340000264;1140X;;;;9;6;1173;;;;
DIALYSE;2013;340013408;340000264;1140X;;;;7;4;790;;;;
DIALYSE;2013;340013499;340000264;1140X;;;;16;14;3058;;;;
DIALYSE;2013;340015999;340000413;112BA;;;;32;134;21415;;;;
DIALYSE;2013;340015999;340000413;1130X;;;;34;64;11121;;;;
DIALYSE;2013;340015999;340000413;TOT;0;;;;;;2;;58;
DIALYSE;2013;340016005;340000413;1140X;;;;11;16;2733;;;;
DIALYSE;2013;340016005;340000413;TOT;0;;;;;;;;1;
DIALYSE;2013;340017086;340000413;112AX;;;;2;4;335;;;;
DIALYSE;2013;340017086;340000413;TOT;0;;;;;;;;14;
DIALYSE;2013;340017292;340009489;1140X;;;;13;26;4238;;;;
DIALYSE;2013;340017490;340000413;1130X;;;;12;17;2817;;;;
DIALYSE;2013;340017490;340000413;TOT;0;;;;;;;;3;
DIALYSE;2013;340019603;340019587;112BA;;;;14;41;5235;;;;
DIALYSE;2013;340020221;340000264;1150A;;;;41;40;8321;;;;
DIALYSE;2013;340020221;340000264;121AA;;;;;50;;;2114;;
DIALYSE;2013;340020221;340000264;121CA;;;;85;80;;;4184;;
DIALYSE;2013;340020221;340000264;TOT;0;;;;;;;;1;7
DIALYSE;2013;340780840;340000413;112BA;;;;52;198;30594;;;;
DIALYSE;2013;340780840;340000413;TOT;0;;;;;;4;;69;
DIALYSE;2013;340780840;340000413;VACAN;;;;7;;539;;;;
DIALYSE;2013;340781608;340015171;121AA;;;;;1;;;21;;
DIALYSE;2013;340781608;340015171;121CA;;;;7;1;;;19;;
DIALYSE;2013;340781608;340015171;122AX;;;;7;1;;;58;;
DIALYSE;2013;340781608;340015171;122BA;;;;7;1;;;117;;
DIALYSE;2013;340781608;340015171;TOT;0;;;;;;;;9;9
DIALYSE;2013;340796663;340780477;112BE;;;;5;4;1028;;;;
DIALYSE;2013;340796663;340780477;121CE;;;;2;2;;;417;;
DIALYSE;2013;340796663;340780477;122BE;;;;2;1;;;313;;
DIALYSE;2013;350000147;350000022;112BA;;;;8;24;4000;;;;
DIALYSE;2013;350000147;350000022;122BA;;;;;0;;;19;;
DIALYSE;2013;350000147;350000022;TOT;0;;;;;;1;;;
DIALYSE;2013;350000741;350005179;112BA;;;;18;70;9328;;;;
DIALYSE;2013;350000741;350005179;TOT;0;;;;;;;;30;
DIALYSE;2013;350002804;350000626;1150A;;;;;6;1444;;;;
DIALYSE;2013;350002804;350000626;121CA;;;;;57;;;1211;;
DIALYSE;2013;350002804;350000626;121CE;;;;;25;;;2645;;
DIALYSE;2013;350002804;350000626;122AX;;;;;5;;;574;;
DIALYSE;2013;350030748;350000626;1140X;;;;10;7;935;;;;
DIALYSE;2013;350030763;350000626;1140X;;;;12;8;1500;;;;
DIALYSE;2013;350032934;350000626;112BA;;;;19;87;12971;;;;
DIALYSE;2013;350039418;350000626;1140X;;;;52;54;6845;;;;
DIALYSE;2013;350039707;350000626;112AX;;;;8;8;1207;;;;
DIALYSE;2013;350039715;350000626;112AX;;;;12;10;1024;;;;
DIALYSE;2013;350040044;350000626;112BA;;;;25;68;10111;;;;
DIALYSE;2013;350041059;350000626;1140X;;;;4;1;422;;;;
DIALYSE;2013;350042131;350000626;1130X;;;;8;12;1102;;;;
DIALYSE;2013;350042131;350000626;1140X;;;;4;0;450;;;;
DIALYSE;2013;350042602;350000626;112BA;;;;14;13;2037;;;;
DIALYSE;2013;350045779;350000626;1130X;;;;8;18;1990;;;;
DIALYSE;2013;350046744;350000626;1130X;;;;8;8;1166;;;;
DIALYSE;2013;350046751;350000626;1130X;;;;20;36;4661;;;;
DIALYSE;2013;360000962;330031048;1130X;;;;4;8;1535;;;;
DIALYSE;2013;360000962;330031048;1140X;;;;4;6;782;;;;
DIALYSE;2013;360002133;330031048;112BA;;;;30;113;16170;;;;
DIALYSE;2013;360002133;330031048;TOT;0;;;;;;2;;;
DIALYSE;2013;360004527;330031048;1140X;;;;6;17;3455;;;;
DIALYSE;2013;370000085;370000077;112BA;;;;20;77;11615;;;;
DIALYSE;2013;370000085;370000077;121AA;;;;;3;;;155;;
DIALYSE;2013;370000085;370000077;121CA;;;;2;2;;;57;;
DIALYSE;2013;370000085;370000077;122AX;;;;1;5;;;14;;
DIALYSE;2013;370000085;370000077;TOT;0;;;;;;;;37;4
DIALYSE;2013;370000499;370000481;112BE;;;;4;4;240;;;;
DIALYSE;2013;370000861;370000481;112AX;;;;2;6;474;;;;
DIALYSE;2013;370000861;370000481;112BA;;;;27;105;14392;;;;
DIALYSE;2013;370000861;370000481;112BE;;;;3;2;245;;;;
DIALYSE;2013;370000861;370000481;122AX;;;;;;;;60;;
DIALYSE;2013;370000861;370000481;TOT;0;;;;;;4;;37;2
DIALYSE;2013;370002040;370001067;1130X;;;;12;40;6703;;;;
DIALYSE;2013;370002040;370001067;1140X;;;;12;8;1060;;;;
DIALYSE;2013;370002040;370001067;121AA;;;;;9;;;445;;
DIALYSE;2013;370002040;370001067;121CA;;;;11;11;;;368;;
DIALYSE;2013;370002040;370001067;121CE;;;;1;1;;;42;;
DIALYSE;2013;370002040;370001067;122AX;;;;1;1;;;126;;
DIALYSE;2013;370002040;370001067;TOT;0;;;;;;1;;25;11
DIALYSE;2013;370100885;370001067;1130X;;;;8;8;1139;;;;
DIALYSE;2013;370100885;370001067;1140X;;;;8;16;2233;;;;
DIALYSE;2013;370102832;370001067;1140X;;;;12;28;4431;;;;
DIALYSE;2013;370103152;370001067;1130X;;;;11;20;2876;;;;
DIALYSE;2013;370103152;370001067;1140X;;;;11;9;1436;;;;
DIALYSE;2013;370104002;370001067;1140X;;;;7;13;1871;;;;
DIALYSE;2013;370104572;370001067;1140X;;;;5;12;1878;;;;
DIALYSE;2013;370104804;370001067;1140X;;;;6;9;1200;;;;
DIALYSE;2013;380000067;380780080;112BA;;;;10;43;4907;;;;
DIALYSE;2013;380000729;690796552;1140X;;;;6;5;722;;;;
DIALYSE;2013;380000729;690796552;TOT;0;;;;;;;;2;
DIALYSE;2013;380000828;690002225;112AX;;;;14;12;1013;;;;
DIALYSE;2013;380000828;690002225;112BA;;;;14;53;6390;;;;
DIALYSE;2013;380000828;690002225;1130X;;;;14;9;1082;;;;
DIALYSE;2013;380000828;690002225;TOT;1;1;;;;;1;;23;0
DIALYSE;2013;380000968;690796552;112BA;;;;14;57;7349;;;;
DIALYSE;2013;380000968;690796552;1130X;;;;8;32;4804;;;;
DIALYSE;2013;380000968;690796552;1140X;;;;6;15;1977;;;;
DIALYSE;2013;380000968;690796552;TOT;0;;;;;;;;48;
DIALYSE;2013;380000968;690796552;VACAN;;;;;;76;;;;
DIALYSE;2013;380784801;380793802;112AX;;;;3;5;868;;;;
DIALYSE;2013;380784801;380793802;112BA;;;;55;197;30794;;;;
DIALYSE;2013;380784801;380793802;1150A;;;;2;1;344;;;;
DIALYSE;2013;380784801;380793802;121AA;;;;;25;;;1640;;
DIALYSE;2013;380784801;380793802;121CA;;;;;14;;;646;;
DIALYSE;2013;380784801;380793802;122AX;;;;;10;;;1820;;
DIALYSE;2013;380784801;380793802;122BA;;;;;0;;;38;;
DIALYSE;2013;380784801;380793802;AUTRE;;;;;35;5458;;;;
DIALYSE;2013;380784801;380793802;TOT;0;;;;;;4;;69;11
DIALYSE;2013;380784801;380793802;VACAN;;;;;7;191;;;;
DIALYSE;2013;380793810;380793802;1130X;;;;16;55;7071;;;;
DIALYSE;2013;380793810;380793802;1140X;;;;26;30;4728;;;;
DIALYSE;2013;380793810;380793802;TOT;0;;;;;;;;11;
DIALYSE;2013;380793810;380793802;VACAN;;;;;0;183;;;;
DIALYSE;2013;380797217;380793802;1140X;;;;6;5;769;;;;
DIALYSE;2013;380797233;380793802;121AA;;;;;10;;;564;;
DIALYSE;2013;380797233;380793802;121CA;;;;;13;;;592;;
DIALYSE;2013;380797233;380793802;122BA;;;;;0;;;20;;
DIALYSE;2013;380797233;380793802;TOT;0;;;;;;;;1;1
DIALYSE;2013;380804203;380793802;1140X;;;;9;9;975;;;;
DIALYSE;2013;380804203;380793802;TOT;0;;;;;;;;2;
DIALYSE;2013;380804203;380793802;VACAN;;;;;1;56;;;;
DIALYSE;2013;390000065;390780161;112BA;;;;8;34;5068;;;;
DIALYSE;2013;390000065;390780161;121AA;;;;;0;;;14;;
DIALYSE;2013;390000065;390780161;122AX;;;;2;0;;;7;;
DIALYSE;2013;390000065;390780161;TOT;0;;;;;;;;9;1
DIALYSE;2013;390000222;390780609;112BA;;;;12;47;6210;;;;
DIALYSE;2013;390000222;390780609;1130X;;;;7;6;878;;;;
DIALYSE;2013;390000222;390780609;1140X;;;;4;3;477;;;;
DIALYSE;2013;390000222;390780609;TOT;0;;;;;;1;;22;
DIALYSE;2013;390786408;670005834;112AX;;;;1;0;62;;;;
DIALYSE;2013;390786408;670005834;1130X;;;;6;11;1726;;;;
DIALYSE;2013;390786408;670005834;1140X;;;;6;3;477;;;;
DIALYSE;2013;400000139;400011177;112BA;;;;12;45;5860;;;;
DIALYSE;2013;400000139;400011177;TOT;0;;;;;;2;;;
DIALYSE;2013;400006706;330000266;1140X;;;;8;6;754;;;;
DIALYSE;2013;400006730;330000266;1140X;;;;9;13;1876;;;;
DIALYSE;2013;400006797;330000266;1140X;;;;7;5;600;;;;
DIALYSE;2013;400007043;640000113;1130X;;;;8;32;2452;;;;
DIALYSE;2013;400007043;640000113;1140X;;;;6;54;3496;;;;
DIALYSE;2013;400007332;330000266;1140X;;;;15;16;3074;;;;
DIALYSE;2013;400010906;330000266;1140X;;;;8;12;1659;;;;
DIALYSE;2013;400011201;640017612;1140X;;;;6;6;940;;;;
DIALYSE;2013;400011201;640017612;TOT;0;;;;;;;;1;
DIALYSE;2013;400789715;330007386;1140X;;;;8;14;2150;;;;
DIALYSE;2013;400790986;640000113;1140X;;;;6;6;663;;;;
DIALYSE;2013;410000202;410000319;112AX;;;;2;29;377;;;;
DIALYSE;2013;410000202;410000319;112BA;;;;34;166;25845;;;;
DIALYSE;2013;410000202;410000319;TOT;0;;;;;;2;;98;
DIALYSE;2013;410005011;330030958;1130X;;;;8;14;2315;;;;
DIALYSE;2013;410005011;330030958;1140X;;;;6;10;1635;;;;
DIALYSE;2013;410005953;330030958;1130X;;;;8;14;2209;;;;
DIALYSE;2013;410005953;330030958;1140X;;;;6;9;1416;;;;
DIALYSE;2013;410007553;330030958;1130X;;;;12;26;3968;;;;
DIALYSE;2013;410007553;330030958;1140X;;;;6;11;1715;;;;
DIALYSE;2013;410007553;330030958;121AA;;;;;;;;49;;
DIALYSE;2013;410007553;330030958;121CA;;;;10;3;;;107;;
DIALYSE;2013;410007553;330030958;122AX;;;;1;0;;;13;;
DIALYSE;2013;420000010;420780033;112AX;;;;2;0;61;;;;
DIALYSE;2013;420000010;420780033;112BA;;;;12;51;6906;;;;
DIALYSE;2013;420000010;420780033;1130X;;;;8;32;4456;;;;
DIALYSE;2013;420000010;420780033;1140X;;;;6;6;808;;;;
DIALYSE;2013;420000010;420780033;121AA;;;;;5;;;4;;
DIALYSE;2013;420000010;420780033;121CA;;;;1;1;;;2;;
DIALYSE;2013;420000010;420780033;122AX;;;;1;1;;;20;;
DIALYSE;2013;420000010;420780033;122BA;;;;4;1;;;10;;
DIALYSE;2013;420000010;420780033;TOT;0;;;;;;1;;34;4
DIALYSE;2013;420011603;420001752;1140X;;;;12;14;2066;;;;
DIALYSE;2013;420011603;420001752;TOT;0;;;;;;1;;0;0
DIALYSE;2013;420012536;420001752;112BA;;;;19;53;7721;;;;
DIALYSE;2013;420012536;420001752;TOT;0;;;;;;4;;3;0
DIALYSE;2013;420785354;420784878;112BA;;;;23;84;11620;;;;
DIALYSE;2013;420785354;420784878;112BE;;;;;;12;;;;
DIALYSE;2013;420785354;420784878;TOT;0;;;;;;;;86;0
DIALYSE;2013;420786808;420001752;1140X;;;;17;32;4655;;;;
DIALYSE;2013;420786808;420001752;TOT;0;;;;;;1;;0;0
DIALYSE;2013;420787525;420001752;1140X;;;;16;19;2613;;;;
DIALYSE;2013;420787525;420001752;TOT;0;;;;;;1;;0;0
DIALYSE;2013;420788689;420001752;1140X;;;;12;19;3132;;;;
DIALYSE;2013;420788689;420001752;TOT;0;;;;;;1;;0;0
DIALYSE;2013;420789968;420001752;112AX;;;;8;18;2632;;;;
DIALYSE;2013;420789968;420001752;1130X;;;;16;55;7566;;;;
DIALYSE;2013;420789968;420001752;1150A;;;;5;5;875;;;;
DIALYSE;2013;420789968;420001752;121AA;;;;;12;;;749;;
DIALYSE;2013;420789968;420001752;121CA;;;;14;14;;;638;;
