BOR;AN;FI;FI_EJ;EQUIPIMA;NB;NBEXP;ACTET;ACTEXET;ACTEXEJ;ACTEX;ACTNUI;ACTINT
IMAGES;2013;080000425;080000615;IRM;1;1;848;3;18;3429;0;0
IMAGES;2013;080000425;080000615;LITHO;1;1;48;0;0;;0;1
IMAGES;2013;080000425;080000615;RADIO;7;7;14339;142;1250;40666;578;1
IMAGES;2013;080000425;080000615;SCAN;2;2;3130;40;200;9684;126;1
IMAGES;2013;080000425;080000615;VASC;1;1;204;0;0;0;0;1
IMAGES;2013;090000019;090180019;RADIO;1;1;1902;;;;;0
IMAGES;2013;090000175;090781774;IRM;1;1;350;0;;6885;37;0
IMAGES;2013;090000175;090781774;MAMM;1;1;;;;1402;;
IMAGES;2013;090000175;090781774;RADIO;5;5;12314;103;;26126;540;1
IMAGES;2013;090000175;090781774;SCAN;1;1;5541;45;;10943;133;0
IMAGES;2013;090000183;090781816;RADIO;2;2;4877;;;6337;146;
IMAGES;2013;090000183;090781816;SCAN;1;1;2923;;;3130;20;
IMAGES;2013;090001629;090780107;RADIO;1;2;279;0;0;5964;30;0
IMAGES;2013;100000090;100000017;CAM;2;2;862;63;0;4193;0;0
IMAGES;2013;100000090;100000017;IRM;1;1;2759;;;6843;357;0
IMAGES;2013;100000090;100000017;LITHO;1;1;84;0;0;0;0;1
IMAGES;2013;100000090;100000017;MAMM;2;2;;;;7539;;
IMAGES;2013;100000090;100000017;RADIO;6;6;30978;;;28804;1092;1
IMAGES;2013;100000090;100000017;SCAN;2;2;28185;;;18014;466;1
IMAGES;2013;100000090;100000017;VASC;1;1;1026;;;0;0;1
IMAGES;2013;100000124;100009075;IRM;1;;;;;;;
IMAGES;2013;100000124;100009075;SCAN;1;;;;;;;
IMAGES;2013;100000199;100006279;RADIO;2;2;2947;;;12548;213;1
IMAGES;2013;100000199;100006279;SCAN;1;1;1629;242;47;2479;30;0
IMAGES;2013;100002351;100000561;IRM;1;1;43;;;4600;;
IMAGES;2013;100002351;100000561;LITHO;1;1;87;;;;;
IMAGES;2013;100002351;100000561;MAMM;1;1;;;;7486;;
IMAGES;2013;100002351;100000561;SCAN;1;1;1672;;;6445;;
IMAGES;2013;100002351;100000561;dtIRM1;1;1;27;;;;;
IMAGES;2013;110000023;110780061;CAM;2;2;430;0;11;2119;0;0
IMAGES;2013;110000023;110780061;IRM;1;1;1604;6;5;3061;11;0
IMAGES;2013;110000023;110780061;RADIO;5;5;20009;76;7;18580;812;0
IMAGES;2013;110000023;110780061;SCAN;1;1;8662;29;7;4598;139;0
IMAGES;2013;110000023;110780061;VASC;2;2;677;0;0;0;8;1
IMAGES;2013;110000049;110780087;MAMM;1;1;;;;606;;
IMAGES;2013;110000049;110780087;RADIO;3;3;1836;158;;13245;;0
IMAGES;2013;110000049;110780087;SCAN;1;1;759;34;;5531;;0
IMAGES;2013;110000056;110780137;IRM;1;1;441;8;2890;3099;5;0
IMAGES;2013;110000056;110780137;MAMM;1;1;;;;299;;
IMAGES;2013;110000056;110780137;RADIO;3;3;13617;130;;17571;303;1
IMAGES;2013;110000056;110780137;SCAN;1;1;4997;80;759;3681;74;1
IMAGES;2013;110000247;110780772;RADIO;2;2;136;;;96;;0
IMAGES;2013;110780228;110000114;IRM;1;;;;;;;
IMAGES;2013;110780228;110000114;RADIO;4;;;;;;;
IMAGES;2013;110780228;110000114;SCAN;1;;;;;;;
IMAGES;2013;110780228;110000114;VASC;1;;;;;;;
IMAGES;2013;110786324;;RADIO;1;1;872;;;;0;0
IMAGES;2013;120000039;120780044;CAM;1;1;942;;;2643;;
IMAGES;2013;120000039;120780044;IRM;1;1;1042;;;3156;97;
IMAGES;2013;120000039;120780044;MAMM;1;1;;;;2023;;
IMAGES;2013;120000039;120780044;RADIO;3;3;10343;;;28815;6200;
IMAGES;2013;120000039;120780044;SCAN;1;1;5214;;;9640;1279;
IMAGES;2013;120000039;120780044;TOMO;1;1;50;;;2596;;
IMAGES;2013;120000039;120780044;VASC;1;1;101;;;129;28;
IMAGES;2013;120000054;120780069;IRM;1;1;112;;;2876;;0
IMAGES;2013;120000054;120780069;MAMM;1;1;;;;;;
IMAGES;2013;120000054;120780069;RADIO;10;2;4272;;;22511;;1
IMAGES;2013;120000054;120780069;SCAN;1;1;1438;;;4730;;0
IMAGES;2013;120000070;120780085;RADIO;2;2;3853;260;0;5023;116;0
IMAGES;2013;120000070;120780085;SCAN;1;1;2118;74;1496;1811;18;0
IMAGES;2013;120000088;120780093;RADIO;1;1;373;203;;;;0
IMAGES;2013;120000096;120780101;RADIO;1;1;537;;;443;;0
IMAGES;2013;120004569;120004528;IRM;1;1;132;;;4259;0;0
IMAGES;2013;120004569;120004528;MAMM;1;1;;;;1258;;
