BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP;GAR;AST;GARDED;ASTDED
PERINAT_P;2013;310781067;310788898;M1030;5;4;2;1;0;1;
PERINAT_P;2013;310781067;310788898;M1140;1;4;2.54;0;1;;
PERINAT_P;2013;310781067;310788898;M2050;5;4;6.27;0;1;;
PERINAT_P;2013;310781067;310788898;MIVG;;2;0.44;;;;
PERINAT_P;2013;310781067;310788898;N2340;5;3;5.87;;;;
PERINAT_P;2013;310781067;310788898;N2800;33;18;38.7;;;;
PERINAT_P;2013;310781067;310788898;N280H;33;18;5;;;;
PERINAT_P;2013;310781067;310788898;N3120;1;;1;;;;
PERINAT_P;2013;310781505;310000492;M1030;5;2;6;;;;
PERINAT_P;2013;310781505;310000492;M1140;3;;3;;;;
PERINAT_P;2013;310781505;310000492;M2050;3;;3;;;;
PERINAT_P;2013;310781505;310000492;N2340;1;1;1.27;;;;
PERINAT_P;2013;310781505;310000492;N2800;5;8;7.21;;;;
PERINAT_P;2013;310781505;310000492;N280H;2;4;3.6;;;;
PERINAT_P;2013;320000086;320780117;M1030;2;0;0.3;;;;
PERINAT_P;2013;320000086;320780117;M1140;3;0;1.65;1;;;
PERINAT_P;2013;320000086;320780117;M2050;7;1;5.85;1;;;
PERINAT_P;2013;320000086;320780117;N2340;0;4;1.35;;;;
PERINAT_P;2013;320000086;320780117;N2800;19;5;22.77;;;;
PERINAT_P;2013;320000086;320780117;N3120;1;0;0.05;;;;
PERINAT_P;2013;320780067;320000052;M1030;3;0;3;0;1;0;0
PERINAT_P;2013;320780067;320000052;M2050;0;3;0.6;;0;;
PERINAT_P;2013;330000340;330780552;M1030;16;;5.15;1;;0;
PERINAT_P;2013;330000340;330780552;M1140;2;7;4.58;0;;;
PERINAT_P;2013;330000340;330780552;M2050;7;3;7.19;1;;;
PERINAT_P;2013;330000340;330780552;N2800;28;11;33.9;;;;
PERINAT_P;2013;330000340;330780552;N280H;28;11;33.9;;;;
PERINAT_P;2013;330000555;330781204;M1030;;;;;1;;0
PERINAT_P;2013;330000555;330781204;M1140;3;;0.3;;1;;
PERINAT_P;2013;330000555;330781204;M2050;4;1;4.01;;1;;
PERINAT_P;2013;330000555;330781204;MIVG;3;;0.3;;;;
PERINAT_P;2013;330000555;330781204;N2700;;1;0.4;;;;
PERINAT_P;2013;330000555;330781204;N2800;15;6;18.88;;;;
PERINAT_P;2013;330000571;330781220;M2050;3;1;2.8;0;1;;
PERINAT_P;2013;330000571;330781220;MIVG;3;;0.1;;;;
PERINAT_P;2013;330000571;330781220;N2340;;1;0.6;;;;
PERINAT_P;2013;330000571;330781220;N2800;7;5;5.22;;;;
PERINAT_P;2013;330000571;330781220;N280H;6;5;2.79;;;;
PERINAT_P;2013;330000571;330781220;N3120;1;;0.1;;;;
PERINAT_P;2013;330000589;330027509;M2050;2;2;2.72;;;;
PERINAT_P;2013;330000589;330027509;MIVG;0;0;0.08;;;;
PERINAT_P;2013;330000589;330027509;N2800;12;9;17.28;;;;
PERINAT_P;2013;330000589;330027509;N280H;12;9;17.28;;;;
PERINAT_P;2013;330000597;330027509;M2050;1;0;1;;0;;
PERINAT_P;2013;330000597;330027509;N2800;2;1;1.94;;;;
PERINAT_P;2013;330000597;330027509;N280H;2;1;1.94;;;;
PERINAT_P;2013;330000605;330781253;M1140;7;0;2.7;1;0;;
PERINAT_P;2013;330000605;330781253;M2050;9;0;8.15;;;;
PERINAT_P;2013;330000605;330781253;N2340;7;2;9.26;;;;
PERINAT_P;2013;330000605;330781253;N2800;19;16;30.25;;;;
PERINAT_P;2013;330780123;330000084;MIVG;2;;2;;;;
PERINAT_P;2013;330780263;330000134;M1030;;11;3.3;1;0;0;0
PERINAT_P;2013;330780263;330000134;M1140;;4;2;0;1;;
PERINAT_P;2013;330780263;330000134;M2050;4;4;5.7;1;0;;
PERINAT_P;2013;330780263;330000134;MIVG;;1;0.2;;;;
PERINAT_P;2013;330780263;330000134;N2700;;1;0.75;;;;
PERINAT_P;2013;330780263;330000134;N2800;13;12;19.41;;;;
PERINAT_P;2013;330780263;330000134;N280H;4;0;4;;;;
PERINAT_P;2013;330780263;330000134;N3120;;1;0.05;;;;
PERINAT_P;2013;330780479;330000274;M1030;;13;2.5;;;;
PERINAT_P;2013;330780479;330000274;M1140;3;3;4.5;;;;
PERINAT_P;2013;330780479;330000274;M2050;14;;14;;;;
PERINAT_P;2013;330780479;330000274;N2340;7;;7;;;;
PERINAT_P;2013;330780479;330000274;N2700;;1;0.5;;;;
PERINAT_P;2013;330780479;330000274;N2800;19;10;25.54;;;;
PERINAT_P;2013;330780479;330000274;N280H;12;7;17.04;;;;
PERINAT_P;2013;330780479;330000274;N3120;;1;0.5;;;;
PERINAT_P;2013;330780495;330796392;M1030;0;0;0;0;1;0;0
PERINAT_P;2013;330780495;330796392;M1140;0;1;0.5;0;1;;
PERINAT_P;2013;330780495;330796392;M2050;3;0;2.65;0;1;;
PERINAT_P;2013;330780495;330796392;N2800;6;1;7.06;;;;
PERINAT_P;2013;330780495;330796392;N280H;5;0;6.06;;;;
PERINAT_P;2013;330780503;330000308;M1030;11;;11;1;;0;
PERINAT_P;2013;330780503;330000308;M1140;;6;1.2;;0;;
PERINAT_P;2013;330780503;330000308;M2050;4;;2.6;1;;;
PERINAT_P;2013;330780503;330000308;N2800;8;5;11.3;;;;
PERINAT_P;2013;330780503;330000308;N280H;8;5;11.3;;;;
PERINAT_P;2013;330780537;330000324;M1140;;1;0.2;;;;
PERINAT_P;2013;330780537;330000324;M2050;4;;4;1;;;
PERINAT_P;2013;330780537;330000324;N2800;8;2;8.06;;;;
PERINAT_P;2013;330780537;330000324;N280H;8;2;8.06;;;;
PERINAT_P;2013;330781360;330781196;M1030;9;;9;;;;
PERINAT_P;2013;330781360;330781196;M1140;9;6;11.6;1;;;
PERINAT_P;2013;330781360;330781196;M2050;11;16;12.9;;;;
PERINAT_P;2013;330781360;330781196;MIVG;;4;2.2;;;;
PERINAT_P;2013;330781360;330781196;N2340;80;41;107.28;;;;
PERINAT_P;2013;330781360;330781196;N2700;1;2;2.38;;;;
PERINAT_P;2013;330781360;330781196;N2800;59;43;92.75;;;;
PERINAT_P;2013;330782582;330000928;M1030;10;;10;1;0;0;1
PERINAT_P;2013;330782582;330000928;M1140;3;;3;1;0;;
PERINAT_P;2013;330782582;330000928;M2050;7;;7;0;1;;
PERINAT_P;2013;330782582;330000928;MIVG;3;;3;;;;
PERINAT_P;2013;330782582;330000928;N2340;13;;12.87;;;;
PERINAT_P;2013;330782582;330000928;N2700;;2;0.73;;;;
PERINAT_P;2013;330782582;330000928;N2800;11;;11;;;;
PERINAT_P;2013;330782582;330000928;N280H;11;;10.85;;;;
PERINAT_P;2013;330782582;330000928;N3120;;1;0.6;;;;
PERINAT_P;2013;340000033;340780055;M1030;2;;1.95;1;;0;
PERINAT_P;2013;340000033;340780055;M1140;7;;1.7;1;;;
PERINAT_P;2013;340000033;340780055;M2050;5;1;4.05;1;;;
PERINAT_P;2013;340000033;340780055;N2340;19;;15.19;;;;
PERINAT_P;2013;340000033;340780055;N2800;25;11;28.4;;;;
PERINAT_P;2013;340000033;340780055;N280H;14;;12.14;;;;
PERINAT_P;2013;340000223;340011295;M1140;3;1;0.6;0;1;;
PERINAT_P;2013;340000223;340011295;N2340;5;3;2.12;;;;
PERINAT_P;2013;340009885;340009877;M1030;4;2;5;1;1;0;
PERINAT_P;2013;340009885;340009877;M1140;;9;1.8;;1;;
PERINAT_P;2013;340009885;340009877;M2050;;11;5.5;1;1;;
PERINAT_P;2013;340009885;340009877;MIVG;;17;3.4;;;;
PERINAT_P;2013;340009885;340009877;N2700;;1;0.1;;;;
PERINAT_P;2013;340009885;340009877;N2800;11;11;17;;;;
PERINAT_P;2013;340780436;340011295;M2050;3;;0.57;0;0;;
PERINAT_P;2013;340780436;340011295;N2800;1;;0.28;;;;
PERINAT_P;2013;340780675;340000298;M1030;;7;1;1;0;0;0
PERINAT_P;2013;340780675;340000298;M1140;;7;1;1;0;;
PERINAT_P;2013;340780675;340000298;M2050;;24;2;1;0;;
PERINAT_P;2013;340780675;340000298;MIVG;;16;1;;;;
PERINAT_P;2013;340780675;340000298;N2340;6;;6;;;;
PERINAT_P;2013;340780675;340000298;N2700;;1;0.8;;;;
PERINAT_P;2013;340780675;340000298;N2800;18;8;21.67;;;;
PERINAT_P;2013;340780675;340000298;N280H;10;2;11.16;;;;
PERINAT_P;2013;340780675;340000298;N3120;;1;0.1;;;;
PERINAT_P;2013;340780683;340000306;M1140;;13;7;1;1;;
PERINAT_P;2013;340780717;340008150;M1030;;;;0;1;;
PERINAT_P;2013;340780717;340008150;M1140;2;1;2.13;0;1;;
PERINAT_P;2013;340780717;340008150;M2050;2;;2.06;0;1;;
PERINAT_P;2013;340780717;340008150;N2700;;1;0.5;;;;
PERINAT_P;2013;340780717;340008150;N2800;4;4;5.86;;;;
PERINAT_P;2013;340780717;340008150;N280H;1;;1;;;;
PERINAT_P;2013;340780717;340008150;N3120;;1;0.09;;;;
PERINAT_P;2013;340780741;340000348;M1030;3;;3;0;1;;0
PERINAT_P;2013;340780741;340000348;M1140;;2;1;0;1;;
PERINAT_P;2013;340780741;340000348;M2050;2;;2;0;1;;
PERINAT_P;2013;340780741;340000348;N2340;2;;2;;;;
PERINAT_P;2013;340780741;340000348;N2700;;1;0.25;;;;
PERINAT_P;2013;340780741;340000348;N2800;6;;6;;;;
PERINAT_P;2013;340796663;340780477;M1030;1;;0.32;;;;
PERINAT_P;2013;340796663;340780477;M1140;12;1;9.64;;;;
PERINAT_P;2013;340796663;340780477;M2050;18;3;12.67;;;;
PERINAT_P;2013;340796663;340780477;MIVG;3;;2.6;;;;
PERINAT_P;2013;340796663;340780477;N2340;75;38;105.61;;;;
PERINAT_P;2013;340796663;340780477;N2700;4;1;3.05;;;;
PERINAT_P;2013;340796663;340780477;N2800;48;31;68.82;;;;
PERINAT_P;2013;350000121;350000303;M1030;27;;27;1;;1;
PERINAT_P;2013;350000121;350000303;M1140;5;;5;0;1;;
PERINAT_P;2013;350000121;350000303;M2050;12;;12;0;1;;
PERINAT_P;2013;350000121;350000303;N2340;4;5;7.7;;;;
PERINAT_P;2013;350000121;350000303;N2700;1;;1;;;;
PERINAT_P;2013;350000121;350000303;N2800;14;15;25.33;;;;
PERINAT_P;2013;350000121;350000303;N3120;1;;1;;;;
PERINAT_P;2013;350000139;350001137;M1030;;;;1;1;1;1
PERINAT_P;2013;350000139;350001137;M1140;;5;3.19;0;0;;
PERINAT_P;2013;350000139;350001137;M2050;5;4;4.4;1;1;;
PERINAT_P;2013;350000139;350001137;MIVG;5;4;4.4;;;;
PERINAT_P;2013;350000139;350001137;N2340;1;18;14.45;;;;
PERINAT_P;2013;350000139;350001137;N2700;1;1;1.6;;;;
PERINAT_P;2013;350000139;350001137;N2800;27;33;33;;;;
PERINAT_P;2013;350000147;350000022;M1030;9;2;1;1;0;0;0
PERINAT_P;2013;350000147;350000022;M1140;2;1;1.3;0;1;;
PERINAT_P;2013;350000147;350000022;M2050;5;6;3.18;1;0;;
PERINAT_P;2013;350000147;350000022;MIVG;0;2;0.55;;;;
PERINAT_P;2013;350000147;350000022;N2340;8;5;11.6;;;;
PERINAT_P;2013;350000147;350000022;N2700;;1;0.2;;;;
PERINAT_P;2013;350000147;350000022;N2800;11;16;24.4;;;;
PERINAT_P;2013;350000147;350000022;N280H;10;3;11.4;;;;
PERINAT_P;2013;350000147;350000022;N3120;;1;0.2;;;;
PERINAT_P;2013;350000154;350000030;M1030;2;2;0.45;1;0;0;0
PERINAT_P;2013;350000154;350000030;M1140;2;2;1.04;0;1;;
PERINAT_P;2013;350000154;350000030;M2050;4;0;0.2;0;1;;
PERINAT_P;2013;350000154;350000030;MIVG;3;;0.15;;;;
PERINAT_P;2013;350000154;350000030;N2800;10;4;3.83;;;;
PERINAT_P;2013;350000162;350000048;M1140;1;0;0.1;0;1;;
PERINAT_P;2013;350000162;350000048;M2050;4;0;3.57;0;1;;
PERINAT_P;2013;350000162;350000048;N2800;10;9;16.69;;;;
PERINAT_P;2013;350000162;350000048;N280H;10;9;8.44;;;;
PERINAT_P;2013;350000188;350000055;M1030;5;;3.3;0;1;0;1
PERINAT_P;2013;350000188;350000055;M1140;;;0.1;0;1;;
PERINAT_P;2013;350000188;350000055;M2050;4;2;5.37;0;1;;
PERINAT_P;2013;350000188;350000055;MIVG;;;0.01;;;;
PERINAT_P;2013;350000188;350000055;N2700;;;0.18;;;;
PERINAT_P;2013;350000188;350000055;N2800;12;8;7.48;;;;
PERINAT_P;2013;350000188;350000055;N280H;6;4;7.48;;;;
PERINAT_P;2013;350007084;350005179;M1030;5;1;4.28;1;0;1;
PERINAT_P;2013;350007084;350005179;M1140;10;0;8.39;1;0;;
PERINAT_P;2013;350007084;350005179;M2050;15;0;4.77;1;0;;
PERINAT_P;2013;350007084;350005179;MIVG;1;0;0.83;;;;
PERINAT_P;2013;350007084;350005179;N2340;44;38;72.87;;;;
PERINAT_P;2013;350007084;350005179;N2700;2;3;2.53;;;;
PERINAT_P;2013;350007084;350005179;N2800;58;42;90.9;;;;
PERINAT_P;2013;350007084;350005179;N280H;58;42;90.9;;;;
PERINAT_P;2013;360000038;360000046;MIVG;;1;0.02;;;;
PERINAT_P;2013;360000038;360000046;N2800;;1;0.05;;;;
PERINAT_P;2013;360000137;360000053;M1030;;;2.8;1;0;;
PERINAT_P;2013;360000137;360000053;M1140;;;0.2;0;1;;
PERINAT_P;2013;360000137;360000053;M2050;;;1.77;1;0;;
PERINAT_P;2013;360000137;360000053;MIVG;;;0.37;;;;
PERINAT_P;2013;360000137;360000053;N2340;3;;2.17;;;;
PERINAT_P;2013;360000137;360000053;N2700;1;;0.8;;;;
PERINAT_P;2013;360000137;360000053;N2800;5;10;12.17;;;;
PERINAT_P;2013;360000160;360000079;M1030;4;;0.6;0;1;;
PERINAT_P;2013;360000160;360000079;M1140;2;;1.32;0;1;;
PERINAT_P;2013;360000160;360000079;M2050;4;1;1.7;0;1;;
PERINAT_P;2013;360000160;360000079;N2800;7;;6.8;;;;
PERINAT_P;2013;360000160;360000079;N280H;6;;5.5;;;;
PERINAT_P;2013;370000499;370000481;M1030;7;1;6.79;0;0;;
PERINAT_P;2013;370000499;370000481;M1140;16;14;15.46;0;1;;
PERINAT_P;2013;370000499;370000481;N2340;14;15;23.7;;;;
PERINAT_P;2013;370000531;370000606;M1030;1;21;2.25;0;1;1;
PERINAT_P;2013;370000531;370000606;M1140;1;2;1.8;0;0;;
PERINAT_P;2013;370000531;370000606;M2050;1;9;2.8;0;1;;
PERINAT_P;2013;370000531;370000606;MIVG;2;1;0.3;;;;
PERINAT_P;2013;370000531;370000606;N2340;;1;0.08;;;;
PERINAT_P;2013;370000531;370000606;N2800;13;3;14.68;;;;
PERINAT_P;2013;370000531;370000606;N280H;6;;5.8;;;;
PERINAT_P;2013;370000861;370000481;M1030;8;1;8.17;1;0;1;0
PERINAT_P;2013;370000861;370000481;M1140;;3;0.7;1;0;;
PERINAT_P;2013;370000861;370000481;M2050;24;18;22.69;1;1;;
PERINAT_P;2013;370000861;370000481;MIVG;1;4;4.7;;;;
PERINAT_P;2013;370000861;370000481;N2340;2;6;6.8;;;;
PERINAT_P;2013;370000861;370000481;N2800;21;11;20.14;;;;
PERINAT_P;2013;370000861;370000481;N280H;21;11;20.14;;;;
PERINAT_P;2013;370000879;370000564;M1140;;2;0.4;0;0;;
PERINAT_P;2013;370000879;370000564;M2050;2;1;1.6;0;0;;
PERINAT_P;2013;370000879;370000564;MIVG;;1;0.1;;;;
PERINAT_P;2013;370000879;370000564;N2800;7;1;7.56;;;;
PERINAT_P;2013;370007569;370007528;M1030;;;;1;;1;
PERINAT_P;2013;370007569;370007528;M1140;3;;3;1;;;
PERINAT_P;2013;370007569;370007528;M2050;12;;12;1;;;
PERINAT_P;2013;370007569;370007528;N2340;5;;5;;;;
PERINAT_P;2013;370007569;370007528;N2700;;1;0.3;;;;
PERINAT_P;2013;370007569;370007528;N2800;10;6;15.2;;;;
PERINAT_P;2013;370007569;370007528;N3120;;1;0.3;;;;
PERINAT_P;2013;380000026;380780031;N2800;1;1;1.75;;;;
PERINAT_P;2013;380000034;380780049;M1030;;;;1;;0;
PERINAT_P;2013;380000034;380780049;M1140;;;;1;;;
PERINAT_P;2013;380000034;380780049;M2050;4;;1.61;;1;;
PERINAT_P;2013;380000034;380780049;MIVG;;3;1.77;;;;
PERINAT_P;2013;380000034;380780049;N2700;;;0.4;;;;
PERINAT_P;2013;380000034;380780049;N2800;13;9;18.17;;;;
PERINAT_P;2013;380000067;380780080;M1030;1;;0.5;1;0;0;
PERINAT_P;2013;380000067;380780080;M1140;5;4;5.94;1;1;;
PERINAT_P;2013;380000067;380780080;M2050;10;10;8.15;1;1;;
PERINAT_P;2013;380000067;380780080;MIVG;;7;1.3;;;;
PERINAT_P;2013;380000067;380780080;N2340;35;29;55.07;;;;
PERINAT_P;2013;380000067;380780080;N2700;;2;1.2;;;;
PERINAT_P;2013;380000067;380780080;N2800;42;34;68.97;;;;
PERINAT_P;2013;380000091;380780171;M2050;;1;0.35;0;0;;
PERINAT_P;2013;380000091;380780171;N2800;1;1;1.9;;;;
PERINAT_P;2013;380000174;380781435;M1030;2;1;0.35;1;0;0;0
PERINAT_P;2013;380000174;380781435;M1140;4;1;2.58;1;0;;
PERINAT_P;2013;380000174;380781435;M2050;6;2;5.61;1;0;;
PERINAT_P;2013;380000174;380781435;MIVG;0;5;0.92;;;;
PERINAT_P;2013;380000174;380781435;N2340;1;1;1.6;;;;
PERINAT_P;2013;380000174;380781435;N2700;;1;0.8;;;;
PERINAT_P;2013;380000174;380781435;N2800;27;14;32.48;;;;
PERINAT_P;2013;380000174;380781435;N280H;16;10;19.7;;;;
PERINAT_P;2013;380000174;380781435;N3120;1;;0.14;;;;
PERINAT_P;2013;380000406;380784751;M1030;5;1;1.41;1;0;0;0
PERINAT_P;2013;380000406;380784751;M1140;0;0;0;0;1;;
PERINAT_P;2013;380000406;380784751;M2050;7;2;5.75;1;0;;
PERINAT_P;2013;380000406;380784751;MIVG;1;3;0.57;;;;
PERINAT_P;2013;380000406;380784751;N2340;0;7;4.1;;;;
PERINAT_P;2013;380000406;380784751;N2700;1;1;0.83;;;;
PERINAT_P;2013;380000406;380784751;N2800;12;19;25.97;;;;
PERINAT_P;2013;380000406;380784751;N280H;11;18;24.17;;;;
PERINAT_P;2013;380012658;380012609;M1030;;;;1;;0;
PERINAT_P;2013;380012658;380012609;M1140;;6;2.11;;1;;
PERINAT_P;2013;380012658;380012609;M2050;3;11;12.25;1;1;;
PERINAT_P;2013;380012658;380012609;MIVG;4;;0.45;;;;
PERINAT_P;2013;380012658;380012609;N2340;;2;1.5;;;;
PERINAT_P;2013;380012658;380012609;N2800;17;26;29;;;;
PERINAT_P;2013;380012658;380012609;N280H;17;26;29;;;;
PERINAT_P;2013;380780197;380798173;M1030;10;2;11;1;;1;
PERINAT_P;2013;380780197;380798173;M1140;3;1;3.5;0;1;;
PERINAT_P;2013;380780197;380798173;M2050;3;1;3.5;1;;;
PERINAT_P;2013;380780197;380798173;N2340;1;1;1.58;;;;
PERINAT_P;2013;380780197;380798173;N2700;;1;0.4;;;;
PERINAT_P;2013;380780197;380798173;N2800;12;15;20.48;;;;
PERINAT_P;2013;380780197;380798173;N280H;9;15;9.63;;;;
PERINAT_P;2013;380780197;380798173;N3120;1;1;1.53;;;;
PERINAT_P;2013;380785956;380795211;M1030;13;;13;1;0;1;
PERINAT_P;2013;380785956;380795211;M1140;;9;9;0;1;;
PERINAT_P;2013;380785956;380795211;M2050;8;;8;1;0;;
PERINAT_P;2013;380785956;380795211;MIVG;;6;6;;;;
PERINAT_P;2013;380785956;380795211;N2340;2;;2;;;;
PERINAT_P;2013;380785956;380795211;N2700;;1;1;;;;
PERINAT_P;2013;380785956;380795211;N2800;8;6;14;;;;
PERINAT_P;2013;380785956;380795211;N280H;8;6;14;;;;
PERINAT_P;2013;380786442;380798025;M1030;20;;20;1;;1;
PERINAT_P;2013;380786442;380798025;M1140;2;7;5.5;0;1;;
PERINAT_P;2013;380786442;380798025;M2050;16;1;16.5;1;1;;
PERINAT_P;2013;380786442;380798025;N2340;3;8;7.73;;;;
PERINAT_P;2013;380786442;380798025;N2700;;2;0.5;;;;
PERINAT_P;2013;380786442;380798025;N2800;9;27;26.42;;;;
PERINAT_P;2013;380786442;380798025;N280H;2;3;3.77;;;;
PERINAT_P;2013;390000040;390780146;M1140;5;0;4.84;1;1;;
PERINAT_P;2013;390000065;390780161;M2050;2;2;3.21;;1;;
PERINAT_P;2013;390000065;390780161;N2800;7;7;12.02;;;;
PERINAT_P;2013;390000222;390780609;M1140;;1;0.1;;1;;
PERINAT_P;2013;390000222;390780609;M2050;4;2;6.55;1;1;;
PERINAT_P;2013;390000222;390780609;N2340;1;;1;;;;
PERINAT_P;2013;390000222;390780609;N2700;;1;0.5;;;;
PERINAT_P;2013;390000222;390780609;N2800;14;5;17.2;;;;
PERINAT_P;2013;390000222;390780609;N280H;14;5;17.2;;;;
PERINAT_P;2013;400000105;400780193;M1030;6;3;0.73;1;0;0;
PERINAT_P;2013;400000105;400780193;M2050;4;0;3.84;0;1;;
PERINAT_P;2013;400000105;400780193;MIVG;;1;0.5;;;;
PERINAT_P;2013;400000105;400780193;N2340;;1;0.5;;;;
PERINAT_P;2013;400000105;400780193;N2700;1;1;0.95;;;;
PERINAT_P;2013;400000105;400780193;N2800;10;13;19.65;;;;
PERINAT_P;2013;400000105;400780193;N3120;1;;0.3;;;;
PERINAT_P;2013;400000139;400011177;M1030;9;1;8;;;;
PERINAT_P;2013;400000139;400011177;M1140;4;2;5.4;0;1;;
PERINAT_P;2013;400000139;400011177;M2050;7;1;7.5;1;0;;
PERINAT_P;2013;400000139;400011177;N2340;7;8;12.25;;;;
PERINAT_P;2013;400000139;400011177;N2800;24;8;28.79;;;;
PERINAT_P;2013;400000139;400011177;N280H;10;2;11.37;;;;
PERINAT_P;2013;400000139;400011177;N3120;0;1;0.8;;;;
PERINAT_P;2013;400782769;400001764;M2050;;1;0.4;;0;;
PERINAT_P;2013;400782769;400001764;MIVG;;1;0.66;;;;
PERINAT_P;2013;410000020;410000087;M1030;2;0;2.31;1;0;0;0
PERINAT_P;2013;410000020;410000087;M1140;2;1;2.25;1;0;;
PERINAT_P;2013;410000020;410000087;M2050;7;2;7.34;1;0;;
PERINAT_P;2013;410000020;410000087;MIVG;0;27;2.05;;;;
PERINAT_P;2013;410000020;410000087;N2340;16;10;23.19;;;;
PERINAT_P;2013;410000020;410000087;N2700;0;0;1;;;;
PERINAT_P;2013;410000020;410000087;N2800;12;16;24.91;;;;
PERINAT_P;2013;410000020;410000087;N280H;7;9;12;;;;
PERINAT_P;2013;410000046;410000103;M1030;2;3;3.8;1;0;0;0
PERINAT_P;2013;410000046;410000103;M1140;3;0;2.71;0;1;;
PERINAT_P;2013;410000046;410000103;M2050;4;;3.5;1;1;;
PERINAT_P;2013;410000046;410000103;MIVG;0;1;0.3;;;;
PERINAT_P;2013;410000046;410000103;N2800;11;6;15.75;;;;
PERINAT_P;2013;410000046;410000103;N280H;11;6;15.75;;;;
PERINAT_P;2013;410000202;410000319;M1030;5;3;7;0;1;;0
PERINAT_P;2013;410000202;410000319;M1140;1;2;1.5;0;1;;
PERINAT_P;2013;410000202;410000319;M2050;5;;5;0;1;;
PERINAT_P;2013;410000202;410000319;N2340;1;;1;;;;
PERINAT_P;2013;410000202;410000319;N2700;;1;0.1;;;;
PERINAT_P;2013;410000202;410000319;N2800;8;2;9.69;;;;
PERINAT_P;2013;410000202;410000319;N280H;8;2;9.69;;;;
PERINAT_P;2013;410000202;410000319;N3120;;1;0.1;;;;
PERINAT_P;2013;410004998;410000871;M1030;4;;4;1;1;0;0
PERINAT_P;2013;410004998;410000871;M1140;4;;4;0;1;;
PERINAT_P;2013;410004998;410000871;M2050;3;;3;1;1;;
PERINAT_P;2013;410004998;410000871;N2340;;1;0.8;;;;
PERINAT_P;2013;410004998;410000871;N2700;;1;0.09;;;;
PERINAT_P;2013;410004998;410000871;N2800;5;8;10.55;;;;
PERINAT_P;2013;410004998;410000871;N280H;;1;1;;;;
PERINAT_P;2013;420000010;420780033;M1030;7;0;1;1;0;0;0
PERINAT_P;2013;420000010;420780033;M1140;6;3;1.34;1;0;;
PERINAT_P;2013;420000010;420780033;M2050;8;3;6.5;1;0;;
PERINAT_P;2013;420000010;420780033;MIVG;4;1;0.33;;;;
PERINAT_P;2013;420000010;420780033;N2340;10;5;14.05;;;;
PERINAT_P;2013;420000010;420780033;N2700;1;0;1;;;;
PERINAT_P;2013;420000010;420780033;N2800;29;15;38.41;;;;
PERINAT_P;2013;420000010;420780033;N280H;;1;0.5;;;;
PERINAT_P;2013;420000010;420780033;N3120;1;1;0.44;;;;
PERINAT_P;2013;420000226;420013831;M2050;4;;3.6;0;1;;
PERINAT_P;2013;420000226;420013831;N2340;1;;1;;;;
PERINAT_P;2013;420000226;420013831;N2700;;1;0.3;;;;
PERINAT_P;2013;420000226;420013831;N2800;13;7;16;;;;
PERINAT_P;2013;420000226;420013831;N280H;13;7;6.27;;;;
PERINAT_P;2013;420000234;420780652;M2050;2;7;4.65;1;0;;
PERINAT_P;2013;420000234;420780652;MIVG;;1;0.3;;;;
PERINAT_P;2013;420000234;420780652;N2700;;1;0.5;;;;
PERINAT_P;2013;420000234;420780652;N2800;19;22;27.18;;;;
PERINAT_P;2013;420000267;420013831;M1030;;;;0;1;0;0
PERINAT_P;2013;420000267;420013831;M1140;;1;0.2;0;0;;
PERINAT_P;2013;420000267;420013831;M2050;;2;0.6;0;0;;
PERINAT_P;2013;420000267;420013831;MIVG;;1;0.5;;;;
PERINAT_P;2013;420000267;420013831;N2800;;5;4.15;;;;
PERINAT_P;2013;420000267;420013831;N3120;;1;0.05;;;;
PERINAT_P;2013;420011413;420011405;M1030;4;;4;1;0;1;0
PERINAT_P;2013;420011413;420011405;M1140;6;;6;0;1;;
PERINAT_P;2013;420011413;420011405;M2050;6;;6;1;0;;
PERINAT_P;2013;420011413;420011405;N2340;16;;16;;;;
PERINAT_P;2013;420011413;420011405;N2800;20;;20;;;;
PERINAT_P;2013;420011413;420011405;N280H;20;;20;;;;
PERINAT_P;2013;420780637;420002495;M1140;;2;1;;1;;
PERINAT_P;2013;420780637;420002495;M2050;4;1;4.5;;1;;
PERINAT_P;2013;420780637;420002495;N2340;1;;1;;;;
PERINAT_P;2013;420780637;420002495;N2700;;1;0.5;;;;
PERINAT_P;2013;420780637;420002495;N2800;2;20;10.7;;;;
PERINAT_P;2013;420780637;420002495;N280H;1;;1;;;;
PERINAT_P;2013;420780637;420002495;N3120;;1;0.2;;;;
PERINAT_P;2013;420782310;420000853;M1030;9;;9;;;;
PERINAT_P;2013;420782310;420000853;M2050;3;;2.2;;;;
PERINAT_P;2013;420782310;420000853;N2700;1;;0.5;;;;
PERINAT_P;2013;420782310;420000853;N3120;1;;0.8;;;;
PERINAT_P;2013;420785354;420784878;M1030;5;0;0.83;1;1;;
PERINAT_P;2013;420785354;420784878;M1140;10;6;8.14;1;0;;
PERINAT_P;2013;420785354;420784878;M2050;13;4;8.17;1;;;
PERINAT_P;2013;420785354;420784878;MIVG;5;3;0.86;;;;
PERINAT_P;2013;420785354;420784878;N2340;15;5;17.56;;;;
PERINAT_P;2013;420785354;420784878;N2700;1;4;1.51;;;;
PERINAT_P;2013;420785354;420784878;N2800;52;29;69.42;;;;
PERINAT_P;2013;420785354;420784878;N280H;22;11;26.54;;;;
PERINAT_P;2013;420785354;420784878;N3120;1;0;0.5;;;;
