BOR;AN;FI;FI_EJ;GDE;AUT;LIT;PLA;APEC;SEJHC;JOUHC;SEJHP;JOUHP
SSR;2013;030000095;030780126;SSR_A;;35;2;;373;11511;17;521
SSR;2013;030000095;030780126;SSR_A50;1;35;2;0;373;11511;17;521
SSR;2013;030000095;030780126;SSR_TOT;0;35;2;0;373;11511;17;521
SSR;2013;030002208;030002158;SSR_A;;179;;;1034;44298;;
SSR;2013;030002208;030002158;SSR_A50;1;117;;0;754;32847;;
SSR;2013;030002208;030002158;SSR_A58;1;62;;0;280;11451;;
SSR;2013;030002208;030002158;SSR_TOT;0;179;;0;1034;44298;;
SSR;2013;030780548;030000194;SSR_A;;50;;;538;13919;;
SSR;2013;030780548;030000194;SSR_A50;1;50;;0;538;13919;;
SSR;2013;030780548;030000194;SSR_TOT;0;50;;0;538;13919;;
SSR;2013;030781116;030000426;SSR_A;;65;;;720;17631;;
SSR;2013;030781116;030000426;SSR_A50;1;65;;0;720;17631;;
SSR;2013;030781116;030000426;SSR_TOT;0;65;;0;720;17631;;
SSR;2013;040000028;040780124;SSR_A;;20;;;187;5534;;
SSR;2013;040000028;040780124;SSR_A50;1;20;;0;187;5534;;
SSR;2013;040000028;040780124;SSR_TOT;0;20;;0;187;5534;;
SSR;2013;040000036;040780132;SSR_A;;10;;;98;3187;0;0
SSR;2013;040000036;040780132;SSR_A50;1;10;;0;98;3187;0;0
SSR;2013;040000036;040780132;SSR_TOT;0;10;;0;98;3187;0;0
SSR;2013;040000044;040780140;SSR_A;;5;;;47;1635;;
SSR;2013;040000044;040780140;SSR_A50;1;5;;0;47;1635;;
SSR;2013;040000044;040780140;SSR_TOT;0;5;;0;47;1635;;
SSR;2013;040000051;040780173;SSR_A;;15;;;126;4134;;
SSR;2013;040000051;040780173;SSR_A50;1;15;;0;126;4134;;
SSR;2013;040000051;040780173;SSR_TOT;0;15;;0;126;4134;;
SSR;2013;040000069;040780181;SSR_A;;43;;;421;12980;;
