BOR;AN;FI;FI_EJ;CANCERO_A1;CANCERO_A2;CANCERO_A3;CANCERO_A4;CANCERO_A5;CANCERO_A6;CANCERO_A7;CANCERO_A8;CANCERO_B8;CANCERO_C8;CANCERO_A9;CANCERO_B9;CANCERO_A10;CANCERO_B10;CANCERO_A11;CANCERO_B11;CANCERO_C11;CANCERO_D11;CANCERO_A12;CANCERO_B12;CANCERO_A13;CANCERO_A14;CANCERO_A15;CANCERO_B15;CANCERO_A16;CANCERO_B16;CANCERO_A17;CANCERO_A18;CANCERO_A19;CANCERO_A20;CANCERO_A21;CANCERO_A22;CANCERO_A23;CANCERO_B17;CANCERO_B19;CANCERO_B20;CANCERO_B21;CANCERO_B22;CANCERO_B23;CANCERO_C19;CANCERO_C20;CANCERO_C21;CANCERO_C22;CANCERO_C23;CANCERO_A24;CANCERO_A25;CANCERO_A26;CANCERO_A27;CANCERO_B24;CANCERO_B25;CANCERO_B26;CANCERO_B27;CANCERO_C24;CANCERO_C25;CANCERO_C26;CANCERO_C27;CANCERO_D24;CANCERO_D26;CANCERO_E24;CANCERO_E26;CANCERO_A28;CANCERO_A29;CANCERO_B28;CANCERO_B29;CANCERO_C28;CANCERO_C29;CANCERO_A30;CANCERO_A31;CANCERO_A32;CANCERO_A33;CANCERO_A34;CANCERO_B30;CANCERO_B31;CANCERO_B32;CANCERO_B33;CANCERO_B34;CANCERO_C30;CANCERO_C31;CANCERO_C32;CANCERO_C33;CANCERO_C34
CANCERO;2013;130783665;130043722;1;0;1;1032;950;411;1;;;;819;0;803;0;83;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;0;815;0;0;0;0;0;0;0;0;0;0;1;;3;;1.24;;1;;;;;1;;1;1;;1.5;;0.2;0.1;
CANCERO;2013;130783723;130001456;0;0;0;137;119;37;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;130783772;130810336;0;0;0;142;120;36;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;130784051;130037823;1;1;1;9232;8103;116596;1;;;;1216;0;7983;0;936;0;0;0;4;1;5;1801;35269;1121;0;64;1568;63;;3;14;5;9;0;8;2;3;;2;5;4.4;16.4;5;10.41;22;22;24;14;873;1179;6886;812;;;;;;;;;;1;14;;14;1;24;9;1;1;;3;2;;;;24.8;8.53;1;0.64;
CANCERO;2013;130784713;130038847;1;1;1;7871;6913;7150;1;;;;6930;;6827;;712;0;0;0;2;1;;1379;20454;245;;;965;;0;2;7;2;3;0;9;1;3;0;1;2.4;2.5;9.4;2;3.2;;22;;;0;6999;;;;20;;;;;;;1;2;6;;4;1;6;;1;;1;;;;1;;4.75;;1;0.3;1
CANCERO;2013;130785355;130002157;1;0;0;2765;2048;6505;0;;;;2129;0;1981;0;349;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;130785363;130042930;1;0;1;478;253;1904;0;130785355;;;220;0;211;0;44;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;188;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;130785652;130014228;1;0;1;10524;8731;14894;1;;;;9269;198;8517;203;992;31;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;21;;;0;8035;0;0;0;0;0;0;0;0;0;0;1;1;6;4;3.4;3.06;8;;;;9;2;;;;1;9.25;;;;8.83
CANCERO;2013;130785678;130002249;1;0;1;2334;2200;2678;1;;;;2197;0;2160;0;185;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;0;2207;0;0;0;0;0;0;0;0;0;0;;;3;;1.5;;4;1;1;;;;;;;;3.43;0.92;0.4;;
CANCERO;2013;130786361;130002447;1;0;0;1191;244;6897;0;130781289;;;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;130786445;130002488;0;0;0;139;10;459;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;130786742;750821092;1;0;0;209;24;2106;1;;;;9;0;2;0;3;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;130804297;130786049;1;1;0;3586;2824;7716;0;;;;2884;;1883;;19;;230;;0;;;0;0;32;0;0;1;0;;;;;;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;130810740;130007362;0;0;0;415;163;2519;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;140000027;140000035;1;0;0;1374;1115;1819;1;;;;1330;4;1091;4;170;3;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;140000209;140000100;1;0;1;10626;7613;26548;1;;;;8761;0;7255;0;1100;0;75;0;;;;;;;;;;;;;;;;;;;;;;;;;;;17;16;0;0;263;2805;0;0;249;906;0;0;1058;0;1031;0;;10;;1;;9.24;24;14;;;16;25;5;;;6;39.56;18.12;;;18.19
CANCERO;2013;140000233;140000118;1;0;0;203;54;1635;0;;;;54;2;26;3;23;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;140000290;140000449;0;0;0;168;17;911;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;140000373;140000159;1;0;0;636;608;115;1;;;;636;3;607;4;80;3;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;140000555;140000639;1;1;1;64074;60499;138522;1;;;;17406;;15442;;2460;;1;;6;0;5;2335;42411;3782;434;247;2293;385;15;7;32;5;8;8;1;1;6;0;3;15.55;7.69;35.57;4.34;8.37;110;45;44;5;4204;16717;2221;1699;3;6;2;20;30536;8752;12;6;7;;5;;10.05;;122;67;1;3;;50;31;2;;;149.55;78.75;1.91;3.07;
CANCERO;2013;140004383;140000100;1;0;0;137;115;333;0;140000209;;;124;0;105;0;23;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;140016759;140003146;1;0;1;6410;4625;9352;1;;;;4793;0;4625;0;556;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;;;;4625;;;;;;;;;;;1;3;;;1;2;5;;1;1;1;1;;;;;5;;0.25;0.25;0.25
CANCERO;2013;140018730;140000423;0;0;0;404;129;1576;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;140024886;140000092;1;0;1;1389;1227;1386;1;;;;1237;;1187;;158;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;0;1187;0;0;0;0;0;0;0;0;0;0;;1;1;1;0.51;1.65;1;;;;1;1;;;;;2;;;;0.25
CANCERO;2013;140026709;140000415;0;0;0;218;87;1020;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;150000032;150780088;1;0;0;464;393;1236;0;630000479;630780989;;401;;390;;44;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;150000040;150780096;1;0;1;2424;2012;3943;1;;;;2212;12;1976;15;243;3;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;0;2038;0;0;0;0;0;0;0;0;0;0;1;2;2;1;1.07;1.55;4;3;;;3;5;3;1;;3;3.85;4.39;0.03;;3.4
CANCERO;2013;150780732;150000271;1;1;1;3469;2810;6460;1;;;;2706;0;2601;0;335;0;0;0;1;0;;0;8535;14;0;0;482;0;;;2;;1;0;;2;2;;2;;1.6;3.6;;2.37;25;6;;;266;2594;0;0;0;0;0;0;3390;0;0;0;1;;;;1;;6;4;;;3;2;1;;;2;7.3;4.5;;;4.15
CANCERO;2013;160000170;160000204;0;0;0;132;35;822;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;160000253;160000451;1;0;1;15788;14881;30197;1;;;;4843;;4426;;566;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;23;15;;;562;3698;0;0;0;0;0;0;5340;0;0;0;1;4;;;0.3;2.72;14;8;0;;6;6;4;2;;4;18.93;11.32;1.8;;7.5
CANCERO;2013;160000279;160000212;0;0;0;194;67;1079;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;160013207;160001632;1;0;1;5816;4884;4347;1;;;;4738;0;4476;0;568;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;16;;;0;4458;0;0;0;0;0;0;0;0;0;0;1;;2;1;1.5;0.1;14;11;;;;;2;2;1;;14;12;0.46;0.23;
CANCERO;2013;160014650;160014643;0;1;0;;;;0;;;;;;;;;;;;2;0;0;1025;22153;925;0;0;953;0;1;1;9;2;5;0;4;2;4;0;1;2.6;2.7;11.6;2;5.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;160015368;160014411;1;0;1;1937;1783;1587;1;;;;1928;0;1779;0;195;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;15;10;;;535;1996;0;0;0;0;0;0;5383;0;0;0;2;2;;;1.65;1.86;6;8;;;2;;3;1;;;7.32;10.6;0.21;;1.27
CANCERO;2013;170000038;170780050;1;0;0;358;292;682;0;170000103;;;260;;249;;38;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;170000087;170023279;1;0;1;12992;10869;13775;1;;;;11902;0;10596;0;1576;0;5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;30;21;;;1568;10571;0;0;0;0;0;0;9534;0;0;0;3;;5;;3.5;;29;16;2;0;14;3;0;0;1;1;30.61;15.28;1.2;0.75;13.57
CANCERO;2013;170000095;170780167;0;0;0;68;16;681;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;170000103;170780175;1;1;1;27091;26485;6039;1;;;;6826;9;6639;9;737;3;22;1;2;0;0;1583;18090;0;0;0;687;0;2;3;8;;3;0;0;;5;;;2.5;3;9.08;;2.8;4;14;;;1509;6698;0;0;0;0;0;0;11127;0;0;0;6;0;0;0;6.59;0;10;;1;1;2;3;;1;;1;10.26;;1.5;1;2
CANCERO;2013;170000129;170780191;1;0;0;2509;2410;1182;0;170000103;;;2494;;2409;;299;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;170000152;170780225;1;0;0;1267;906;2924;1;;;;1106;;887;;165;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;170780563;170000251;0;0;0;1111;568;4346;0;;;;467;0;467;0;78;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;170780613;170000277;1;0;0;1092;367;2855;0;170023279;;;162;0;158;0;27;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;170780621;170000285;0;0;0;345;194;784;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;170780647;170000301;0;0;0;180;130;426;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;170783138;170000723;0;1;0;29794;29794;29794;0;;;;;;;;;;;;3;0;0;;29794;0;0;0;1430;0;5;3;13;3;9;0;;0;1;0;7;5;3;13.8;3;0.91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;180000010;180000028;1;0;0;3821;3099;5717;1;;;;3493;0;3054;0;418;0;10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;180000200;180000051;1;0;0;1243;1131;1431;1;;;;1150;;1081;;135;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;180000283;180000069;1;0;0;168;144;134;0;180004145;;;143;;142;;15;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;180000358;180000739;1;0;0;1171;1069;1151;0;180004145;;;1062;0;1053;0;114;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;180004145;180000887;1;1;1;4696;3967;5014;1;;;;3990;0;3918;0;497;0;0;0;0;;1;0;0;0;35;0;0;35;0;;;;;0;;;;;;;;;;;;12;;;0;4155;129;2;0;0;0;0;0;867;0;0;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;180008278;750047367;1;0;0;0;0;0;0;;;;0;6;0;15;0;5;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;190000018;190000042;1;1;1;27355;26302;35212;1;;;;7881;;7226;;1087;;0;;3;0;0;1007;18023;245;0;0;971;0;2;4;16;1;;0;1;;3;;;1;3.58;17.58;1;;18;18;;;958;8267;0;0;0;0;0;0;4408;0;0;0;1;5;0;2;1;5.3;19;12;1;;11;3;2;;;2;20.78;13.79;0.9;;12.93
CANCERO;2013;190000026;190000059;1;0;0;674;413;2452;0;190000042;;;367;4;370;6;60;3;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;190000091;190000075;1;0;0;1060;821;1729;1;190000042;;;959;;799;;130;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;190000224;190000901;0;0;0;429;69;3592;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;190000257;190001131;0;0;0;772;315;2833;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;190010629;190010579;1;0;0;1220;772;2510;1;190000018;;;0;1197;0;1254;0;131;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;210005559;210010773;0;1;0;0;0;240;0;;;;;;;;;;;;2;0;2;1314;15613;0;132;34;686;83;0;2;8;1;6;0;4;0;1;0;5;2.4;2;8.8;1;9.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;210006318;210006268;1;1;0;1009;879;1513;0;;;;851;;817;;227;;0;;0;;0;0;0;7;0;4;7;4;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;210011847;210011839;1;1;0;4470;3995;3903;1;;;;3924;0;3787;0;444;0;1;0;1;;1;0;0;35;0;16;22;16;5;;;;;0;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;210780136;210000030;0;0;0;291;33;2105;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;210780789;210003208;1;0;1;4515;3899;4991;1;;;;3856;0;3782;0;370;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;;;0;4318;0;0;0;1;0;0;0;0;0;0;;;4;10;1.45;1;4;1;;;;;;;;;4;1;;;
CANCERO;2013;210781621;210780581;1;0;0;84;53;331;1;;;;45;0;19;0;19;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;210987558;210780581;1;0;0;14602;11320;28444;1;;;;12944;0;10738;0;1453;0;69;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;210987657;210780714;1;0;0;1357;1034;2105;1;;;;985;2;843;6;134;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;210987665;210010070;1;0;1;180;176;27;0;210780581;210780417;;179;0;176;0;22;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;0;623;0;0;0;4;0;0;0;0;0;0;;;1;;0.6;;;;;;;;;;;;;;;;
CANCERO;2013;210987673;210010070;1;0;1;105;104;2;0;210780581;210780417;;105;0;104;0;13;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;0;106;0;0;0;0;0;0;0;0;0;0;;1;;;;1;;;;;;;;;;;;;;;
CANCERO;2013;210987699;210780706;1;0;0;352;289;724;0;210780581;210780417;;280;;278;;33;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;210987731;210780417;1;1;1;45227;38933;60389;1;;;;15583;229;10473;278;2015;55;0;0;6;0;2;1506;27459;587;137;83;1559;96;4;4;17;3;13;12;4;1;4;;1;5.6;4.8;19.2;3;12.5;89;25;48;5;6728;10363;1932;971;4;0;0;1;20380;8224;9;0;7;;7;;10.11;;97;19;;1;59;10;1;2;;12;101.17;17.58;1.48;1;61.66
CANCERO;2013;220000012;220000020;1;0;0;7489;6178;11182;1;;;;6916;0;6080;0;800;0;15;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;220000095;220000046;1;0;0;1143;964;1134;0;350000022;;;1122;;951;;151;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;220000111;220000376;1;0;1;2173;1889;1934;0;220000269;;;1768;0;1752;0;186;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;;;0;1659;0;0;0;0;0;0;0;0;0;0;;;4;;1;;2;;;;;2;;1;;1;3;;0.2;;0.1
CANCERO;2013;220000269;220000640;1;1;1;9503;8950;4880;1;;;;9384;0;8935;0;987;0;0;0;;;;0;0;128;0;0;78;0;;;;;;0;;;;;;;;;;;33;7;;;798;9056;0;0;0;0;0;0;4247;0;0;0;;;;;;;17;12;;;6;2;1;2;;;18.27;11.84;1;;6.29
CANCERO;2013;220000301;220000673;1;0;0;1653;585;6685;0;220000269;;;471;;470;0;99;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;220000343;220000079;1;0;0;183;34;1712;0;220000020;;;15;;12;;5;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;220000368;220000103;1;0;1;1676;1445;1831;1;;;;1584;8;1421;17;204;7;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;0;1489;0;0;0;0;0;0;0;0;0;0;1;1;;;1;1;;;;;;;;;;;2.62;;;;0.34
CANCERO;2013;220005599;220017842;1;0;0;813;413;2529;0;;;;73;0;72;0;14;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;220019616;220019608;1;0;0;6;1;92;0;220000020;;;0;6;0;11;0;4;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;220020697;220020895;0;1;0;1471;1471;1471;0;;;;;;;;;;;;3;0;21;1471;28631;0;21;0;1254;8;4;4;18;4;11;0;;;;;;4;4;18;4;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;230000820;230780041;1;1;1;4816;4618;9673;1;;;;960;;944;;107;;0;;1;1;0;171;3486;35;0;0;174;0;2;;4;;1;0;;1;1;;;1.86;0.17;4.82;;0.66;6;2;;;113;945;0;0;0;0;0;0;2044;0;0;0;3;;;;0.5;;;;;;;;;;;;;;;;
CANCERO;2013;230780082;750005068;1;0;0;1164;1052;761;1;;;;1159;0;1051;0;155;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;230780157;230000861;1;0;0;142;83;398;0;230780041;230780082;;5;0;5;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;230782617;750000218;1;0;0;0;0;0;0;231007766;;;0;64;0;76;0;15;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;240000190;240000596;1;0;1;7253;6364;6854;1;;;;6384;0;6232;0;800;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;0;6232;0;0;0;18;0;0;0;0;0;0;2;;;;2;;;;;;;;;;;;;;;;
CANCERO;2013;240000372;240000059;1;0;1;579;463;1131;0;240000117;;;510;;443;;79;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;0;426;0;0;0;0;0;0;0;0;0;0;;4;;;;0.35;3;1;1;;;;;;;;1.01;1;0.45;;
CANCERO;2013;240000489;240000117;1;0;1;2454;1995;4804;1;;;;2190;0;1966;0;298;0;8;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;0;891;0;0;0;0;0;0;0;0;0;0;1;1;;;0.8;1;4;;1;;;0;;0;;1;2.2;;0.4;;0.89
CANCERO;2013;250000114;900000365;1;0;0;792;93;7418;0;250004009;;;68;0;0;0;64;0;0;0;0;;;0;0;56;0;0;53;0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;250000270;250000643;0;0;0;725;60;4534;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;250000700;250000452;1;0;1;916;694;1806;1;;;;730;0;666;0;116;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;2;0;0;0;110;0;0;0;0;0;0;0;0;0;0;3;0;1;1;0.85;0.2;1;;;;1;4;;;;1;1.77;;;;0.52
CANCERO;2013;250004009;900000365;1;1;1;33024;32382;47460;1;;;;9304;0;8708;0;1202;0;0;0;3;0;0;1003;22678;199;0;1;1065;1;3;4;9;3;10;1;3;1;8;0;2;2.76;3.83;13.16;3;9.74;24;25;;;990;9009;0;0;0;0;0;0;6660;0;0;0;4;3;14;1;5.1;1.5;11;9;1;;3;14;2;;1;3;20.92;10.95;1;0.8;5.3
CANCERO;2013;250006954;250000015;1;1;1;46454;43066;26000;1;;;;18147;0;16590;0;2337;0;68;0;3;0;3;1101;25499;5;33;60;1201;90;10;3;12;;17;2;2;;13;;11;8.53;4.39;23.64;;22.62;30;40;;;1783;10750;0;0;348;0;0;0;8098;0;1076;0;;;14;;4.44;;19;12;;;11;33;12;2;;16;39.56;22.12;0.6;;19.97
CANCERO;2013;250011723;250017126;0;0;0;125;41;491;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;250011848;250017803;1;0;1;2439;1953;3001;0;250000015;;;1863;0;1857;0;216;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;0;1870;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;1;4;2;1;;1;1.83;0.8;0.25;;1.21
CANCERO;2013;260000013;260000021;1;0;1;8958;7249;15076;1;;;;7953;0;6932;0;975;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;0;;0;7128;0;0;0;2;0;0;0;0;0;0;4;7;;1;4;7.4;24;13;1;;9;;;;1;1;24;13;1;0.5;9.1
CANCERO;2013;260000120;260016910;1;0;1;3049;2595;3115;1;;;;2808;0;2540;0;330;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;292;2662;0;0;0;0;0;0;541;0;0;0;1;;1;;0.8;;;;;;;;;;;;;;;;
CANCERO;2013;260000138;260000047;1;1;1;19017;18378;30683;1;;;;5260;11;4976;11;614;4;0;0;2;0;0;591;12754;63;0;0;619;0;3;2;3;2;2;0;;;6;;;3;2;7.11;2;1.8;12;12;;;556;5035;0;0;0;0;0;0;3459;0;0;0;2;;;;2;;10;6;;;;6;7;1;;;13.55;10.46;0.5;;
CANCERO;2013;260000146;260000054;1;0;0;124;111;275;0;260000013;;;93;19;80;31;17;8;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;260000260;260000377;0;0;0;287;72;1683;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;260003157;070001649;0;1;0;27216;27216;;0;;;;;;;;;;;;3;0;0;1411;27216;0;0;0;1350;0;4;3;10;2;4;0;;;1;;4;4;3;10.8;2;6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;260006267;070000245;1;0;1;3514;3278;1803;1;;;;3311;0;3101;0;461;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;0;3144;0;0;0;7;0;0;0;0;0;0;;;;;;;4;;;;;2;;;;1;4.84;;;;0.17
